,From,TimeStamp,To,TxHash,Value
0,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
1,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
2,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
3,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
4,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512841893,0x0d9585ea3d235927d8f1c1d60550f54ff1326ede,0xadc972f7f3886a686fd01b9788e0f061e78777f8b66da4a723400a6aa9b53861,0.2
5,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512879179,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x67f2b69287a674f83cb1779aab81fbb5db0c2f2a04c38bb7dcc09704b246a760,0.0
6,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512883423,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x2509c20a9e35ccd776aa44029f9300c45c12babc0acbd7ca2f1a708fb9cbb04b,0.0
7,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
8,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
9,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
10,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
11,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
12,0xd9fbfab8de4f6c02d47c3a0a3cb4802639368bcc,1512909482,0x414ac625f192b5dd77544899d0bd60f3548ee382,0x27b46851fd252922e71fa8410f3c6a01dd0fc8adbcf80f8144d2d7c237de815d,191.0
13,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
14,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
15,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512910098,0x8b1698f7344d8446821940dfa180dd0f6eb03ca9,0xb24c7dfa4a5b12b70ff59dc5b1b11d75a80bbdf4bd43b964bee2fc5793e8ebcf,19.0
16,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512910406,0x0d9585ea3d235927d8f1c1d60550f54ff1326ede,0x80e3d26f7a4e58fa15bf5ca543b999fff9d5a8b38892d2399f59c4cf617656cb,107.0
17,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
18,0x30b10221c90134db4bb8388748428bc0778594d8,1512962078,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1f90ebab72d7082b3f5045cc79e027dbf2bae80a6178641fe546c3feff732c22,150.0
19,0x30b10221c90134db4bb8388748428bc0778594d8,1512962728,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xaf00d9ad99ed399d1b450978cd02dd91073fb44ba2c6884df24dd516d508f3ab,140.0
20,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512963988,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x077ddf7d329fe473c68ffcea7e4bee85502e42207a3440ca971c6ccc5cba0c72,0.0
21,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512964134,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x6ae9888d73a91455c6b5a10ed925d8fedc4a4107f3da8d825a8bfc8e02859ba1,0.0
22,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512964819,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x1ac4fb2141810a73674af82aadd8bbb7f12ce9c1c86b8c3408a10ffbd638b869,0.0
