,From,TimeStamp,To,TxHash,Value
0,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
1,0x464ace4630736121cc5bfd915f84681d6319ea78,1512730139,0x68e3f84ae72ddbc0aab480171f1c10b132c16786,0xe25b00187d122ccbd7ab1fb40d97503e70eaf7ef010cd160151a781753d6856f,69.0
2,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
3,0x464ace4630736121cc5bfd915f84681d6319ea78,1512731414,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x19c454a51b7dfe8db47b678b7cb2248dfa69bedce3b514d2b44dcb02d84e3b9f,0.0
4,0x464ace4630736121cc5bfd915f84681d6319ea78,1512735251,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x2dfa3428c814b9c353a4e0836df60c4436c6749a1bebfeb9a3a97ebc87dc8b33,0.0
5,0x464ace4630736121cc5bfd915f84681d6319ea78,1512735929,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x999c5eb385789c82d24504a75357866b3edb8cf73f24e4e7395fa6f44a2b9711,0.0
6,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512749321,0x464ace4630736121cc5bfd915f84681d6319ea78,0xd96199d00485542c929afed5cfee58db1bd6a5dcc53afd57dc5b34fc77433f10,42.0
7,0x464ace4630736121cc5bfd915f84681d6319ea78,1512752308,0xa2e7849af94d857a23a6e6e3e1a3f94a834f4e61,0xd589352bea2c3e727c01e27f925f368dfddcf50cfca41d85afed22388a7edb2f,10.0
8,0x464ace4630736121cc5bfd915f84681d6319ea78,1512785129,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x4696d2c16f25f9e1da5d2bd569d74ffb989b45d120c4c4670cd70de3c501f91e,0.0
9,0x464ace4630736121cc5bfd915f84681d6319ea78,1512785488,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xb9ec60e4ae18762fce37f261857a62bd54776b8bb632b295b87933e2197ba7f5,0.0
10,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
11,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
12,0xa1ec895df933b4fde3a8d482d88808040eb61d9f,1512827948,0x464ace4630736121cc5bfd915f84681d6319ea78,0xa1134a56f0a3d275757bb0d6cbc93291249f45f606c40670ddb98604481b1c36,12.0
13,0x99d6595c5b24d83649877f58e6829f64d5f31ca4,1512885127,0x464ace4630736121cc5bfd915f84681d6319ea78,0xdd0f96fe3bd144195da137d0b9b0dd4fd04113cff74e745dd6540d9cea2a0b29,3.5
14,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
15,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
16,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
17,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
18,0x464ace4630736121cc5bfd915f84681d6319ea78,1512894389,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x5eb41bf02ddf32ff7be9b73ba04d2de7c7196127394976b4a793ae85d2a4a832,20.0
19,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
20,0x464ace4630736121cc5bfd915f84681d6319ea78,1512903266,0xb248f9a1a80e149c67da12a08c0e23b8c95cdab6,0xa1ee17dd67ed4c276ff8511142b1d593b647bdeb68a4d0a2589a0a246afeda89,20.0
21,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
22,0x464ace4630736121cc5bfd915f84681d6319ea78,1512917844,0xbf4de05c7bffeb5ea687646438c28047207f8982,0xde143fa8463817a9473f265c507b32268559c520809990f8a1e85857ea5a58fd,5.25
23,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
24,0x30b10221c90134db4bb8388748428bc0778594d8,1512962078,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1f90ebab72d7082b3f5045cc79e027dbf2bae80a6178641fe546c3feff732c22,150.0
25,0x30b10221c90134db4bb8388748428bc0778594d8,1512962728,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xaf00d9ad99ed399d1b450978cd02dd91073fb44ba2c6884df24dd516d508f3ab,140.0
26,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512970505,0x30b10221c90134db4bb8388748428bc0778594d8,0x78e78b7056b6db3b68e14de2f35fc92b9c4269db4872b01c94e922ec12a0e32f,10.0
27,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512972503,0x30b10221c90134db4bb8388748428bc0778594d8,0x9a82951b63c34b820c2ef45ff5346f9dfed36eb9aefea4516d6838d194b7b77b,10.0
28,0x30b10221c90134db4bb8388748428bc0778594d8,1512981632,0x8470937fab46148339d6cce6f84daebee903d9b1,0x711870e0be9506197d2fd4e1caddd41264496bc3c3ed7bea1671674214735db4,8.0
29,0xcc75f7eb33ff9711cf72e18b71484572d031c471,1513000013,0x30b10221c90134db4bb8388748428bc0778594d8,0x6603cf62fa2f0d96f1df60833663c25b823cad20adbcccdbb3fcc5d70ffe0947,15.0
30,0x30b10221c90134db4bb8388748428bc0778594d8,1513000527,0x8f9bcaa4404d9ef1c75ed35b3a96549083ad5a78,0x1cbfe190afad9deb3a303d70de1a42579aa379065bf4742db124db8ba216727d,15.0
