,From,TimeStamp,To,TxHash,Value
0,0xa1d0d2cf2a877f798779aa9a173983cff62d89e2,1512663300,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x9c135d5154b24e886e61998e50bfef15ed939e3a6562893ea4daddbcbfef9932,5.0
1,0x021f384850b4d6ce8b68070637445d1ce3add4d4,1512690001,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x798ae139d7043b6f8c93fccc8972bbae4fc6bb9d866d045dadea1cb74cade605,15.0
2,0xbd06185a955f9e124600d4f56d254c31ed362ac0,1512692213,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x9a5a3d18ab775e964a977002bbb090e582e960d225034a97f6a67ff84185bda0,5.05
3,0xc26b982ff3f13fa1cb8283485b03fad34f35b47a,1512701594,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xce006223d8805caec0f9e872a49a5c1a06000f5e129f5a9164179d5d495adaed,5.05
4,0x47590e87b48f49149e8cdb934605617a42c38dcf,1512709047,0x761f0c8f8bf79a6230312c3b83e8173645a5ef51,0x666cdaf51efebc6386fc6f7d536c41bad2ee2a57ed5d1bbf71efdba03ed64c50,25.0
5,0x9d13f88fcc8c5b7886c9b58188dd016488619720,1512709326,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x17de096f179473e655ead3196783e2abe4a17b0f751028c9af7f32635cfc7962,2.02
6,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
7,0x56e9e9349e2515c9c81e7f2c4f07ac1f0a3ab755,1512713457,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x81d10fdd743d35fcb6982a2fff159fa9b39a6d1765a13be6f5d621d82fcbbcc0,20.0
8,0x9fe3c23b98f0a23f61073161f26bec7c23a4c8aa,1512714392,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xe1ab909600d62e540a13ed90a395e15dfd96556140629e06e6885b8c444c34bd,4.0016
9,0xe6bef5ccde469b56326424f3ecbcb1719846060a,1512718710,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x525cc1f26f1b5140f47340f1306712ed4bc6d8587592cf0d8330dcd3665f2157,4.86
10,0xa9228d0c2bf7a959a1eb209f6d53567410354e94,1512718961,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x582cf946e49b66efb31dbbe2f4868f88259104ec6449a1e4d7494d28cee04eb7,100.0
11,0xfe89a24f563d0a83280676daa63c196ec246bcb5,1512719043,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xcf186062cd6dc542460f8727742a5ed185063955cfd90d936cc98d3e717ff7b0,10.0
12,0x453edc098667c153ea965b53a1cc3685f401f82c,1512719061,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xcb640f81eecc686aab9aebc3f7fa94b531251aa6724175135c2af9bacfbd0a1e,10.0
13,0xbd7d3849839bab3b8c7ea42f894cb349c761e2ca,1512719229,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xe28d104db72fb7db3c1f81dbe8bbe1839553e1d84a7de5d5cc86f38fe476937a,5.0
14,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512719428,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x558360fb691e242c08c7980fc529816be7b49d6658800fc474bb5471be239d13,10.0
15,0x6de48a79fb151e802f017f63df2d1e7d934937b7,1512719618,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xa8a384d460421b045da3499bb0084527226406ba433f8a66dd1210fba08bf0ad,6.0
16,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512720113,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xd55f6e95195fc99d776d118cb8cb70abcb9971ffe7d2a5e8418feff22a671e01,20.0
17,0x47590e87b48f49149e8cdb934605617a42c38dcf,1512720391,0x40f18ce4df713ca71e06b6bae0b2b8ac044edb37,0x0b2e6a9488be335d6d7cfcf0cd4f7927ae3e41f6a004dc846305d00c56c4843f,15.0
18,0x2cea7fadd7b1e1a5a58b7c4369d508120d9e992b,1512720477,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xad30c4ebd8c55e7cb321f243bb477381d58bcf81f93e5383343f8f190eadff54,5.0
19,0xbecee599841ce2cb61f5c138a4ed1c8748fa68d8,1512720891,0x47590e87b48f49149e8cdb934605617a42c38dcf,0xbe8dcb1a24767a21a5925bd27a51c3eb003a434bd6a2650b51f3c880e9222170,25.0
20,0x95b25e7d6b2693bb2c83056c2035d6b4175c2945,1512721216,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x10405e1429223602717c13beb063995696dc956563914526e3f66750d28d3f90,57.0
21,0xb8103e5128341465276af816a92c1e0933d0af89,1512723852,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x0859e3265dee53f2efbab3fac23ecf388b3babae4967b1bed7bafe7b88413d8b,10.0
22,0x88d5a1d47478e78006ff7908f35afe86e2b59697,1512724247,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x58abb83b42f9f0c6b55386ce295283eddb7fa84e1b3aa6b69e2dffb3445e262a,4.0
23,0x45d8bae872fe698f84ee413a0436d34a883479d7,1512724453,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x0b1a7beb17d2b4d3ff1307bebbef84d502a1a3a2eb8dcaedbef092372b1ecaac,21.0
