,From,TimeStamp,To,TxHash,Value
0,0x80e29acb842498fe6591f020bd82766dce619d43,1512662448,0xdc6f29e64bee658fc864577aa940f4a5578f74ad,0x3fe67ff658f4b4bb4a2d7d71a56bb8677e4f32d57b509b3d9159f5983b8ac6a4,7.0089999999999995
1,0x80e29acb842498fe6591f020bd82766dce619d43,1512662512,0x8d2365e303e31191a5ecdbb103b29990bd1d6e57,0x6c06f0d2d8928b9a1b6695df2eb2f71e4e82a670d6ddda3160a2b1ceccf03cee,2.6261
2,0x80e29acb842498fe6591f020bd82766dce619d43,1512662512,0x40d7eeb3d9ce689c606f35b9e4463be7182e157c,0xd3a5752254c9982bee2b19920ed9fc17571bcc0e012fdcf2be86b8d71e2ffc74,0.8954
3,0x80e29acb842498fe6591f020bd82766dce619d43,1512662586,0xb5d2cd5079268abb3f7c5e904a9072d013737367,0xd1b363a892f72934ff667ddbd131908f864e33d53ac3f3aeacb0ec22b91213d2,9.9063
4,0x80e29acb842498fe6591f020bd82766dce619d43,1512662740,0xacf88b3e33796526be818e4486ddc1ecb4eb13f5,0x40a448f018a079c65a0b364ce4461bacf2525e984918599d56719d49f8e77f92,9.9799
5,0x80e29acb842498fe6591f020bd82766dce619d43,1512662845,0xcc1ced0117dac08f21cc22ea8f467d9059d1c03e,0xd8aab01adc68e057266646ad0151c814d7e69151f03719b07a078b43aac062ac,6.5703
6,0x80e29acb842498fe6591f020bd82766dce619d43,1512662848,0x132b6966a98fedca3006f5157f539de02fbc6cfd,0xe0b239be488fb2a35fd396f0ec2b2bec53131111770293fa0b0ac76fa8b59ce9,0.9891
7,0x80e29acb842498fe6591f020bd82766dce619d43,1512662966,0x057acb52079934d93e7ce51e559d9ac7689d14a2,0xe955f91c8574aff7da0c8669d896feecb3062b36aca02af031121384d28cbd85,4.985
8,0x80e29acb842498fe6591f020bd82766dce619d43,1512663066,0x5771c77d5367672fcdac309cb42db03b657d584b,0x4050ee6757bdd2fc5f1603979223c924ddec49f5a18e0b1e39ae21e8cfc0ee28,2.3134
9,0x80e29acb842498fe6591f020bd82766dce619d43,1512663091,0xd435ed811313fd2129f03ae1cec25d2f94e0f043,0x517e886eb76c440cd2c73e70389f4cd80896517a424a082cf70ff41b55bdbb6a,1.6451
10,0x80e29acb842498fe6591f020bd82766dce619d43,1512663171,0x6b89a07261b0100c83a34f2fb2e4c9079ca31287,0xc63bb2b5b86e2c9d035907fc8a8637d6a512cfba35c9c9f60893df0db064a31d,33.0268
11,0x80e29acb842498fe6591f020bd82766dce619d43,1512663171,0x8d2365e303e31191a5ecdbb103b29990bd1d6e57,0x2cd4a1cfa2ac730acf27c53623cb0189a2b60d60fdd851d4dd0e2180db1583a3,11.304
12,0x80e29acb842498fe6591f020bd82766dce619d43,1512663218,0xf21483fa785ac15b0dca878d18537c76ea6c0722,0x859a55615036e6c93448a6c6b26c8104ad3c970bc20a033328ccf6fab3fa29e8,8.2751
13,0x80e29acb842498fe6591f020bd82766dce619d43,1512663291,0xc23d2ba872406ee351187f984dd823fe22a8d9c6,0xb3e97e85a056ace79883447ff5555288d097c43c4847cd55bab76a3d0da32e87,2.991
14,0x80e29acb842498fe6591f020bd82766dce619d43,1512663323,0xa6cd3cedd16f353ee36d9d073e9c48cbf05c887a,0x49d2b695ec9428e5f01daf75b9a382328343db364ab54101642f2c96b8418e45,2.7617
