,From,TimeStamp,To,TxHash,Value
0,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512700675,0x651980360cae74a6e2f42d37718f4001ca96118d,0x949b27323bf1355bf310c47e41c9e11ad34eaa05837abb2b2a610d45b521e598,36.0
1,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512702661,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x81d05091258aac504cfe3dddf59ee10a36327c8b9b77bc2c23b59c89ca78c74f,20.0
2,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512706601,0x27c43791793d599c75caddf9749d4f62fc0034ce,0xf074c76f49743b7f8137414d5f7b94cd4e453610635e1f328202e0149ae1112e,2.0
3,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
4,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,1512711867,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xfff97b9ef657894d3f835e9ac5c42bf4a7102316197022f8f4a8ca019857293f,8.0
5,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512716626,0x900f8b2808b1395349af8319e4f19c053c3d0201,0x809ef75b7dc3e2a7ff04d3f979f4640b2982619b2d1342dfbca2de0e4772a1c5,30.0
6,0xb3e2c0e2e144c764560bfd4f6199ecaaf98a4f73,1512722097,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xf73ea1273613c0e12514494b644c8cdaea713d5394c53c160ece8e8879f2cbf1,40.0
7,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512726774,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,0x047e3cd06b05b31a63fe65228cb2fd2ba4f2f72b651d3ec2d63492342cc2bf14,5.0
8,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512726863,0x01f168700b21f670d624e2b4e3f71cf136644489,0x6978884a90cd212646b19a4a12ee88e268227803c6f7aa0e1857fa0c46023aec,3.0
9,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512727444,0x900f8b2808b1395349af8319e4f19c053c3d0201,0x0a8be3d6da4820da1419d2c666ec9a28fdb64a770f8b79e7fb26a23c8aabc16f,30.0
10,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
11,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512749920,0x07cd28997d93e94ee68e49bdebedd3813913226b,0x32efb920737d4ca1bc4c892f0555a7c454d76025dc07eeff07f2d24257fc042e,6.0
12,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
13,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1512806277,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xbef750a7782a4a39d59f318cc2aedeaa36c7e995a7352c73231c42f2ea32eb30,5.3
14,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512806277,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xbef750a7782a4a39d59f318cc2aedeaa36c7e995a7352c73231c42f2ea32eb30,0.0
15,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512813802,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xf86a2c0f0c30529d4ee09bf20aa2c1ed83d359001032ced8e0fec3f86cff4b63,300.0
16,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512822221,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x74304c8108746bdc6cf75810cc326d7396882bb6d03b61dbd0360b6b65221a6b,50.0
17,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
18,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512882505,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x80fe0c087c9ad4a910e20e378def4b59e461f0a698987160f14b45c6ea1de821,100.0
19,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512889498,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x37ec42d750b6b15bd66b2b11398c37037343332a1e577b4b74e89a015fd69b08,40.0
20,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
21,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512889783,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xae4add5361e7df6b137f66dd2585d238b0792d75165f0a938410d8aa0df9ac46,40.0
22,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512890212,0xd304710b64880e552f63dbc332a4d7cd7cf7f591,0xa0c32c08e4ebd33e3ce35a335c2575793b59d0e48c8f0e492716cf140361f305,20.0
23,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
24,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
25,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
26,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
27,0xd304710b64880e552f63dbc332a4d7cd7cf7f591,1512898197,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x295234b8d04274a4804dccf60a3cf81afc474585b67045741f0e84b79fa2f588,20.0
28,0x743a56f497d7aac13be82fb066e9b0cf04f6ed2f,1512900793,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xd80fa7d27d373ae65f6f8393a754b759823754e77e46e01f96816bcea6a12854,20.0
29,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512902779,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x8f5e44f27fc55f5c54a844c3f3ba19175b275a7fc1f814980f5e21020de56c91,4.9
30,0x82d7dfc18aff7992ef4a373622e57c803228e137,1512908100,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xbe8548ee6561616fe7aac583328f61c2c88109814dfde2dd356e8b5ddec06e85,40.0
31,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
32,0x01f168700b21f670d624e2b4e3f71cf136644489,1512913328,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x4189b643ac4670cf36e098fd439d91d1fbc1c8d6529fe8602f55ad8671dad688,11.0
33,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
34,0x093bca2487a2a22375c974c64124f2707dde5fc7,1512925535,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x315d7dd4e5532eb1fe6717637d4219be4d3d5f4842833c6a2608a959d7839a48,10.0
35,0x8faceca1e595813de3efc688ef30164951e3c9fd,1512926251,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x452e6d031247dc883db06b09791fc308fb20f91f33b683a02382b670ad7cb35e,31.8
36,0x093bca2487a2a22375c974c64124f2707dde5fc7,1512926668,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1a661cdc6e2e25ebb8f5ebf42996311fac1b389b707f42131d8d4fd54e9b7fcc,10.0
37,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512929392,0x01f168700b21f670d624e2b4e3f71cf136644489,0x6e8d29af8cfe652b63962a5628e022e767c0f5842c6fdcee31d60bada980838a,1.0
38,0x30b10221c90134db4bb8388748428bc0778594d8,1512962078,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1f90ebab72d7082b3f5045cc79e027dbf2bae80a6178641fe546c3feff732c22,150.0
39,0x30b10221c90134db4bb8388748428bc0778594d8,1512962728,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xaf00d9ad99ed399d1b450978cd02dd91073fb44ba2c6884df24dd516d508f3ab,140.0
40,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512964906,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x7d9f8340285829ed7ded29743374343f8c1f078d956c1fb2cce6fbd70df752ed,12.0
41,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512970505,0x30b10221c90134db4bb8388748428bc0778594d8,0x78e78b7056b6db3b68e14de2f35fc92b9c4269db4872b01c94e922ec12a0e32f,10.0
42,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512972112,0xa5cb7b5fd4149f6a3b0d34d4de9b1570940933c2,0xbb9601f9902384cf50153d4088f14e4ef6c1e500f271d951f173abf4b72e515b,650.0
43,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512972503,0x30b10221c90134db4bb8388748428bc0778594d8,0x9a82951b63c34b820c2ef45ff5346f9dfed36eb9aefea4516d6838d194b7b77b,10.0
44,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512974499,0x093be7f2ca8bd5371bee818cdfed70873846b169,0x18afec794443bdbfcd9a0dced9ccffef73b3f5001fbda1571625343658b2663e,50.0
45,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512975954,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x3ead848937880f7b81dd195b1e34bdb342b835a29ae85e7da61fbe610267c715,1.33381018
46,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512977056,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x588818ac5c7cf61428d8922b8f0c80585c8daba12488e10b9e67f46f61f259b3,110.0
47,0x30b10221c90134db4bb8388748428bc0778594d8,1512981632,0x8470937fab46148339d6cce6f84daebee903d9b1,0x711870e0be9506197d2fd4e1caddd41264496bc3c3ed7bea1671674214735db4,8.0
48,0xcc75f7eb33ff9711cf72e18b71484572d031c471,1513000013,0x30b10221c90134db4bb8388748428bc0778594d8,0x6603cf62fa2f0d96f1df60833663c25b823cad20adbcccdbb3fcc5d70ffe0947,15.0
49,0x30b10221c90134db4bb8388748428bc0778594d8,1513000527,0x8f9bcaa4404d9ef1c75ed35b3a96549083ad5a78,0x1cbfe190afad9deb3a303d70de1a42579aa379065bf4742db124db8ba216727d,15.0
50,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1513007674,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x97fc7b4dab7fa20e84ca2b410832edfe91b06785163fa582ad05cdf42f15668d,0.0
51,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1513009442,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0xa33c1eee6b4fdf4c1d3e16d90a79afa8d0c1d9e01464a7abe7dd3173faf5130e,0.0
