,From,TimeStamp,To,TxHash,Value
0,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
1,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512717137,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xf7b2093db38d5b8101f922632dbe6a63610e710ae19502926d3278d66eddd800,0.0
2,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512717410,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xbd3f47fc834d48b6452e0e3f7a2d76e23912ea3f52a288905273e4a39a7e314a,0.0
3,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512717479,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x9b7e3eabf37f5bf466ec7104620bd6765dcb6472851364137d55aad8cdd3043e,0.0
4,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512718865,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xafd162aec3bfd0be992ebd690f506b60ffe7b2363ef9f90475488d4b70d08e82,0.0
5,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512723556,0x664c249ed2e12b452ac1b6a863e7f4f9851e050c,0x6d0a23db3e4b7ce1ecbe5d1c1abc29f37d3cc705a977d411d07d31f9a07018f5,0.3
6,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512724015,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xe62ebade73b537b898c7f524525f85650997eebd69b94e0ecdfe106fa101808e,0.0
7,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512724400,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x02043de4fc53d744aa13ccfeb4288e91e659687cda02806983b4cd097147fb1f,0.0
8,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
9,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
10,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
11,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512889498,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x37ec42d750b6b15bd66b2b11398c37037343332a1e577b4b74e89a015fd69b08,40.0
12,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
13,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512889783,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xae4add5361e7df6b137f66dd2585d238b0792d75165f0a938410d8aa0df9ac46,40.0
14,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
15,0xd304710b64880e552f63dbc332a4d7cd7cf7f591,1512890707,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xefe35ba1844413fb943b0788b97e87df4eb51d99ccc694f6d3aa1fe79df88b23,40.0
16,0x2986af155fb3cc5a52fe1f1e4f57c53a55754c10,1512891682,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe297e85e4063a38b5b45c4f98eaaeb7940e3e76d92a8085e191e9c7bc23e210f,7.975
17,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
18,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
19,0x464ace4630736121cc5bfd915f84681d6319ea78,1512894389,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x5eb41bf02ddf32ff7be9b73ba04d2de7c7196127394976b4a793ae85d2a4a832,20.0
20,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,1512894653,0xdac976629020966a03ed95f19d0db8f3a8a7215a,0x4f4244349a9f205cc8420e04a4b079afd1c1826a4874147b6525a2fed3b16e18,200.0
21,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
22,0x1fa467889e55cd360e512456547e62ba9dea2a43,1512901969,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xd2e90c1991c5b4ebf59d4700c565f2a5b91debe79681c48ba5088968e24fdd76,12.0
23,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
24,0x6ed541f0c9b62b543df9138e0f7e37a28d0e041d,1512912031,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x7fcc00a42bf7260fa4a3c3483512a3e495b234891e0b6737fee8f2c3bf370a23,2.0
25,0xd304710b64880e552f63dbc332a4d7cd7cf7f591,1512914644,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x2dd5d03b7b61280579b049c6e25c91895011f716873aecce541aca8b0c8ffade,60.0
26,0x8ce91e9a83a4e1464d2111021b312aa1336875e9,1512914950,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x9b0a14ea6f2de5bff33970d2e14d76b394c2f48af8b419fc86012ae1d084b955,1.0
27,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
28,0x82d7dfc18aff7992ef4a373622e57c803228e137,1512923958,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x3b9c1a86f128a5c73089cd5b7e9984a6feef80cbc5de30c802d21b89de18ecde,80.0
29,0x80e29acb842498fe6591f020bd82766dce619d43,1512949002,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x56594c773f0f42600c59d287709a8c958204e3da8ab932d6f7dc915bdaa096c0,1.001
30,0x80e29acb842498fe6591f020bd82766dce619d43,1512956807,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xa755a2d5600cf3ba6cfb00af23edb5cba1b904c61ca5376b10d864bf90eb2e44,9.003
