,From,TimeStamp,To,TxHash,Value
0,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512704187,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0x55352b6e734227df8bc381d574ff8f744d4a0c8a1d1d5ba76a9186e40ba8e163,50.0
1,0x6b89a07261b0100c83a34f2fb2e4c9079ca31287,1512704736,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0xb0e25c2a6baad90e8a27003600695583cdf235383f954286d57e4e84944a2c6a,1.0
2,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512704820,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0xb80c00be6cd475b534e215d6d0d045000c280f908d5bfee36c192a31d6100460,1.0
3,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512706321,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0x5953c4ef098a34d5a32b68a2eb9d49ac9eeb7463d7976a5f1989bad911a49da0,10.0
4,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
5,0x80e29acb842498fe6591f020bd82766dce619d43,1512714547,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0xc5ac7c2a02b4a1fccb0eb2c1a49e02a9438dbba80199104b2195c074f3731a89,3.0010000000000003
6,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512715290,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0xa650a2fc72bfa38033a10ec9698a6350fb9b81416a4812eeb37c697ae0148c88,15.030999999999999
7,0xaeba284b2e018a3331dd8283833ce1dd32eb15e1,1512716009,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0xa47229faa383d20b7859e5f769be3a18f9b636de61bd6f4cbacdc9612c8c999a,8.0
8,0xaeba284b2e018a3331dd8283833ce1dd32eb15e1,1512716658,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0x57f7be4a36059a5e7f9d0a0c698ce3311419fee2c00ee0235a88ce74aca7eb2a,2.0
9,0x072dd7af597600cbbe97ad06ccf826f38204295e,1512716723,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0x0e0bdbd352bed928274d0135bd0fe18c34932c6f38f1f223da0762b17e74da71,4.00112691
