,From,TimeStamp,To,TxHash,Value
0,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512665480,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x75b4ef8bab37bc334462dc0e101bf6b25b25c785c0aab966ebac6c4fe48a50fc,0.0
1,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512696317,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xddb4d8230ecdb1f46b7e5545414f0d2500203e61a05f21717459167a4af0bcbe,0.0
2,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512697106,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xa1e76502e9ae1642e056c9d2ce9f77440626747b03e778b2cc11a3dc94374b15,0.0
3,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512697609,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf3f2e2b88eb12de15a8920761fed393e1bc588447349c711101700e9a6dedbd4,0.0
4,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512698449,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x8312b1e2426b8d88344462c82371f48008cd8e073f4cc5121b8d7bbd24635c90,0.0
5,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512699372,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf27661ada2b330f8b07cd4df82c342fd5f89477a62ae82b672f88b7ce5e8d72f,0.0
6,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512700531,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x5c1a41e702d848abdaed7dc2b623af19e10febf41aeddd179abbb64b2b8a0e63,0.0
7,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
8,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512719997,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf4f54cc16dee108f183e140224d035387e16d098fd795255be5404802061b7d2,0.0
9,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
10,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512736693,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xbeb5b471bacbfd205403c5b6836675dc3b38c89788db9cc187dcae6584da432a,0.0
11,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
12,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512815672,0xe91f0f3deb087c877c6f5f19d182da3e0ab61dd6,0x235cc6d66ee1346cad5aef838e4e8a6e10eb1794502131ba0d8ff42fbd14ade1,84.0
13,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512816756,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x40c70f3461a17250976f6b0bff69d1ab1a40cdb60fb9891f5a339998596a41d4,0.0
14,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512817158,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x84e549b97b4705f227e110c25c22f7b910232edaa4658b4506e1cfb0803afe51,0.0
15,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512817542,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x3733d826a9d30a3640a9fbb4ea3cc58f26dca106b479fe7d0cd52e5713774f27,0.0
16,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512822370,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x2480ba8927f6cd27e94fe745a54c66aca2aef428503076a2d4456772e772a661,0.0
17,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
18,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512823789,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xcd3dc26277ddf79398eed5d82c142029981a9868f3d311275538991d2ff37f33,0.0
19,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512824763,0x5ca0ca97b0d359e96428f56b705525f6256c9f22,0x7ed843ca573221fa7306fac7e5902a56a93c8c3b4fb65d57aee39231b8bba9aa,67.0
20,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512825866,0xe7a05f4ee922114c58266624329ff5b126876ce9,0x1fa1dc837806ca1eef2caa6093a7950646559f7b1fb01f0c040f5fcafd743c11,5.0
21,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512827479,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x5232c3939ca193d6bf185580ee56d242126e442ff86b2646a677b1a310df7ebe,0.0
22,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512885284,0xf97d7c5a46e6be78b2fabf8f99f29d3681b7afa1,0x9a6ff513f46489b2d1b0158db88d2cd4f2f1996d14863666bc4172d9db9b7bc5,57.0
23,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512888920,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x0f43b909fdad44cf0dbe742048ecd5344d3e346978570b1aa50a658b584453f0,0.0
24,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
25,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
26,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
27,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
28,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512895913,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x0623c9716ae86d9f22e7459262598b5e36e1a65261dbec9c9c90f76383ac88d7,0.0
29,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512896118,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0xbbe8c9facd9d82cbfdbe587e1e75a2628faa8bfc23a830077635a76e6cc61e74,0.0
30,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
31,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512897984,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0xc575ab857c24fbf9f8ace147cf3ac756d2c6b23a29a043a2093dce130e13277b,0.0
32,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
33,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
34,0x30b10221c90134db4bb8388748428bc0778594d8,1512962078,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1f90ebab72d7082b3f5045cc79e027dbf2bae80a6178641fe546c3feff732c22,150.0
35,0x30b10221c90134db4bb8388748428bc0778594d8,1512962728,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xaf00d9ad99ed399d1b450978cd02dd91073fb44ba2c6884df24dd516d508f3ab,140.0
36,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512970505,0x30b10221c90134db4bb8388748428bc0778594d8,0x78e78b7056b6db3b68e14de2f35fc92b9c4269db4872b01c94e922ec12a0e32f,10.0
37,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512972503,0x30b10221c90134db4bb8388748428bc0778594d8,0x9a82951b63c34b820c2ef45ff5346f9dfed36eb9aefea4516d6838d194b7b77b,10.0
38,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512973268,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x99e4da78061e60bf1f28ea85aec48c06dc7ef645fdcc0cfd21fd3916f19e60f6,20.0
39,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512973388,0x802e80e4523e357c308c03b3ceac2117bb712259,0x8113076c0de4abe56b8824747f60bc8f3cc83ce021f18256c5883d16019d08b4,36.0
40,0x30b10221c90134db4bb8388748428bc0778594d8,1512981632,0x8470937fab46148339d6cce6f84daebee903d9b1,0x711870e0be9506197d2fd4e1caddd41264496bc3c3ed7bea1671674214735db4,8.0
41,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512993705,0xc31b894d585986075a9f39a8d73ee424eedc6041,0xc877835364018bf6622f46ed63519cb450ef233d00bd9d56cee29e944717bd4f,22.0
42,0xcc75f7eb33ff9711cf72e18b71484572d031c471,1513000013,0x30b10221c90134db4bb8388748428bc0778594d8,0x6603cf62fa2f0d96f1df60833663c25b823cad20adbcccdbb3fcc5d70ffe0947,15.0
43,0x30b10221c90134db4bb8388748428bc0778594d8,1513000527,0x8f9bcaa4404d9ef1c75ed35b3a96549083ad5a78,0x1cbfe190afad9deb3a303d70de1a42579aa379065bf4742db124db8ba216727d,15.0
44,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513001522,0x40a30b825630baf490104daccbd0447bd138f4b9,0x43c25f928bea0f2da06d32d64e59df175165a4dac48f5ac3aebdb6f1fa7c025e,5.0
45,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513003845,0x73a50b87a14eac7531d0cb31a30681fbca57a3e2,0xd8a6679d44ee49656cc50cb7f8c4188dddad5fa8f2aba5d31d3d7d802814a398,5.0
46,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513053159,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x405eb296f2ae0e3d3c08833d91f78ada073f2fc573e640da4a89d1498f9e8acf,0.0
47,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513144954,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xac80577322c9fc115934b16b379d7bcd13da7bc7c34aa7df6168e649003f7cb2,190.0
48,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513145068,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0x95766dd068c0a59748458aeed6ec9460c45b771d1f44fc0ae00b33459c33afed,50.0
49,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513147426,0xc98bfc5fc5790c10a7a707975f8d715402ad5cce,0xf8d31a44d825f947b377f91626c9aa1f23fd2f89e21b97f4cf903b709a3b420b,5.0
50,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513148905,0xfaa35227a1ed6516eedb0d7b2c6defe3884fcdc9,0xdcf781305be1435df3913c269da1c48cc143879fd4e1ee167010f8ab203829a5,195.0
51,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513148963,0x48e1ac4475c463ab2c3f7fc0818c3ffa88559c42,0xdd9796c7813d27aade56df64560d16fc8cfc52817fd3ad6323a5e5c37e990a01,1.5
52,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149558,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0x4a1febc7973ad145a16f92ec976af15c279ce264e5b6b2401b98f4ae017e4142,53.0
53,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149696,0x561ec51e3c9d0ff6ec83eee260d178df81060ac9,0xbcbf3a61f9696a0f14b3d09c68b6c08585d814c9a4a55ba8f10a2a3a16c8cd1e,3.0
54,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149981,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0xf3736edf982ab06ce1e577544a8f7cecb41e8be7bbb772ca14be9fa3057f124b,0.15
55,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513151744,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,0xd0f36b6ff69e97a273de92224a53ee85bef218bd7f56b611b000ea2df2ac4637,5.0
56,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513154502,0x212b4dfbaa1ae5ec7b2835ad3384a4d339e4b82e,0x6b79f0d84c9a71796f56cf9855da90e5978c5b0ee5c80c8f7e39bc6bea2ca946,2.0
57,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513155544,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0xe10395d8223ce1c8be62a86a65c2af27e6a2b59a3cf0d7a13e3d166b655eb1d4,1.5
58,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513155942,0x9203397f8dee6c421101e702671f7af1d9487cb9,0xb020552005f4b4bddab474759e8ea2e5534ae8acbabeb1bed4000f5874c6e00c,5.0
59,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156063,0xea4b8a63fdf64cfc2c500efe272bd506bc4d1c4c,0x1f764e8188107111e65b87c47eb596e16751068228d55039d10946ebeb8871c9,15.0
60,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156312,0x068f9b19c8763103377fc6c35a811ac3931cc81c,0xe5d5827cdc87f7d778405296da44abf8947bfda85a42d08682d99ba5ab547598,1.5
61,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156620,0x6234044cbf20fe51e6a5ae9545c488ef1a8db272,0x51b532c7906152f352c5c82f12e4d20620e85040d2664aae3367e78824a3aff2,3.0
62,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156725,0x7ba0b7644c31471cb6f21edda1f21fad56a87cd8,0x221a188228ee637a9d24bc04dee84a3fdfec2fb3d53f21191164f0aacecd0e1c,1.5
63,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156857,0xe4e0c09c9867055c13d4291f21ab80a73781c7f2,0x672822f2fb75fa72de63fd85780e77c8476fd4b59c41a61c07388bc25bb86007,1.5
64,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513157082,0x399554f887a1186581fdbae6a6a9b940fa4d53e5,0x86758d446ae8da8dc5558e3aaf4fbc4046041f36369ab58b58584d639c150d41,1.0
65,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513159821,0x7823a9e7ec2c9acac5b935ba75b228fbcc3e0b74,0xd7fe27a97ed9c4bcfe2923594762beff3b8c3b811b2d450ba3faf99fc9f61e5a,1.0
66,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161325,0x8d1390f28db5d9cf6c9bd2ef76eef06a5e1c7f6e,0x5224836011a2f8b3ba2df7dc9a9adfbb8138fedf52f5a061309a72d220e7474a,1.5
67,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161495,0x8d1390f28db5d9cf6c9bd2ef76eef06a5e1c7f6e,0xe4a99fa3950af618f9bfb401aa551117f45e211cdb766b907137dfc900f7b4cb,1.5
68,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161604,0x9e1bd14c788e168e7eb7141aed26505c422b1ce7,0xf81dd6465fd010a01b876551f89b552871f0ded344fbbbe5d7408f2783c268d4,1.5
69,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161722,0x5ca0ca97b0d359e96428f56b705525f6256c9f22,0x48c975031978fd269cb3fedfa2177dfd73393758f3b6c96dd270fa7f835d4648,20.0
70,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161879,0x141aa6498d0125e5768c91222e22adcc1cc8d331,0x1a69203f77ecf817d3414e2678e9dfd6550f027af4d7cd982ad8fedfea9ea4d1,4.0
71,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513163845,0x71fb72d4432b11f85c1a7eb723c0bb904932c6f7,0x8805417b77bbb542b32ec8127b11163caa358bcf0ee370d95edc0f725607c6d9,5.0
72,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513181072,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0xe06da9ac519b7b1fab45a85f6fd89d97207b1c1e341c79a58f7b2ee3499e447e,0.0
73,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513183161,0x55f93985431fc9304077687a35a1ba103dc1e081,0xa321077575373bb6a69ae88cc96fd9ab69b07efac56bf2bd4a33093337e48192,0.0
74,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513183592,0x55f93985431fc9304077687a35a1ba103dc1e081,0x4a60d97924133eed88baa01b66bc31cf5e535a9c8d8f18affa9b63d679df9bae,0.0
75,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513186680,0x55f93985431fc9304077687a35a1ba103dc1e081,0x6c6fb53799b6ce7dd2aa2d050c3bef5234a3c60263ef0d4b8d83876b40e64114,0.0
76,0x30b10221c90134db4bb8388748428bc0778594d8,1513187452,0x1391e1b3f71dbc158d528616db12759e7647a496,0x9fa155f5cc81cf7c44ab32c419a80c3c0e61eeb9f47c6898cc0f4e835627531a,52.2
77,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513188440,0x55f93985431fc9304077687a35a1ba103dc1e081,0x1bdeee1dcafed051c1e2a9c06d3f4c6c1342a4910b651b4d3e099a1cb7639dce,0.0
78,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513227644,0x55f93985431fc9304077687a35a1ba103dc1e081,0x096b4c495e0b455c4a5d72a9846e97dc4c8c71abb29f2438d3e189fcdf0bf5fd,0.0
79,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513252750,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xa2e2306375ad98042ae310e769b50286eceb8a9e4e6cef070c8e33d54855837f,4.49
80,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513253056,0xfee49a97eecd6cab84c351b70b6a8665d9c32007,0xa077c7bb8908491d31111cf420994bb8fe8fb6ca73794dc324de59ecd5933a57,6.0
81,0x480fb719c2770963b3987e813793b1dd1e94f86d,1513254325,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xab5cc642579b0a16f921529097c02893f7698b79e210feab7a2535dcaf172e99,5.0
82,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513264202,0xf0f5c8c4fa2c9635c70a9950a21adfd5d52e0d78,0x8fbea611f9ed965199791ae491be172a6bad7184785a61bdf2e8dd11afa4139f,5.0
83,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513358913,0x55f93985431fc9304077687a35a1ba103dc1e081,0x52bebd192138c8253301d6688dba48dee916415bc0cd631ff8755e7e887b8d9c,0.0
84,0x14f018ec7728685661222835b4ac5e1d70097539,1513497762,0x30b10221c90134db4bb8388748428bc0778594d8,0xe42bd0617fc6a80cb29f5564bc456e31b6fd3d6e84b6ca57148ab06a9f1dbb33,25.0
85,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513498773,0x30b10221c90134db4bb8388748428bc0778594d8,0x855617ff35b316073be373b07714ab66e63458a4b04f1cfe998da14f3794be0a,93.99
86,0x30b10221c90134db4bb8388748428bc0778594d8,1513499006,0x6048db709989862be7060c3fbb755cce776dd5c9,0x74f2e5751a493c8a24b77a48901e7b9dc6ddf27f0fa556953ce32fc61f84a31e,100.05
87,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1513499826,0x30b10221c90134db4bb8388748428bc0778594d8,0xa2229ca9c4062f5328185c9cb16acc14d359db679cf077e7075d760ab5b63f4a,5.007
88,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513501012,0x2a96b743452d7495631fbbb87f32212d2796cb7d,0xc4be549d6a5f4bea1a360954f5e3a4aa62b009373391577118806e0e34f89beb,0.1
89,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1513501230,0x30b10221c90134db4bb8388748428bc0778594d8,0x82bb4f119483d8056b892f763d16e8ea99adcb1754443bb1a9ae419b200c121b,2.0
90,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1513501230,0x30b10221c90134db4bb8388748428bc0778594d8,0x8a4ac54b6e04463dc32241554585d442d09316d6489fffe9be570873d67ae4b7,2.0
91,0x14f018ec7728685661222835b4ac5e1d70097539,1513502128,0x30b10221c90134db4bb8388748428bc0778594d8,0x3334555a1368283f0fed87c776a64568692d9037909c2780295c01e3276a4a3a,5.0
92,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513502355,0x30b10221c90134db4bb8388748428bc0778594d8,0x044a567797afc338c39bc3d35627741efd95faa912598788ba91581a8f077846,2.00001
93,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513502517,0x30b10221c90134db4bb8388748428bc0778594d8,0x441e8951946804c6523eb10e8750d6de4040f145715f0c40ebaf390ef9d5289a,2.0
94,0xe0e578b2728b334a5524a3099ee411ce4b7f354d,1513504713,0x30b10221c90134db4bb8388748428bc0778594d8,0x375274bc8339134173d0cf787aedceb8159b06dbdf27e13c18cde3b5f1545f0c,10.0
