,From,TimeStamp,To,TxHash,Value
0,0x30b10221c90134db4bb8388748428bc0778594d8,1512709999,0xa60101448da1b73a613709dd6660b1da412ca063,0x18556dfaa86546aee49fa250eb1bea60b0cf20ace70dd4b4cee98fa6fd688649,5.0
1,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,1512718419,0xf465e472e45cd01b9cabaa182c31fb3e362af153,0xbc02713429ff35742c8dbdb5b0c3714cd6b8d2d376c2b17ba185272d740c452f,0.05708901033839904
2,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512730198,0x30b10221c90134db4bb8388748428bc0778594d8,0x6e38c1f4b20a880c8b02b63683d06771d58a0caf3daf6a82c3ba4aac0fc9e4c5,6.0
3,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794328,0x30b10221c90134db4bb8388748428bc0778594d8,0xcf5db1da063a073a4089398ebb3556bd2cd99980f8fbc3b75c0c38cf4108fe66,2.0
4,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512822803,0x30b10221c90134db4bb8388748428bc0778594d8,0xb261746d173c7c6b7bcfcb2316cef5d91e21899c975ddeeac59ee57ed7d047ed,2.0
5,0x30b10221c90134db4bb8388748428bc0778594d8,1512889606,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0xe30d0532be5ac1460d7c148bbd9279d7c601877e89c65b7c03c51ffa2b1e928d,40.0
6,0x30b10221c90134db4bb8388748428bc0778594d8,1512890530,0xcb54e9ad63c7ef5f9b09d4e6cc335b11020146fb,0x921a9e9236c1e88e9ab3dacc61a381398c734bfea97035a9008b7b72911c30cd,12.37
7,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894057,0x30b10221c90134db4bb8388748428bc0778594d8,0x96f6c098b78601af0bfefc9bb23e39cbd55fc16bc49038493856a5ed81eb52cc,7.99
9,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,1512896978,0x30b10221c90134db4bb8388748428bc0778594d8,0x33c90ea2b8dfc22ac876b2589753ae557f7fcd05b6eed37958a6e7a83c1879af,5.0
10,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1512908186,0x151230f73412bf8daa1fe4a08d614531f92798c1,0x742a810fa1e050db8f81e808a87943e5b6255245ec69ceffaa0fa29a6e8fe6a4,0.05
11,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
12,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512921518,0x30b10221c90134db4bb8388748428bc0778594d8,0xb22500843ad9c1d08b5300f6d190a636b1bba79d9d6fd87810655ba1d1d916e0,2.0
13,0x30b10221c90134db4bb8388748428bc0778594d8,1512962078,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x1f90ebab72d7082b3f5045cc79e027dbf2bae80a6178641fe546c3feff732c22,150.0
14,0x30b10221c90134db4bb8388748428bc0778594d8,1512962728,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xaf00d9ad99ed399d1b450978cd02dd91073fb44ba2c6884df24dd516d508f3ab,140.0
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512970505,0x30b10221c90134db4bb8388748428bc0778594d8,0x78e78b7056b6db3b68e14de2f35fc92b9c4269db4872b01c94e922ec12a0e32f,10.0
16,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512972503,0x30b10221c90134db4bb8388748428bc0778594d8,0x9a82951b63c34b820c2ef45ff5346f9dfed36eb9aefea4516d6838d194b7b77b,10.0
17,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,1512977393,0xf465e472e45cd01b9cabaa182c31fb3e362af153,0xf498ea578411b477cb92a73f1a634be62e029de823fa085237613c5dc0d02163,0.05669121596483093
18,0x30b10221c90134db4bb8388748428bc0778594d8,1512981632,0x8470937fab46148339d6cce6f84daebee903d9b1,0x711870e0be9506197d2fd4e1caddd41264496bc3c3ed7bea1671674214735db4,8.0
19,0xcc75f7eb33ff9711cf72e18b71484572d031c471,1513000013,0x30b10221c90134db4bb8388748428bc0778594d8,0x6603cf62fa2f0d96f1df60833663c25b823cad20adbcccdbb3fcc5d70ffe0947,15.0
20,0x30b10221c90134db4bb8388748428bc0778594d8,1513000527,0x8f9bcaa4404d9ef1c75ed35b3a96549083ad5a78,0x1cbfe190afad9deb3a303d70de1a42579aa379065bf4742db124db8ba216727d,15.0
21,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1513010471,0xf465e472e45cd01b9cabaa182c31fb3e362af153,0xbf0a3fb31c27c80a966fa0cac6f97026425fb1afbc5d8218d9be30a556588f9b,7.0
22,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1513051350,0xf465e472e45cd01b9cabaa182c31fb3e362af153,0x4d246790c260eff5ecaf1defd84239b5003567809ee1e824a6ea21a77e0e5fbf,28.0
23,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1513053076,0x07da885b9ffc61e117a58791aab7fd8e46df035b,0xb08bac47ad9986c0255e23740406ac4067a7f35e644e992b0c87dd0ce0cd9c54,8.333
24,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1513054296,0x4e14cfa05b00a4e9bf86c2cc5d482401d04842fc,0xd0173e9e36e3c08ec9041056b1f75e291698106d140ac670cc89dee8c433e85f,26.666
25,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1513143487,0xf465e472e45cd01b9cabaa182c31fb3e362af153,0x89f940f1007540fb2b75ca0aa44f27e0060dbbf28e482a31dbb4f8d607ad8dd4,47.62
26,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1513145506,0x824de17d932b5fb8d8e11c9bc64165e1e66ff535,0xf25b14a699bea5fed97ca10caba34f9db55b02e5cd8d6f47eaea812b7ec56d0f,23.529
27,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1513148103,0x083f8563b979edbd4629d129d4df3b5336012898,0xd556f88f0fe76efcbd112ca503d531b5d777fdda8e36132ae1cae3b65d8034da,23.5283
28,0xf465e472e45cd01b9cabaa182c31fb3e362af153,1513157407,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0xae2d3cad1d1805a44cd3cc5c4edd3381f3231328184fb93331ea83a21a309084,0.0
