,From,TimeStamp,To,TxHash,Value
0,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,1512664406,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xce4f590bae01e15ab7b74d20e5a479b07f44da51255617fc1365dacf938a8cea,5.002
1,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512670990,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0x53aeed3510ab208ecf1c5fc71fae89f0c892500f1988052a3247935f565ce344,0.0
2,0x01dbfec0f55084632819b316d4bb3409cb7c5b0c,1512691300,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x377d8f9e63536bff6c9d4c8ea3784468914763f394abb55466e0a2228fe35683,10.0
3,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512697216,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xfed05a0024f37d1a5143076e6cf477c459f226d182d134e1f3de569e3033f6a5,3.22449692
4,0xc7ab734bcaf3e186ca69cfcdca594869d9f3af90,1512708971,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x1d66310742feb23823cb5418a639b2598b5cf8f38d873239b5e542c08a49005a,6.0
5,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710018,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8f237c8936d51cd2e4fe3438f84b7cc2eb58bc6f93448e3a2dfbed02d91afd78,5.0
6,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512710605,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x76a934b7b4d11123eced654e61df55ff8d4368ef6bb12f43c961af43489e14db,0.0
7,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512711098,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x997e5415b9a63ffbe8a5caf4560a6be9ffe1292f8e1186f1179a8cdaaea42908,16.0
8,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512716955,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xc24a33a923229fd1d1994ee3fa3b8da187c9d3ef6a9f518b336d1ed2d0857baa,21.0
9,0xae371a5167f5ca4d215d53e582e6b079e5fc0a76,1512721409,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0xdca26a4e3dd0ba02bdbb59c3bf4ca8c0697e20c9cd5fa9f83939119a179ba1bc,46.86979
10,0x8e5691ed1e217a8f2eb9e324b5b520e2ae94d3d4,1512721429,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0xe87522cd41cb0ec8feb3d20521d293cefd18cc22319c9ac550bda5da70f0d5ef,3.826916
11,0x7471679c2db0e66ffed8eba1858ac49d6a05a085,1512721429,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0xa6031f09ab46246412ac9a7ab4d61d1a69b8d011b4141cb4bf4cb9ebc68f1ff8,49.99958
12,0x318a1305f9540be035184d2c59fc4dacbac77831,1512721457,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x8f630ba503caf319d0ebccb549a883056d401b5b57375b1f3ae7ad6c78658a57,14.99937
13,0x8665c699dd27f728578121105865b191ee73a172,1512721457,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x05fd97b20c4d0a9fdc0bd1e7cc53a4ad0c01ecdd69ccad9a7b57867b87952770,2.99079
14,0xe5ed5e93abcffc38c2361391f2e60cbf1e4b05fb,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x0265c50c9bd2f45536b344843ee4121fb66d7a360f12c46d9f8c190fdecbc29f,68.644215463699
15,0x74f9c981e52d561a43bb5c3cd98005939aaa996f,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0xb67076754e3801ba6851249a373c8e4f8aee255e3a7f7bfd5c01ba27d3f551db,5.09679
16,0x0ba1a5d831ff637e1bb7bc07603d85fc2a61c2ae,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x0611f64054af50f17fde7c1ca103050df4c5c36f361a3ce436ed22c6a4812136,18.39979
17,0x7a46b9b01f44d8fe7ab664610effc5794a4aab87,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x07281fcf308cc9b58374800d7dc22682e654576ba3bf2cba5ed8894990a9198e,2.99979
18,0x730b2a450d979c6d700d78dfe85164fa00ddb93b,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x16ea77972788782afa4525110bd19aea9ade84e978d0a78e514c2f2bbc346371,2.99658
19,0x00a42b9d1b3ea08cf7861dadda7de9f2475307ab,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x10752ea2eb08973b8aeb5b9ea623ab0fd6a6f65c483a6bba04f2f7303138dad6,4.50799
20,0x0fa92d8ac90dd78ea78d6c70157e674e0ceaef72,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0xe11835550b4578bace407b37ed04b7486065b2fd69390c08bee58f658d291746,2.59996965
21,0xd4204bb01ed40a91ba131e72dc636a0a316751e8,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x768deef6e79bf54d43f64c86cab279318a4f544558805a7dc6955b1e408e3c9f,2.330447
22,0x7aae6483c1bc1c49e8a6cb976540de20b171efa5,1512721668,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x5dd007667ea5eb1d80825795a70e537cafdc57c1e58d21e5c3dc5903400ead74,0.38022
23,0x8a54556462d65b401a01104552ecc1d66793f937,1512721688,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x53e4b080f3ca78fceb61427387ee20af10f122e0951717ce57ae7b3320bdeb74,5.0095800000000015
24,0x53e32916e631623b9f49fb4d245e3554efff1c64,1512721688,0x23be96a5cdefd4fcf8e153691e15d7b21f5b2ff4,0x45914b27675506bdde8459ffc7667d6cf06f0a1b8c08c7565a41718e414f62ae,3.66958
