,From,TimeStamp,To,TxHash,Value
0,0xdf36a32b86a5e1b5636cd4d37b3f44dc2130df03,1512662484,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0xd1fdb3f30ed43d32449c382d1923d371311e90f0102b22a9537bea3f1c6e8ac2,5.0
1,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512662848,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0x2840e745b7f01cc2c87718cd1ab9eb011326f7edb29c935c3008212d7571a248,10.0
2,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,1512664406,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xce4f590bae01e15ab7b74d20e5a479b07f44da51255617fc1365dacf938a8cea,5.002
3,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512664793,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0xa51e1477f4e38f5fc37e8710a2dda2defb11e13b817b43d94541181e071c6ec1,10.0
4,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512665851,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0x348247f32f75096c60effd071badf9689a8d25e1ff80160c93b4bf415dc3b87a,7.0
5,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,1512667289,0x48072504dd16fa07b36da57c6d3be100e6bbded9,0x59a2e0d93b81b67188dde09a476146d9ccf696f711e6425c15d06c2b67ed6ae9,10.0
6,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512670990,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0x53aeed3510ab208ecf1c5fc71fae89f0c892500f1988052a3247935f565ce344,0.0
7,0x01dbfec0f55084632819b316d4bb3409cb7c5b0c,1512691300,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x377d8f9e63536bff6c9d4c8ea3784468914763f394abb55466e0a2228fe35683,10.0
8,0x8a88da39ec2c1e54471d44d168032308bd4c3f4a,1512697009,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0x37e5e54300ac04ed01b1554f396e24440d32be0a27697e4e6dad804b32954801,10.0
9,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512697216,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xfed05a0024f37d1a5143076e6cf477c459f226d182d134e1f3de569e3033f6a5,3.22449692
10,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512698032,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0x09d1abe020b6d309963fd82b121e6330bea9a9da715a49eb7c19589d93904902,16.097
11,0x72c36f09031a6d86ad0b1471637300f5c9db115a,1512699761,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0xdbc6dd9ce015d3e7c40d7c75018f3b6441f397162d413cdb2ffe6397585b01a7,2.0
12,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,1512703428,0x6e29a7e2df83810ec29bc85d5ebacea35a6dd768,0x0f068a90a3aa3ccd3b65e3964e4a29a966af42e42a6d8b42653f84095acc5a5a,1.0
13,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,1512703635,0x6295cecf3f19ab3a0b25a893451448024fc09cea,0xf8010f8edc0526769f693c457c1d109a839c608dbd18394d659ed219bdb13cde,6.0
14,0x83a2fb68e4e9cc50c4671dab755922a03be37c4c,1512703876,0x837cdecb0a4407c20c0c65c54c3dfe6e678dec17,0xe3e942d130698d3385fccde9f7bfe74e8687887c4901cf76a5bc6f9192929d6f,30.0
15,0xc7ab734bcaf3e186ca69cfcdca594869d9f3af90,1512708971,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x1d66310742feb23823cb5418a639b2598b5cf8f38d873239b5e542c08a49005a,6.0
16,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710018,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8f237c8936d51cd2e4fe3438f84b7cc2eb58bc6f93448e3a2dfbed02d91afd78,5.0
17,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512710605,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x76a934b7b4d11123eced654e61df55ff8d4368ef6bb12f43c961af43489e14db,0.0
