,From,TimeStamp,To,TxHash,Value
0,0x8d2622ece647ff1e94419fa58df5b22d9d96c8ee,1512664203,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x06e012490452be3e1d351b8c8dc7b5b7dd21f09e0c6698cd7477e7876d2d15d7,2.0
1,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,1512664406,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xce4f590bae01e15ab7b74d20e5a479b07f44da51255617fc1365dacf938a8cea,5.002
2,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512670990,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0x53aeed3510ab208ecf1c5fc71fae89f0c892500f1988052a3247935f565ce344,0.0
3,0x01dbfec0f55084632819b316d4bb3409cb7c5b0c,1512691300,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x377d8f9e63536bff6c9d4c8ea3784468914763f394abb55466e0a2228fe35683,10.0
4,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512697216,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xfed05a0024f37d1a5143076e6cf477c459f226d182d134e1f3de569e3033f6a5,3.22449692
5,0xedbd5115452668ebf7e4b47971a1b56dd8c1af4d,1512703544,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x53b4d2c9684012047bf806a7b83a9ed0b42ea8165cf1d9419f5f7092d23ca7ea,2.0
6,0xb74e5e8798d175cd1e8bc023171739d64e284ac5,1512703876,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x319802a92670dfad3f3f231e108a1d9622c9bf92ff9dc034d7441ecd3148c993,1.997
7,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,1512704947,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x968218ae5b9fb04a256ab2f054128288d9ea47d4c3629c0a0f793a28a9a4a806,1.0
8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512706367,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x234cd583d57c718a3c662648d7df66d66c802ad3ef9faaa7190449e4c4537b4e,10.0
9,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512706814,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xb7ce55efb7e00cfaec000cb55c2c50f0578951ae43bc6bb04839048590116218,1.99
10,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512707937,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x96b179580a44a41718f9e0a834296338434efce16aa5566cfb16a9c452c9b40a,3.0
11,0xc7ab734bcaf3e186ca69cfcdca594869d9f3af90,1512708971,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x1d66310742feb23823cb5418a639b2598b5cf8f38d873239b5e542c08a49005a,6.0
12,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512709901,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x6bcaa683c666ab5437289b885fa49acd5c583e17c43d258084e97ddae08974cc,1.0
13,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710018,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8f237c8936d51cd2e4fe3438f84b7cc2eb58bc6f93448e3a2dfbed02d91afd78,5.0
14,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512710605,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x76a934b7b4d11123eced654e61df55ff8d4368ef6bb12f43c961af43489e14db,0.0
15,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512711098,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x997e5415b9a63ffbe8a5caf4560a6be9ffe1292f8e1186f1179a8cdaaea42908,16.0
16,0x5011b7dc5fd842ba65ec717d812b3bfcf9433957,1512711353,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xe0680fc9c623440f9ba1bea38d6fa792350e48bc4b7305a9ac5e331b82aae6d7,1.5
17,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512711588,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x778c15909e93a8c032b351e0c93887ba5b065c64a6924072042d9bff4c2dac03,4.99
18,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512712377,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x772026bb4159afa95cebe6fd0895ae80df866c71924e65b97944138719298f35,2.0
19,0x80e29acb842498fe6591f020bd82766dce619d43,1512713449,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xfa1c36c6106cb518a48de62a838bbdf7ec02e745fef6ae8de01047a10cac0987,3.987
20,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,1512715147,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x1e44f201b09ae23eac161ff203dc9a563c8e36c36274d3a6d21accb510bd47ca,3.0
21,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512715538,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xd80211d2516dadf79da3f7896e8a8c117f7a1fc8536f39d7324f53ec5f92be82,2.0
22,0x34ae706c2e6c9e40235e0137d04a6920578deab0,1512716072,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x1511b7298422956be7630a9330c6d734b43859b2356d0f84e166d6d36b9570db,2.9
23,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512716428,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x5e852e55e4fbec2f3058978f29d684b7f100a807d7a3e6e4c88946a9c06f8b48,3.0
24,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512716955,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xc24a33a923229fd1d1994ee3fa3b8da187c9d3ef6a9f518b336d1ed2d0857baa,21.0
25,0x085b8c65f3da6bd88ab07bbe56348bf4c6111142,1512723704,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xca2cceee128018361aee1689b0eb19153b0683c9f37c11dee96c916f6030c532,1.0
26,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512724901,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x5572105a73de6e094c56116c9d6a4659d58ed90c649433d5a4b7c2ec6a902fc3,20.0
27,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512728262,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0xcb2ce90b73dbe7e833d685fec246029526d8e434faa6f5a4253bea6f0d46a918,0.0
28,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512731270,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xcc206d39607379aa131eeb3bff77ada7cbf546d139e5cf1b38d41dc1ef46aa58,2.8831
29,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512733860,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xcd2c3b01a35f73b52d30a50395d8c2429c5e533d13148c95dd0adb0b3d85e8b9,3.0
30,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512735332,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xa42a74e3d7ec33b33f4655d11e1c458e6ba55f52e5fcb0046f85617a2d0c56f7,5.0
31,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512740915,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x31201c73849661d433a32eee0b30af641c711e380f9d93c02537b2d8df851e1c,226.82
32,0x2dae865746010c6f4d24f44569bf4198146a497e,1512741441,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x9e1bac65c1b294b0fe96c93b6c3db8dd6cef2170835acc27be60bc40bb22d57f,7.0
33,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512742940,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x61b7a58abdff8d928c7547f7b159eec58182404d4b6935e3caf4a3fc25610294,0.0
34,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512743907,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x543aab2c8a49b102e3b0326e0d64b205c2975c8b8208a59b1d1b8cd1117fbd2d,150.0
35,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512744085,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x17a9a655c7cd14be72bc3848e4930916627db23285600e49ea29433ef17b4791,367.78
36,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512748422,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x6ecfc2902a50928f2c761eb2901a7395318d067ccd470bf9d837dfcf612f874d,31.0
37,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512748673,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xffd6403de78c52908fea42351a48fe1376bf3b3dc82c2347d84a6267c0e55e2b,20.0
38,0xdc82b6082b3cb8090143bb7906534621600ff63d,1512750119,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xba3fd1008dd81f7a10b7e5d00839a8b88b6986cb4d643f65146eacb3bac80374,421.0
39,0x4d99b38f6f9d0353869cba6842ff2c7a6227fea6,1512752450,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x827fc55c2bce6c53faec6fb307c60ba3f4c05d36e7c59f265b12f0f0a65efd40,10.0
40,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,1512782504,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x2f0cb2d2f95c2cdeb49ae4acf95064b16565d76c48080bd0158f9d01f4df66d7,288.0
41,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,1512782513,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x9573e1b02020faa8c80143f32cfcce8da29f8c3ae6a09278e448de35bebe77e2,253.0
42,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512785154,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x15aa0019b3b14e24940c56e5a9ed9d8a63eafd0eb1834a1a52a207443736af22,2.64370453
43,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512786880,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x4d427e4bff5a6be9aa922623e58954cdbfb2b3d022105a82e49d9963b6dc89fa,154.0
44,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512788433,0xf7c1e77f360e051790295f778627d61c734375db,0xa48626573f7ff5b0a003fa3b59ba915aea1fe713b6d13a1ff50cc16b33d656d2,20.0
45,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512789741,0x18553f87be50bef5410a43c9262f6e7fce8bbc3a,0x64e48e643c66c57b635dd6d5fae20be00e33016dea06477039508f9cf932539f,300.0
46,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512794981,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xe27076a902a419919b3e2816c6818bd4fe4b4170805115a8596dbd93dc21bde0,3.0
47,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512797505,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xf80973f1b292b495dc3096789908353c8a2ec8a0b3370a47de770128b857fe13,6.059
48,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,1512804466,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xbad9847942243856c439c2167173964c6db54e6a8f3173a6e9c35317fa38b82b,0.049811803543205316
49,0x243bec9256c9a3469da22103891465b47583d9f1,1512805231,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x99199d10e4af86f264d42155a5e92f1ba8f0bae4be1d647649160c95526dca8f,4.0
50,0x9448509550fe010fc527137f52ed8fcc2cf956e0,1512806942,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0xa950207103192f4ec346f0cb98e4be7a297d9ee3ea58a1b815be515cd1cd2481,1.0
51,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512807674,0x9e0492a9c53d3a7a952e36c1100c921f8bf07cc3,0x92ae915e9d8db4e89d0753feb01a31e98151303f0f76ab197613827e1f59e4d7,2.0
52,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512808790,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x77be1b6efce0f732aea5d244af03469e5e6a739c56b793c2bda704bf1594ebda,35.0
53,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512809712,0x2736499bcf2e5fd5a37ba3108c4582be215bb2f9,0xbcb064e0d8642dbab3888f391a9a5ce1fc8ef8b3c2e3c42bc6443475df0f3f74,30.0
54,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512810056,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,0x587e1b99076abe004503abf2cea17cb9acbfcf11fc94ccbb4fe9704e50f7c3ce,40.0
55,0x5eb4f84aae6ace47ec95f95babd39fd0048f7524,1512811246,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x7c7d0da2031e028a258d74c808e31bc855b0a7f00d2988922606de07d0cb320d,400.0
56,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512811452,0x1d4b7e1c0d835d9cd69a3f9fefaeb12130b490d2,0x4c507f67b50410ef50db592efc3a385139316f1fdde7d82a593eb3d14f8c84e7,50.0
57,0x4d99b38f6f9d0353869cba6842ff2c7a6227fea6,1512812864,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8aff1190500ca672ef773dd5ee4412a4dbde227058e0eeec64766daacd39682a,10.0
58,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512813802,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0xf86a2c0f0c30529d4ee09bf20aa2c1ed83d359001032ced8e0fec3f86cff4b63,300.0
59,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512820531,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,0xab5bcd97007d344d2b248850327bf8128ebd21c4e1c81b8c68a482626cb0197f,10.0
60,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512820570,0xaca056086d0e935939f0f7b902d67d9012309175,0x56d53277a2fe8f3364aa01ac340b4fc98954ecca6a3c07d1cc03cb73b202db58,40.0
61,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512820735,0xd93088b3da2175b3b0d543ce43e8ae36a3809302,0x47312d4413dbb20b1eb7fb5770a88d6495037ff4e13414d6813420efbe9d65fd,40.0
62,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512821578,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,0x13dcbe60a731562da6d45ef0bb8448136af37b3c8d3d75a86430ee6b5f5353a4,50.0
63,0xdc82b6082b3cb8090143bb7906534621600ff63d,1512826697,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x358604a5515505d9ccacf9ba773131f977af515ec04df069f8e7cf1733424794,24.0
64,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,1512827628,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xeb503165f30761ca0f8db8a72f2798c19b10833a52b75b0d5ba4b5b2e2eac69d,4.0
65,0xd62bca5d745a4b574cb6dd844fccbd82c3e857c9,1512828572,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x5f60f2b3ecb1da862755aca4f8d9e49f40cda28b18a09734ccdd44e975561ee3,10.0
66,0xe91fc8a83b6c0d59dc3dd8fdf5d54593fe58788a,1512830603,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x0c9de0d7fff7c035ae233a7f1b8798db0bcb10a40db7138468aabda6411c7dae,80.0
67,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512831726,0xd93088b3da2175b3b0d543ce43e8ae36a3809302,0x18c78da546031e9c704e1318f24cf6da58914b2d7818a1ab7f37dca82c406123,30.0
68,0x80e29acb842498fe6591f020bd82766dce619d43,1512833183,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x3b0355a437e2ac611c6e2a04067f74f99548b2f73136a23e77efb6ffac6295d6,10.0099
