,From,TimeStamp,To,TxHash,Value
0,0x6c5f5438b90199c0af169abd7aac5e0bad657f55,1512664406,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xce4f590bae01e15ab7b74d20e5a479b07f44da51255617fc1365dacf938a8cea,5.002
1,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512670990,0x51db5ad35c671a87207d88fc11d593ac0c8415bd,0x53aeed3510ab208ecf1c5fc71fae89f0c892500f1988052a3247935f565ce344,0.0
2,0x01dbfec0f55084632819b316d4bb3409cb7c5b0c,1512691300,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x377d8f9e63536bff6c9d4c8ea3784468914763f394abb55466e0a2228fe35683,10.0
3,0x27bebc44c6f60f99d558422288d616ee15dcb36d,1512697216,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xfed05a0024f37d1a5143076e6cf477c459f226d182d134e1f3de569e3033f6a5,3.22449692
4,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512703054,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x652738d7a62ca9ad14a119ef9b367b5e6553107bb27d703d515ba0aae2c2b476,10.0
5,0xcc2bd416a3fcffe8a2023fbb719af8d97e91d0c4,1512704736,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x66051650ea506fe83f7d8cce4617327654e1adc2ed2ed4e36ed34d8ac09d0089,1.0013356
6,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512706239,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x0ab9f58ab58dd0e51cbd1bcf1bebb15e262522a207a82d31c9113566dbee7c7b,2.0
7,0xc7ab734bcaf3e186ca69cfcdca594869d9f3af90,1512708971,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x1d66310742feb23823cb5418a639b2598b5cf8f38d873239b5e542c08a49005a,6.0
8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710018,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x8f237c8936d51cd2e4fe3438f84b7cc2eb58bc6f93448e3a2dfbed02d91afd78,5.0
9,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512710605,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x76a934b7b4d11123eced654e61df55ff8d4368ef6bb12f43c961af43489e14db,0.0
10,0xe14c612e353fe246dffdb43d1f18d52c8249766e,1512711098,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x997e5415b9a63ffbe8a5caf4560a6be9ffe1292f8e1186f1179a8cdaaea42908,16.0
11,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512713240,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x0c82524b907b5aa45a690dbce9ff1993198a12585dd1ab56c90aa25455f27b3e,1.991
12,0x4bc5cb4ab4442a6f2ea23822b7477cb0a025ca4e,1512716955,0x43b687b0a11718730c562ee32a103d93bfe458bc,0xc24a33a923229fd1d1994ee3fa3b8da187c9d3ef6a9f518b336d1ed2d0857baa,21.0
13,0x30cbf66f4563384979cf16275fb4d046cf17ec89,1512719120,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x1395813d24b8f733bac51059e39a0325304a4ba2ca84f71862ef8118343c10c3,3.01
14,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512721014,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x5c2d08a4ec65785605f01b5ecacbd5a1845f6bbaba854cc67377a367f1bb1c96,3.02
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512721473,0xdc82b6082b3cb8090143bb7906534621600ff63d,0xd2431c90e40f6887f1d21f43dde87e5d31462a560def16b4fbdb861bb5ceeadf,7.485
16,0xa9ea54bff0bab5d0454c9469519ee3be5e3dce67,1512722965,0xdc82b6082b3cb8090143bb7906534621600ff63d,0xa18b877eb571aba1fd349d578f293f14eeca839d2b8fac8b59c2194dce24d7b1,3.0
17,0xdc82b6082b3cb8090143bb7906534621600ff63d,1512726483,0x34aa26f1906687bafeecc333823543bfa1c03ae6,0xdf56a8377780c4f160b6a30f83c45a6d263874a5a1f3e92125901834745c0044,3.00124503
18,0x8086eb4d336ebde71e9c85eedcb82f7a91ff6048,1512726820,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x1b38d5dc25c788c6003f8e101e1d17c1065ccb2770d266b8693e0a1b48ad3cf9,1.005
19,0xedb7af625443bec75d53544e091ee3492ede8bc2,1512727872,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x82bfd580e66e1543df8690160d17903574c0b51ddedcf9dda375d17061ca500c,9.0
20,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512728262,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0xcb2ce90b73dbe7e833d685fec246029526d8e434faa6f5a4253bea6f0d46a918,0.0
21,0x80e29acb842498fe6591f020bd82766dce619d43,1512734612,0xdc82b6082b3cb8090143bb7906534621600ff63d,0xf129f28c33a00755f471a6a6d9e78891cb30bcd8adf0c628b90d3000a3c1485d,10.97
22,0x78557b2e2a54c219c82e8a85120225948cafffd5,1512736335,0xdc82b6082b3cb8090143bb7906534621600ff63d,0x959dc7e0df91aaf3e128c64aa04b186f517307832698c7baed83423a8b663237,4.5
23,0x1a3c1cc69543fda4cb825d6dd8ce02bcc3cf67a0,1512738431,0xdc82b6082b3cb8090143bb7906534621600ff63d,0xdb2b794395b9f28e56c55b2ea6de552399fadca0d146f4db19d2004643fc4370,88.0
24,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512740915,0x43b687b0a11718730c562ee32a103d93bfe458bc,0x31201c73849661d433a32eee0b30af641c711e380f9d93c02537b2d8df851e1c,226.82
25,0x43b687b0a11718730c562ee32a103d93bfe458bc,1512742940,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0x61b7a58abdff8d928c7547f7b159eec58182404d4b6935e3caf4a3fc25610294,0.0
