,From,TimeStamp,To,TxHash,Value
0,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
1,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512696697,0x16761f07b4b5b739432ed09544c90fbd3e2dc491,0xb3ad667573745b5db1af817b94f83eeb4cf85868b6ae52243198fe2cd74626c4,10.01
2,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512696902,0x17450dcec57b681babc929b5016110d8702c7764,0xece080a72e2b2c18772337cf06b364e10d84e6168cd8054c491764cf0c59761c,8.7553
3,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512696940,0xc21f46d8ed68cefc1ca0ed11d5b984a95a17365a,0x7d4a492cf98658cbb171486bc2bf1b25c8e4ebe4318db67c366677bce185a70b,0.2619
4,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512697030,0xc60601d874926b70b79ace4a78ecd3439d9399fa,0xbeffdf367fe2e3fc420a644edec48c9194968a741b6b209c4c7a5ac4613008c8,7.0
5,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512697203,0x6125b93de4d9cf422b0da28526f90adcc7c3290a,0x9d27276fe6d535db6fbfaee5ad67efed6d875bc1b3b21a1041079279947901d1,0.1965
6,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512697234,0xa2ac5558c552cde28a8c382c5a91333b1e0c92fc,0xd44f4f1b072d2be6a613df47537e0fff6dc41913ea0cc9b0606c45a1f88ee4a9,19.9963
7,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512697342,0x00dc5fcf5a87d72ea2ffe1297b7d4eeea45ccd02,0x892044c5ae845398560de59cd46df81152bcad475838be5c987cf89f7c05e1c3,2.1390000000000002
8,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512698124,0x9ad103c3dcc69295cb2f5c661fb354aa60cf3a03,0x7915e07965d8a942ad6d3662fc0bfb40fdbd9ead1dbd2a0d9f93851c05d980dc,22.75
9,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512698454,0x04672a8b9aeb3ce464318d9ccac5c3efe52bd9d4,0xa9cc04410b3a02e32e3033b9912f4881e14fcb02b498d964a16d49c8c032c866,14.99
10,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
11,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512702382,0x5a20e8ce524a1610382f491f72dd38bb98506c4b,0x6f91ae0ed2e70ba6e14f2a50ab8e8241a76d4307efacd541fa255cf1089ab950,5.99
12,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512702420,0x18aee75d30f41980dd569409cbc5703ae81e8eed,0x8763d3742634230d8cbe50463e6357b912c3f1fcae4f42d6ded2ba2d91db1948,3.0
13,0x3356e3169b41a5322ea09d5e786099134959c2c9,1512705968,0x2bc562b14b036cc4acaea0f0961ccb54a903ce20,0xf24cf0d7120fef006cb6ffe58c78ca3cab831487c8de2d472adbc3ef6b46187b,4.6515
