,From,TimeStamp,To,TxHash,Value
0,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512663654,0x4a7c1a2b1bd5f34619e92d60bfaf77eaa9d243f3,0x6003e87f7429ce9ff4525ff3ee8f7589ba0960025a9f8420d16a05cd90da8d57,30.0
1,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512665811,0x726cf25a8402765680fb0e19073d0aac33986577,0xcc3eb103749bc79c7e51929902797903b95144d89e75e2ffdeface587fbec2fb,8.0
2,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512667065,0x9372bac69648cf676c6e8dacf8e6f9b8301d75bf,0xcb55accb0c25d4facb6d58ee9a587370a63c5122b3face5f49aaa5b08b146a0d,12.0
3,0x093bca2487a2a22375c974c64124f2707dde5fc7,1512693267,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0xfe4b4e153987f2b0050ab13796210bbb82bad18f796b7e61d85f6815c2ae1735,50.0
4,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512693925,0xb0cdd29d791096ecdf706b63d23da2f7e0753ec0,0x297ff0a39224134525275dc63c399e73a43a979506857cc0e7343821fcbb3f58,40.0
5,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512694279,0xbc39bc931036be317cb1266b8c53a4fadd20d020,0x128c567de034f0e2c8a8ea8be7e953423d61af274e0e6453368cd22aaec8ccd9,10.0
6,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
7,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,1512697679,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x8005720de06939006ab64a2fb465c57e1f88426113484627d31ebf15cbeec97d,70.0
8,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512697814,0xb0cdd29d791096ecdf706b63d23da2f7e0753ec0,0x65ebc5184abe51d0ff6abe6aeec3c660f3ab8b1f80d2fc9b82666fc0a7884ec3,25.0
9,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512697932,0x06d1355291389ec27c6b47a6875e152f63a04987,0x20b26a06fc0ce5d3c3836f387b7f4a1a765cb22d698666326d06fd9e49103a60,10.0
10,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512698674,0xba17e3a71333cb58300eac58dc1c44dd243f1a9b,0x1ffe9b00d8046bf8b80fa9fef6e57cc75c0daa5c156471461f1865441e5b7d39,34.99
11,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
12,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512707865,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x89dc69f3ab585be75f3520eb9b359e37ab6ed22e5489a7911a3f7099440e8a1c,14.897
13,0x4bb3d8fe0c6fccf194bf163019226f56b1f91379,1512708470,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x257c4cc396750aeae6bf835acc11f15a0f85b8ab78d1ff1c87576e33e236559a,0.11
14,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512709381,0x9e0034dd2f1f58d8e29416d78259f3c0ba441090,0x227b56356c858793c9920386f92ab89973c8b46b38fea7490faa77f77a02a2ca,15.0
15,0x7fd2b04df6c5f99b413e8f5e4dd02ff3abc8fa99,1512710075,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x6d7b97aa3c93449dd9e3bec272a80e2db2740c8fcf71fc953dac99031b5f1a15,3.0
16,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512710260,0x424c0d3440043b743159d57640d2d05295a1e8db,0xb8301dc1db75312d4b34b5b9aeb2d1ece1d6550df15827619072257c95664b82,1.5
17,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512711807,0x93b734d3e98942c92df7f5173884a9ca6f65d768,0x4d625f28331cf3aaafb3938b43a287b8e11af1c2fc76c32e0220a5bd268affe2,1.5
18,0xe6bef5ccde469b56326424f3ecbcb1719846060a,1512713073,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x1f1dd7f8c9b33faac85f9e21d7c17bc78778d78061a7e962e862d9eb6834e286,10.0
19,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512713593,0x55b2995a87e85c48fa99e8597bf42748cc731e74,0xc70dffb5885274d4db27509008b7e8edb6d3d4a4814a1805083b1c8e8e41c205,10.0
20,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512714987,0xc2d36124ef743d19ea9ace7bb6bd3ab3165bf7db,0x05e76759462c62b30e419503ef6c5cd8a09cec5770b2e5b7f87020814edd4c80,20.0
21,0x8a98042b5c0c34ae6ade901549bbaf7a78ac9ff5,1512715484,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x197f3bf70bdf16d57fa76a162a4898a75a453126d61fcbec73eb1292606699bd,12.0
22,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512715581,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,0xfbf3ad22dded9035dea66e61f80bbefcfc5a6d69e24e14b5ac689abe90737439,10.0
23,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512715630,0xb0cdd29d791096ecdf706b63d23da2f7e0753ec0,0x743478dbd992a0ddae8f73d4bfe497875185a519956cbdb590c7af72c23816b1,2.0
24,0x8a98042b5c0c34ae6ade901549bbaf7a78ac9ff5,1512716964,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0xbe591c47444848c0bc309180d5a3ded097696481a634d4d919fb235cff82a5fc,10.0
25,0x8a98042b5c0c34ae6ade901549bbaf7a78ac9ff5,1512717317,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x961189a97bf06aa220542174264c5a8857ec1ee6fd1282e0be28f4be4ccd6788,26.0
26,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,1512717430,0x0f0cd470dee8944eeb91cab458d6df37e4268543,0x75835d79e8b97de4a63ccfef2f8621c67935a3e0df2e70a2edfc010c9232729e,10.0
