,From,TimeStamp,To,TxHash,Value
0,0xf45e713812ce27bfa04d5132c3d1e1304ec743a4,1512664026,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x3746e2bb6e6c448ead691789eff6b76b74000c528ce19760eb19bc985abdc41a,19.95
1,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
2,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512698858,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x791bddddcd0c467a280af0f2d8f35a73a00b81562bfc4e1e713e725f62b4f409,1.0
3,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1512699578,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0xa81ccdba1bc6f02f5ad1843fb88e2fbeb6023d258c668040e47953b14b2f4f98,346.5
4,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
5,0x23bbbdabbe34c648a3166f51686f2a927e12ffde,1512703608,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0xb6018cdcbcc0ee261dae43a97dbe18b300d7e2934f1a485866a91f20883614c6,5.25
6,0xa13289d03c4eebb9f9fafd359f971ed641c30229,1512706339,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x9e0f659aed4de73ce1a5547c864c59527522d58965a8aa45838285dc655f98cc,5.25
7,0xa13289d03c4eebb9f9fafd359f971ed641c30229,1512707475,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x0e5200feae1a9fb41084427be1a5617e1afa6a9174182642bb2c274829ef3564,5.25
8,0x45d8bae872fe698f84ee413a0436d34a883479d7,1512708997,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x870a7be1c69f6aaf664a2c004caf7ec42156392e194682b08126102a3fd5e69b,30.0
9,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,1512710478,0xf0542329c1541f1a264b033417dec41ab69124b2,0x74a506a6bc877bb98d4b1b88e528f7a87434757c6c8021e4e21650c3d228332d,10.5
10,0xa13289d03c4eebb9f9fafd359f971ed641c30229,1512712980,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0xf03b0538ced537cd21e8797c4aa221c81588e19a96a983302fd61cc1c5e83525,5.25
11,0x44c59fe5b163232974e07cca5a488a7d323a1200,1512714753,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x0a837696f34dc524dda4032b70661062df84f11ee35ae58ba15b7f2603e544a6,2.0
12,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512714987,0xc2d36124ef743d19ea9ace7bb6bd3ab3165bf7db,0x05e76759462c62b30e419503ef6c5cd8a09cec5770b2e5b7f87020814edd4c80,20.0
13,0x006016ced2484bdc1e78bbdc0ca95fa021ca5ba6,1512718624,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x9c277d51c6db409dd984601b0dcb9c359b2df790aa0143bb6c10376c75159ef2,21.0
14,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,1512718961,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x2387b4999b1ab7879fd7b9b325aae77d8ae04a529fa5e2c5f8c55c15ae91a106,1.0
15,0x23bbbdabbe34c648a3166f51686f2a927e12ffde,1512721372,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0xb0a4a14a7c0e5de2388f21f2cc1f63eb2f2893601c2da29dd2af67176ab13d4a,4.2
16,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512721944,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x308f45d2d0549530f763eb411d0a030330a4e9f9f4307f6fda582712105ec2c8,1.0
17,0x1f5f93132448891d271419409a7aacaa374f36c7,1512728389,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0xdc7f81913c0a6d8ecb1650441d785850258d9c86e27d29f2aefb6dbfced4aad5,11.55
18,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512731857,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x81a062e3b6365374fe18a22a63d3df12207f10a6a6d9a9e7a713b41b68653248,5.0
19,0x915f15c0136e385f6655bdcb36180f8d2914a11d,1512732906,0x6a36492fd141fe6d631b7f1d9d37943583d752eb,0x00aed6ce0d2f7326beaf7ffcbe1abe203b4ea3d4ed998aed34422ba453d9613b,5.25
