,From,TimeStamp,To,TxHash,Value
0,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512662789,0x745b5ef9801dd32699925a3b3f01023ebd49368c,0xf81369de9f6ab23eaea53e941c245f8c6346c0c46df1b154900ce89558c4055c,1.0
1,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512663584,0xf073a9e407080b40a231d5ae4bdb940be5c9faa8,0x64ee19bffe367fdcfb8dc66dd4e97da7a46c32162406f16c6bf7165bc71d8986,10.0
2,0x53e48e09c42b717906e8f0e7cf562af347877787,1512664121,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x93683d5bb4d4971a1520c6ae106611ad059f855e3e1adf7ae567fac03a32ef56,9.72
3,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
4,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512698983,0x01cb7aeddf70d6749e576cf661a4d77c4e692030,0xb84fbec4aa39229bc74dc5b28bbdde8893c9a011f66c06f55c22a999be04a0d0,20.0
5,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512699116,0xbcf17d7a677cf5cdd8ccf1c20c541fe31421ce8e,0x8a557f23c92403532fba8b3f0e82cf035eb0ca882fa477e58491dc8d8dacc851,5.0
6,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
7,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512700408,0xd83ccdd74c57665771e63052787607e40fccdee9,0x27461d982d3a8c44ef1a54e58ad325eac4b375c0f056c1b030836fb56ae299b9,1.0
8,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512700581,0x7797672373b96e0ce71a96cd96d600993e58c2f5,0x06fa0dcc80f0c55597343960a0358f870c6d288e80b40f83cc8fbde3019b90df,6.0
9,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512704122,0x4ff71ef6d2b520889d20383bc17d4280f6c79b5b,0x9d4676ba927a53e0372b2e9c6330e448ae66fc55c3870f6284bfd2b30fbebd31,10.0
10,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512704519,0x4ff71ef6d2b520889d20383bc17d4280f6c79b5b,0xc5b4e517fdb061ae77875c9f167ffb1f7c3f8457e335d1ad44b152816f16009b,10.0
11,0xbd370c6598b95113db0688b6652b66aa10793658,1512705748,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x3610e9b779da86f5d570c99b76e3b4420ee71933376d867a6c1dd1b574340ab2,150.0
12,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512705850,0x8c6a0c896a27834660d830847320a8da88085063,0xf49fa85eb45dc1a2bc5dc6363e9c31e2b88ddd99f789ec69f74f91c81ccd10b3,80.0
13,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512707279,0xd82dcce302a29e3edd894c506abf0d8d362ff709,0x0f52db9fb76a0a870462dcfc5e6648ae93fd8ba3cdabf4221e1b8632b53f485f,5.0
14,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512707904,0x68833cbdc41384cb1959ba93614618a9563e59b8,0x4853ad8397fe9ea10e68e7be67722d94b1138ee45a784a1186b5518b915b383a,15.5
15,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512708175,0x013a9ef9d62633618ab9543ae366349e9a6d13e1,0xa3fd2296a458dc23ae2db3072e0d88d53f52a29fa8dc58ddc34c9f1ca1f7c23e,10.0
16,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512709134,0x8f371807490f6b943b035f2f597466bbd913843d,0xbeb3bcf46586c13b985506ea49e37cf185c997cdc46ebe8fdc7666c6ada64dfe,2.0
17,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512710260,0x6e59d7535bef5efba62e3de65a38db41933bba58,0xc4df46ec43a54edb5100f6d4fe0dd0c3933ae0ad31e61bd812324724f516b8bc,6.28
18,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512710745,0x19498e5c34117164128b6cdad24a95964f99d829,0x55f37697d7aa2a2d1c73e56daf3857083d35f18b9a216011610caeb1c0633f7e,16.0
19,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512711807,0x2393ae8078a25bf83f2065d1bea3a6349bd9caad,0x758bacbd51bce45cad5d2294fb4bd3abe9a5cbc4da3b7bba239f9bbf3b6d421f,10.1
20,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512712897,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x38cf66779ef43b934e5452714845e2166047758efaa6bc253c7a1118071e52d0,56.28
21,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512713457,0x963c391df79bd87a93c064923eff49fe429c268d,0x73d12fd1d4a9a5cd56e8a55ed85a143a030b585fd5858528d6f84dfc6020bd76,16.0
22,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512714987,0xc2d36124ef743d19ea9ace7bb6bd3ab3165bf7db,0x05e76759462c62b30e419503ef6c5cd8a09cec5770b2e5b7f87020814edd4c80,20.0
23,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512718058,0x094cee0acd54c74ef6b09813b65a7a14c94c4bc6,0x2911a1226f9bd703743da4f114ec3a4fe259201168a835c4ee0309bdf75d1497,16.0
24,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512718778,0x3bbf861267d4480be5883bf00802af4dffec6cea,0xfe1302d89070dddf46eccb4218d064ebb7365c771984b89432bf67ca84f09e8d,6.0
25,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512720361,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,0x443d665c650d6d4c6d158870b438f3203af741046cd66f1f92614db37437b36a,3.0
26,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512720891,0x82e2e65d661e1c7fa27f88a428a274b94e82febc,0x18d053349dfc6406399f8ab197aaf9c7e9c606a53cd6149338db07783a0882ff,16.0
27,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512722730,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xb4a0296e9931512235186156869bd7d6b9e672853bd9292aa04e478291da3463,9.0
28,0x53e48e09c42b717906e8f0e7cf562af347877787,1512724134,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x4c8e0bb1227603e578f030621c3c6830ab9091761e73cd5ed3870cc46eda3012,10.0
29,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512724654,0x25c2e57b08db4f2a5da1462b3cd8bcff573e6bff,0x3b8c2dd61c26f8a4baf75c8fc28dea65e0427a0633cacb3e91a1ce3d5aa8c3e9,24.0
30,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512728755,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x97596523833f959db0916b2ad86b62e0757e2070e892ad554269314b197728ff,10.0
31,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512729680,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,0xdbaa9b9e266aa82e693392cf4acf0ea482b736f4415b859d51218f7885f761b8,1.0
32,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512731056,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xfaa3de970614721ba7194bfe75fbd4e62274034aabb8d0025352d1c4232f6c93,6.0
33,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512731082,0x563ec7e01f8592d22e27638b498250607d384e08,0x8d78de6621068e36cfea8cddc0e4ad70ec0b8832ec9481562afeb8c3090d6984,15.0
34,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512731857,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x81a062e3b6365374fe18a22a63d3df12207f10a6a6d9a9e7a713b41b68653248,5.0
35,0xee7d3a9a3a2718bd6206db9b1b5060ffaa3258a0,1512731982,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xd3816f7b0ceb38ce2f65d2f5b2b04436c63a8febeea609979b2509ea08868843,50.0
36,0x57c6e0582f12d1ef9c188cfde674fe17179a4597,1512732269,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x2554520c4d7bb6ae27310d8547fb8bbc80c6e761aa3b174fae45ba9b0aa37676,7.4
37,0x21605745a195eae4d8617abafdc67d5ec37727ae,1512732320,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x06769645feaf3ddaeca26e92531d6b60d4483dc7f444610fe9e009e091936c99,8.0
38,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512732618,0x07ca46fc6836826ab8a4ff930a2ba58d07c256e5,0x769bf6f55f6886d6fb1179e0c7c5467c40ea5db8c75c46d1be11da157aad0d07,50.0
39,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512732694,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x20fbef1ec4ce4a77f619375342c81d12522271cc98e449a6b0cea7fc6a487b21,6.0
40,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512733637,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x04cd3415d06b8bf5d76c35ca6954486253d97cb79e0e5b6e90698c8370b2182a,18.0
41,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512736296,0x1ed7a8eae7d97e31a971c4baa7a2de4509e41fc8,0xed2b220d19877227b592e882badc0a0d7e8741e0f19b5971e4ac5cfd12ec1823,9.0
42,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512736678,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x9ecbe1513851ca289d1fe7cca8f7d73809af6206a7a09a2eacdd422ce64738dc,30.0
43,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512737790,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x4f9e72fcb5a165939bd9321cb5fdae9d00a0da0f088f6487bac94967402a7cd2,15.00965467
44,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512738822,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xb47cb7844e5c85944cd4f976fd6d7686b1079c427ee2d77cb972f525b975541e,9.0
45,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512739004,0x26c6cddf73eaef30abfeb4ff061da0b7972bb7be,0xeb31490e4b5a050500649f31572705240f9ca9826a10a2995ff175a39ac53a26,5.0
46,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512739606,0x9431c916f44ea12433abead5173b35c2f13c1423,0x2a5bc2afac4c5e1d18a900f1268d72933a9c44cb043e176f659a70077517f903,79.0
47,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512740534,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x8315be7f34c30de6df3f1455c1828a62db2e547645bda5c9740b54d109994cc6,17.0
48,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512741036,0x99a0295096311d6e6fb96c86fd3ddc7476dd3331,0x38cb1a3f06e8850f404532d8050067bbf5cb1dc93d03b851ee2bac5328b5f355,2.0
49,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512741195,0x22bf1ab60c125ad05f5f5e724448ae2fcdfa661f,0x4c357e5d198dcf2d298b6ed0261935a036b68cd9397d48ec685efdd721da5b1f,9.0
50,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512741384,0x6c1e503c220010b027c6c153d768a9b533ee6208,0x097602011e2474adcea64b84252cc160d934f82112fc1ea764e63086360a9a42,10.0
51,0xf8553e8fbe9e29de91bc9e6813cd1d0c947029d3,1512741731,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x8b2a4edc75538043d83536c89bd3925b8843244941b37b56ab341021d1cd1e7b,14.0
52,0x9b3dba660a1755043707dec7c268c3c1f07f6bad,1512742434,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xd072468bca5c03d2bad769ab9f86c8e25a4da68bb5dd6ab21bfab2f0c8c5d5db,3.0
53,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512744041,0xda6a62f4b2205a2fc30fdf4c02fa69dad1e5ceaf,0x3c9a759c2b8b40e5a7e7bcb0c35a31d9f73748d07e499bbb2dcdf1d6b3a4aa0a,8.0
54,0x3bf8e7f66052fbf557d82d343976915b5195a7ad,1512745487,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x0643ef44de1bcf6d66b3008a5cfab6100f8c4528418b4343dcc5f7c99f4bd2a9,10.0
55,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512745711,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x688605b999825036a67bfd5aec7ded51707ae176116cf4f5cfcfa3ba569f718e,9.0
56,0xf72e6493f615065466828a00236ef9b5401a7b39,1512746375,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x99efbb9c072389d46305fa8670c33ef9da0ed3bb3e208dec4f49db558c45a0fd,12.0
57,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512747433,0xaced1ca12f7daa9db5a0af21bd866da2f1f6c00f,0x541970f147e033da5b4ee89b66869bd8cd78e6eb9e1e5a7b971df44db35d515d,11.0
58,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512748884,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x076f093cff49706a3c7077121039d847bbba7f775d48e8f9dbfea7ca66cfff76,0.0
59,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512749798,0x6428df8a004058fdd9b4fa55c5b8a9896319b046,0x9537a048bba1a2ba4054d56ac69807517876f677f14eeaa0a6f12020fea5862d,10.0
60,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512750027,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x6c1cc5e1cabf42af1413cba5021e0224b9cb24c813d03f5bde81f9e9bbba6856,19.0
61,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512782355,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xbccf46335e3c02803895d2ca36838fd0be95bbe118ed386ebe535031ebeb7c4a,5.0
