,From,TimeStamp,To,TxHash,Value
0,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512695051,0xc563df85cb3400005e09dde8121ecc4ce8f0310a,0xb981b4ce4ec5a0c53251049af1901d8b3dd242a6fa3e46fffe241a1a495c2542,0.20252982
1,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512695062,0x35424465a0f84972ff77f37635bafbb7ecf07207,0x20abed5a641d643c1e159737a39f39224f75423e65bf9d5741fee4514f68e4d1,0.09
2,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512695126,0x0b76544f6c413a555f309bf76260d1e02377c02a,0x08ec09593d37ceac85e2770d4c65bc89c20408c9a82f3ff70efde8b7893bcca8,0.0
3,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512695137,0x0b76544f6c413a555f309bf76260d1e02377c02a,0x5289bcc9aafb34684fc4f0aa136736fdd14be1bb3d787ed05dae071c3c9660e1,0.0
4,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
5,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512696359,0xbaeed66cfaffc116efd23f898a4dd667e7dec9f1,0x1111c662234dc56d5c707cf8cc1c5ee10249c42e55cd5358b2d3d86205f79341,2.824163
6,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512696482,0x0b76544f6c413a555f309bf76260d1e02377c02a,0x241206b162f09202ba2798f9343b95d2ebd8002e79f1507a7fcae5a4438791b6,0.0
7,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512696849,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0xe735408951c6c24caa14cd4b03e5636b96a08d5dada4ccea8afde78965bc2a9c,0.0
8,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512697415,0xbaeed66cfaffc116efd23f898a4dd667e7dec9f1,0x0e2852ba8ed3384b734ff5138e7a73894a54e64cd1939ed6d5507608a8b3fb56,1.25493381
9,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512697415,0xbaeed66cfaffc116efd23f898a4dd667e7dec9f1,0x71fa210046a9d62a010e97ea1ab3e3b364209f08fd6957dd039a11b71a34e971,1.2295592
10,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512697679,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0x1d7ae5cdd514c76d9c8d9484ae1a9294dfa1c9a6ebd8931eb49286ea0d1053f0,0.0
11,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512698249,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0xce579d862c6d666e8483f05f50da64cd409f6f3288f0984eede265d73962028c,0.0
12,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512698389,0x0b76544f6c413a555f309bf76260d1e02377c02a,0x5a00e1394121bd23e1f82271e74ea595f15d096f77004ce842f2868154537e04,0.0
13,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
14,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512700576,0x4a995b2fc18381a7ec493e177bcfb65d0733aa5d,0x6f0687afccf028f1aeb570979cd1497d1b7b2e3e4909b56016d106d5650ce5fd,2.392595
15,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512701196,0x10fef00b17ae5bb5240cfcb2f84e49e77cca9c0f,0xf2845f611b514e716b79d9144fc889c289ba74eed7193cc4194355936affae0d,1.0889
16,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512701756,0x0b76544f6c413a555f309bf76260d1e02377c02a,0xe81c2cddf6ca50bf64c34d2e94e9b7b003d5f535a02d4548cdc1eac697e2da09,0.0
17,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512701999,0x2ef04e6d63e894197c69d9ba04d650de02c588af,0xc5de0d7d592766b7b2f5c85e9a5458ddeb220eb145ffa899422b9d2276b39e36,0.1898
18,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512703336,0x6e18d1938f9a8f0814ec7969fcb6eb3379aed185,0x3b0d0a78ec1ff265c874ac22dec0240e87bd1225bd8d5ade110cc3fe7072a348,6.99
19,0x93f36930f94fbb5afc5fb506d3f7abb9179a4e4e,1512703428,0x0b76544f6c413a555f309bf76260d1e02377c02a,0x9bea22b6e1c1184fb973109a2cf300ac661aaf9ece83561fcaa07d26deac63a1,0.0
