,From,TimeStamp,To,TxHash,Value
0,0x1e3a6c35359d210f7542831f4b94808c9b5bee37,1512695724,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0xea1fac6a8bc2e66286d3c43ae31f3afe66c402df94a2a701c9c8f42dbd536aa9,30.0
1,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512696371,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x8836b5bb902c42860b65d513d8becb8bdd00e1dfa0db6887ca6b331b1fa00da4,5.0
2,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512699103,0xbcf17d7a677cf5cdd8ccf1c20c541fe31421ce8e,0xf8812b8046a667b58f49365235b9b41f32a38ac55b8a81fe11f4411175371603,5.0
3,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512699761,0x840690bcae0257b9761e188a33b76d49d41e1c47,0xb4011718035804aa2f8fb6b900d11e510fcb9d9a5511fe9f7a259938946d4bc9,3.0
4,0x480502ededd5bd95e72b160c34f282e5628f8d1f,1512712275,0xecfe4430078af0adf625946c352c59fa5e1d024f,0xdc779b420e6242fd241e7ffe72e24087287ecbed9e90a73d8bcf63da77e4fc23,99.99884548
5,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512712577,0x093bca2487a2a22375c974c64124f2707dde5fc7,0x9bea8d45be68013d885cc5cc05d2f892dd10384991b62e6e2287539433b052bd,20.0
6,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512712764,0xe368e6646feec60b2a72cf9fff9c930e893f39c6,0xa6df9c7ab7408d644dca6bc97f67191012fb1b0c6e6bc1c371a761b8a13e3280,12.0
7,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512712897,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x38cf66779ef43b934e5452714845e2166047758efaa6bc253c7a1118071e52d0,56.28
8,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,1512714987,0xc2d36124ef743d19ea9ace7bb6bd3ab3165bf7db,0x05e76759462c62b30e419503ef6c5cd8a09cec5770b2e5b7f87020814edd4c80,20.0
9,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,1512717104,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x3600532e60c686f082f38a065b6a47ce8765464fcabe473b1e0d9eb14fcc6850,0.57
10,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512719428,0x47590e87b48f49149e8cdb934605617a42c38dcf,0x558360fb691e242c08c7980fc529816be7b49d6658800fc474bb5471be239d13,10.0
11,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512722416,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x0a26b29576fa2f35b3802713d64132afc1c689abcc274185ff1bcaaf342edbf4,7.0
12,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512722730,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xb4a0296e9931512235186156869bd7d6b9e672853bd9292aa04e478291da3463,9.0
13,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512725822,0xecfe4430078af0adf625946c352c59fa5e1d024f,0xf62dcbf4f326444be19ce0dc2216a58c08d2cfd0eec20bb7cc77bb793d2bee7a,3.0
14,0x20f5ee3f29a72e3c7a05c7fac756e6ef2be6580a,1512726984,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x29b24b07d9932ccfef458dcc793b779247aee4c900b08f7a11d9fc11bd3051b4,1.61
15,0xe8bbc3cf71f5216ea7c1ba2435b535bd5284dbbe,1512727028,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x3a577f41956836411f5d91cb58f47829628e2ffcce84de1656792015433edb8f,0.17
16,0xc7e6e7b18b2c2996e5c662671a67e3a9789a1e22,1512727084,0xecfe4430078af0adf625946c352c59fa5e1d024f,0xe7325590f5f61505010310bee4ad01b38b5f305c8a412e639b6e6a683f8be3e8,0.21
17,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512727807,0xda6a62f4b2205a2fc30fdf4c02fa69dad1e5ceaf,0x7140c68d9ead8b4ddc4e8fcd5ec074957603bf85927729bde548b10a40603e82,5.0
18,0x0363340183cce58121a27801395d3b7bbd079573,1512728602,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x4a711e0ea451950bdcc86a64698e6b68a407341ca3d7f54da40b7ff0042bc20f,30.0
19,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512728717,0xda6a62f4b2205a2fc30fdf4c02fa69dad1e5ceaf,0x3272679dc49b15c4fa257768deea9a306e0299c14f363e23c751c1d2624b812d,10.0
20,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512728755,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0x97596523833f959db0916b2ad86b62e0757e2070e892ad554269314b197728ff,10.0
21,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512729745,0x08ec2d3d8f1c642c5398b39acd1f4587ea151f32,0xbe59b7493fb6099813445557c814cec3614f7d4aca02af498410f397aef2471b,2.0
22,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512731056,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,0xfaa3de970614721ba7194bfe75fbd4e62274034aabb8d0025352d1c4232f6c93,6.0
23,0x953af728a6d3ed9ca5a14038745c55b3225d3b09,1512731109,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x8badfce5ef82c864ddebdf9738780548e680eea0710d54f4dbf9f93f73086e49,5.0
24,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512731197,0x093bca2487a2a22375c974c64124f2707dde5fc7,0x4daa8c40bba347f0b03641b6609298fcd6d6ca778f2d93ea0ecce55fb24406a2,5.0
25,0x21605745a195eae4d8617abafdc67d5ec37727ae,1512731397,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x92da630db2a727a842281416ab3c2a019801d016c4df29072cde9cf0640fe0ce,10.001386
26,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512731572,0x67e2248e23e78c77a59303df3ee6ff672291ca9d,0x6571d846950b29b9b36de15c894a6d02d1cc3262f9ebc40931850ab3ed0cf91c,3.0
27,0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,1512731857,0x4544451c39b3ca161ec5662e12a97aeec4ab753c,0x81a062e3b6365374fe18a22a63d3df12207f10a6a6d9a9e7a713b41b68653248,5.0
28,0x953af728a6d3ed9ca5a14038745c55b3225d3b09,1512731935,0xecfe4430078af0adf625946c352c59fa5e1d024f,0xae76c34f819c32670428fa04eaf23dddf5259dfa94d10462a553c1065bcd3437,2.0
29,0x953af728a6d3ed9ca5a14038745c55b3225d3b09,1512732127,0xecfe4430078af0adf625946c352c59fa5e1d024f,0xd7663b158d940197f3f427dad416c1e9b03322ca527855e73ab042f3818d6de6,2.0
30,0xecfe4430078af0adf625946c352c59fa5e1d024f,1512732269,0x135f9a5b923931a023ecc24ba55d91e8d03a3dc5,0xdf72a96bc3db79e63497dbd574c1ec7a47481efac21ad9b0a8a268778089e904,12.0
31,0x79c51dddc383ddd515ae5ee469096797e0fa5afb,1512732694,0xecfe4430078af0adf625946c352c59fa5e1d024f,0x20fbef1ec4ce4a77f619375342c81d12522271cc98e449a6b0cea7fc6a487b21,6.0
