,From,TimeStamp,To,TxHash,Value
0,0xa54c8c154ab7792846f9ce9139cb6a19a3fe4c5c,1512666378,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x8dad433005d7a919f7edb88e9b6efb207fde807b9d46a9ab68595da31ebc5708,14.0
1,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,1512668709,0xfa05a73ffe78ef8f1a739473e462c54bae6567d9,0x7cd6ffb0dfbd69002a5d1e0c793e9794ed27c71409901b72eb568d2848a676bb,0.0
2,0xd257bf596b6765042425449f1c70137b44e06cc5,1512668997,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x6ebcbbdb3f256129f7c53d9e1f70f037fb3cae51cf50c35a41ec0fb6d567babf,60.6
3,0x98a1f682e9fe1947e4d6abf6c731e4fcea67b124,1512669417,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x7bd6a2892783579583bab9fc64cd067e13b233b7912c87c53392e40d3d91d358,20.2
4,0x1f691435c68ede21f184840ff884099a12e7760a,1512672832,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x8a584516e57c894cc32275f1e8518720595aa286e19c30c1657df46e8bf89a49,60.6
5,0xe010d3ae04925ae39d4c5dd0c13b34db17dda6b1,1512675126,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x568c926bced8d64b0a181ceee4f39185495df15f0c2240dde8977a7423110392,2.02
6,0x1824e50532540749b33360e7548a9a24e8e2b0a9,1512678861,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0xbc2a9c655eccfd0ce9e7307051c3b71caf2e1842f1a442635978c91c4588871b,20.2
7,0x91e67ab4c0744e655ed72f2333c180192f3322a6,1512687549,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x6e242078db8ad1367a8864fbb6224c37291db7b688cc26b1e2e31c4c6a19be2e,30.3
8,0xdd8862241f9b51feaeae91db575a5ceab10807b9,1512688236,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0xa8b7219917bcd7d134c364d2e723ad48bea8ebd8acec9193ab364a448bed2a1f,20.2
9,0x47eb9081045f288816d9e26cf9a86993c95c0b5f,1512689043,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x5b1a39e3146d892a78c1d2cffe02eb2d5d85984f5dcfb3fb675b3d5c237e433d,80.8
10,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1512689483,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x6f60d485000f8c312982abb31e9e1993cca2900cd6ed9824f18a9388ed618997,20.0
11,0x00ba8ccbf0c1ce62834d72706fe3236387f5da35,1512693057,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x23ac31b4969f3989b2ce584641b0735eaab5720348ae72d53bae6ea1575c6b92,20.2
12,0x1aee6fae4777ea97e70534d12be3dcf67ed070cf,1512694603,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x5a8d1183fd61ecc6a0581310ec62e3506a0b49578e078323cd13e1e40ea58ba5,50.5
13,0x9d1ca470d17e851ef17afa3d1109c9ccadca15e0,1512695496,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x3042da85c475c60647b93787035aaac660ba73afd613b3eb1de5bc86a6a3d390,30.3
14,0x368d7907b04a3821c7600ef0bd033eb35cd6f739,1512697396,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x36723795b9d3f4354b4e6f81397339ec8fa0c462b47f8a879ce2794666e9e7b9,10.1
15,0x133595850416140ea176ecc94d7e5f427fbb8a01,1512698596,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x900bd454b3bc94697bdddecf1aa62d23dd8ab55140740a4947eba77ab56827c0,3.03
16,0x492b0641d3197e2c9de6f179462106a21c9d8739,1512698909,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x37ee84b738bc9e580e852ab230d7c15eb330f4cca80c9b806d1b6637064f8935,10.1
17,0x410282b6e53c0d48007ace4874b6afa6754425f7,1512699761,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x3349ebfa404c29f6f3b1be4684d12019baf04176d9d88df5c256ab7e0e646daa,20.2
18,0x4a4e31e765eae8ff9b92f65a52e75f8a7b55fd66,1512699855,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x7e02cd29802aa0f87932cee64ba719168bdd87669bf24a098018ae2e34323936,20.0
19,0xb35988b8817e84b3ff648958e189dfc8f76a9e98,1512701652,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x4f10d0f175e13d2a498d4b4d48d9a50906434b2f8feef6ffcb599633a5dcb9d7,50.5
20,0xfd9bc9cdf4c2119a7a1c71e64fb1f2bd3acc0822,1512702305,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x91ef05383b528333de6c6b738a9717beae419f1b02af0e35c92a9ef7d676ad62,11.0
21,0x3ce3c5fa891086fc65c00dc25e5025b2d12d50d4,1512704378,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0xbecda736fc1d1f35d5535d3e13e3d877dd9ec9bbcbb2f800e862a8c06242b452,20.2
22,0x3b11a23b4645494997e645044cc35670814241e9,1512704472,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x9d8b3ea7ef39a818a547df57acd7595fb236feef332ae1db92760f160f8a3076,16.16
