,From,TimeStamp,To,TxHash,Value
0,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512667250,0x0b29ed8c1abd8791d9dd8d4ac4543a42db84c149,0xc5d3b8345c98572733890313bddad3220de2d9120b743754f136e19f6e8e186e,10.0
1,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512667302,0x4e4577d9263777292c2d072f8a5e92ce4ff9d9dd,0x1b6b413014ff4e2b2c06f777daac7dcf4e1163755c196fd73923089239617050,2.99
2,0xdb3ef8d3e5e897b5a9d8bc5b004517e1999ed387,1512679781,0xce85247b032f7528ba97396f7b17c76d5d034d2f,0xc599d69decfa9713d9ed25a7d8e30d15d3cb4ec0347bf6bb6b8bb9ce4db3ff8a,2.59645984
3,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512688659,0xa826b7cb8afdd9bc2806fdf4e99d91f8f697a9a5,0xb7e38ceeef4bd5f2ab6756bcc2b40be5d467ed9788d918ac3fde1f88f84775c2,0.0222663014
4,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512701927,0x1e679f7fe5a10fe47b8efbf7ce95bf5496b622af,0x22ec42b3e8ccf997d7262d7f3e84e8802f7be714665d5b0aeb2b1e79f1f214c6,0.024477488
5,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512703783,0x87dc12836bb5a4add6b3aeeae782d4e4079f3ea1,0x060c34cd9443442cef089e980022103a8935f36a3fbf6d45e3de6ce19259bd82,2.35389146228
6,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512704122,0xe21ccd0401ce6de36e1216c636c89cd8ea89c8d1,0xf7a6d3235287dd89d805bfd0c59fbd3fdeca31645247e8bbe0cd9c2b75f7aebd,0.022409558
7,0xefe5b295ca291cdb6f5b59d07a3aeba54fe32ecc,1512705278,0xce85247b032f7528ba97396f7b17c76d5d034d2f,0xb64037060dc28b83298f30e0ffa0b8d8997295dc00d22550a9cd491a59ff3d2f,0.9985448
8,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512707408,0x44b8905d8e660752a14be84c2057137efa8f5890,0x9b1a3ff9ffbc8b419b66845e9813f1ca5c9e6c8662d24f55762933c7a30f3007,0.37921919119999997
9,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512707996,0x7fb87f0c0a76f8b4612c1806e48a7ce72050c776,0xbc79417778b37a3321e71adfdc1f5508e6063c8b361422783ba339ba9189a505,0.13
10,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,1512710075,0xe3fedaecd47aa8eab6b23227b0ee56f092c967a9,0xe4f71e80ef75730ffcb4aee34f4b8433e23c94e75e60e7fbeafd0c2523f01b92,0.0
11,0xce85247b032f7528ba97396f7b17c76d5d034d2f,1512711314,0x30e59440a84e6e7f42671d2981dc523f08fb3336,0x601b421c260c51c13185d4d7ec8325f1b893b4d5bf6b5555d3131459a696a139,4.298720000000001
