,From,TimeStamp,To,TxHash,Value
0,0xdc10a7b3705651e635a931d503fa0ac55c1471cd,1512663772,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0xac579065ae5a7a72de86f80783559be18579e81b641d116fb8c667e10c55c321,0.25
1,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512663772,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0xac579065ae5a7a72de86f80783559be18579e81b641d116fb8c667e10c55c321,0.25
2,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512664406,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x9e345895045f5ccf24f248519848d0938f2ca2aeb768d00a6452a3cb105fddf1,0.23933200000000002
3,0xdf5cb324803e2c360827f7302115dcd78077dd8d,1512664406,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x9e345895045f5ccf24f248519848d0938f2ca2aeb768d00a6452a3cb105fddf1,0.23933200000000002
4,0xdb30ab4e9fe5112b000422c2c42017dccc26619d,1512666696,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x62285fcec86e5d0ba3e438bfed4a4456b6adfd36f9a49c83d843cbfe956d4180,0.5
5,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512666696,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x62285fcec86e5d0ba3e438bfed4a4456b6adfd36f9a49c83d843cbfe956d4180,0.5
6,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512667803,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x495a7541cdf9869c9547cc343b737da00d215c1d49772b13813ca5912597093e,0.2
7,0x00fcb6d468dca5663e6c039e8722934dcebd270b,1512667803,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x495a7541cdf9869c9547cc343b737da00d215c1d49772b13813ca5912597093e,0.2
8,0xb5cdda7ab9fcad2499925a8948a02b51bf9434a3,1512668296,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x942d8fdddb31d524db635a70c2e9d6dc5f40a6edd29b310a3736248cb54848b1,3.0
9,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512668581,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0xf4fbb9957e637cdea9a35670ca27ab138acfb4a0a981cd8200142daa77b0a98c,0.7
10,0x00fcb6d468dca5663e6c039e8722934dcebd270b,1512668581,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0xf4fbb9957e637cdea9a35670ca27ab138acfb4a0a981cd8200142daa77b0a98c,0.7
11,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512669185,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0xd3e9960cd9cd7acd7272072802f4b708c273b673fcfcb39cb4772163812d2c27,0.1
12,0x8d88e5d1b896b657e6ded687c63f28406d57db33,1512669185,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0xd3e9960cd9cd7acd7272072802f4b708c273b673fcfcb39cb4772163812d2c27,0.1
13,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512671720,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x88ce7a3bb7fe299d06a6f3ffa85d435d91cb0bf99980b433601c09efbb8031bd,0.13
14,0xca3c39fb9dd44a6dd85f8a542d60168e1541a343,1512671720,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x88ce7a3bb7fe299d06a6f3ffa85d435d91cb0bf99980b433601c09efbb8031bd,0.13
15,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512672270,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0xaf14f455f2e5e16f858b733b340cf016a59e7b1622e7945b5aee075560d1e7ce,0.1
16,0xd3ee38325dc082d5558bba0a3af7a8902c3717e2,1512672270,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0xaf14f455f2e5e16f858b733b340cf016a59e7b1622e7945b5aee075560d1e7ce,0.1
17,0xc1c6cf063ce17f64b98504ac707c2b387c4fd871,1512674167,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,0x36b07f1144f32632419946701e76084590f4eb7793c1015199dd3a908292bc99,19.5
18,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512674167,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x36b07f1144f32632419946701e76084590f4eb7793c1015199dd3a908292bc99,19.5
19,0x6e3bc8f50d04f7262f5c99f1cbabe502eb5e37f5,1512674360,0x158f3a8d816d61f80c8db36fd6c48b57ecef0ad4,0x5ea7f0a50e14302321f781827a283fd635e96707414e92b34d1ed7bdf0d2ae41,0.3
