,From,TimeStamp,To,TxHash,Value
0,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,1512786089,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xbd24c0500c2647777a5849ff014d88a58c0d469cf4adfdd3a21f8b2e4e7d5e90,0.0
1,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,1512786634,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xf5faa58bfe6b681584274363c46672202830320f65d0c3d6a5d889aef53cabd2,0.0
2,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,1512787841,0x91ed601289d20b7fd39223a151fec264db851ea0,0x4a3bd66784bdc2106fe78eaeea53ed4cf04444aba102cc549e3bd27821dae2f3,20.0
3,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512789741,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,0x2212bbd0063eca4fe965a09b5159d603cad5684f6cb990390b837e9282d1f271,20.4116
4,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,1512789948,0x91ed601289d20b7fd39223a151fec264db851ea0,0xf23bdf5c9f41fd89419b59309bbd99b42ea63b9220ac9350bd0e73f3206f249f,20.0
5,0xa9228d0c2bf7a959a1eb209f6d53567410354e94,1512826194,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0xff56b11b09ba1d65e95a7f28374ab3cc622fa9da3f2b48c7f8df6288210b1c92,50.0
6,0x1213c5f7d2cfc86eb87f0bc54e0418009ac46f99,1512826339,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0xf61dc8519616054130adcaf56b0f45d18b1fc5d06127f3f6c21f0b3e57219921,15.0
7,0xe94183765f286ac4355cdb8fff1ad7d1e248df13,1512828397,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0x87bfd539ed9f01302113a965672026888a170bc3e5c9e0ac76aee6659ec6c536,1.002
8,0x63ca6de15c6e65db2b1054d940fd8228c903a3c8,1512828538,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0xe288ecfdcfe2ef28a52fb0e724d5697b8b670c7d94c9dd012c3ce09b6fad416d,4.0
9,0xde4acbe7045696ebb27a386216c965ffef9465e9,1512828611,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0x2fefa005ad7a46b977862ed15f5e0c17151038707b142e5b610e81764db55a57,5.0
10,0x20c84c401f8320cb6082959655d46206d481d8be,1512828725,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0x7e1d15f828a8a14106797c7ae5d2780757d2cfdbe4b2b86cb6f920a97b43721e,1.0
11,0xc81186c3376925b958e772f7068f60fb06e8a4f2,1512829013,0x85f24bac0f9ea83a8877ed8f59428d0857c52b09,0xfc93431a2299f59a8793630b986f671f80736d7d954b41b62c60bb69e339ace0,3.0
