,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512737495,0xffa9e12bba085dc28b97d61504b761ee505ff9a3,0xacd4bf2c2de2e47f6d9c55407c8edf89a1871051c5e1bdb763c9479190d28739,1.0
2,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512737566,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xce02f7057d498664ea0678e9446b43a063d1afbf4794ce17087f4fd6fbcb0b72,0.0
3,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512738668,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x923cb56df25667fdadb97f5cea43416997a4f4b73badfdde0c6ed1173d3c71b2,0.0
4,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512738851,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xcc74a132873b077afb1e5bfa2213b0c9641fe1671de9f522f9d36b32908b6088,0.0
5,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
6,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
7,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512787425,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x23d72a05529da02f01d5825d48976c3223c70ef2ee62d96d1161d8c716267e3c,0.0
8,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512788073,0xb17df9a3b09583a9bdcf757d6367171476d4d8a3,0xe9a857a07aa7417eda0fb5c29b7954bc4565228053bd5ca69db55bc305964e73,0.0
9,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
10,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
11,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512877020,0xd850942ef8811f2a866692a623011bde52a462c1,0xc26d4834b85b55b7c2af24761370ea88bada570c1409328b3bb1aae5185e6984,0.0
12,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
13,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
14,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512913308,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x8acd1412c12d19febae15d47348255be01fab3829ff4e2e3b253d7a065c1a5e5,13.99
16,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1512918202,0x3b8eb389b84d3d426c521274fc035de5adae81b4,0x39b2c0b9ddf544ca537e68157b6c757fdec41203b0b6ffe6ca3f191db6457b12,3.0
17,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
18,0x3b8eb389b84d3d426c521274fc035de5adae81b4,1512918658,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0xe0f84242d5319a2f326d739b0c2af91b9c4c2aa884030cf83fffc5dadbe0aa38,1.5
19,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513252971,0xc5bbae50781be1669306b9e001eff57a2957b09d,0xb95c6612a82d733186c6b951cde680452c1e17d809d115dc10a8d313195975b1,22.0
20,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513253110,0xc5bbae50781be1669306b9e001eff57a2957b09d,0xcc3373dc611798b11026651515be1cb6d1fb6dd5406540b94b85ccdc2ea2628f,22.0
21,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513253426,0xc5bbae50781be1669306b9e001eff57a2957b09d,0xac71822cc69bcd9d2dfe616d90d8d14eefc09f7f0868abe4234481afb2cd3f7d,22.0
22,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513305028,0x4f679afa37426fb737313855508849047a85fa32,0x4b55e42d95fc778182200d57a75d318e19316e0edde45e9bf436b9454fa4f3f1,2.5
23,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513317489,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x593be1b615d61412b1e64bd37aa56a0c1b92f73ba8f307d374b4bf4d38c77cd1,10.0
24,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513329668,0xcca13ca459cece5b6b8df269225353422080279c,0xee797229a2d0360b5a0a35a4366f7eb5d969758c249d055bf3b682d9afbff1c4,1.5
