,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,1512726774,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,0x047e3cd06b05b31a63fe65228cb2fd2ba4f2f72b651d3ec2d63492342cc2bf14,5.0
2,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512727117,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x17f9f46a743f2a2975ae7cbbd3851674be69c9c47123bc710ed8b63bfb2c434b,0.0
3,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512727245,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x7cbf3e455de3c9f458209c6902cd1eab4b128303e16d408c0dd829d1aa7b22cc,0.0
4,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512727428,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0xea9c990ff800bbd579f1aad1a302033778922061da3fee6bbfb4ea4ef75291f3,0.0
5,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512727886,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0xbb58126d4dbb81b921dce577592081823e146951e7d44bac589a2b4a9ad1840f,0.0
6,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512730516,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x6c3006522cf1bb8135fb98a6a92df4ea6cf30dcbf1b823fc34cdd8674a2647f7,0.0
7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
9,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
10,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
11,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
12,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
13,0x0d92ed2720cc099972d9530b90b9d68c8757dc84,1512902779,0xc0c7f32948f3a71080f7fe9bb93170a20c80bf52,0x8f5e44f27fc55f5c54a844c3f3ba19175b275a7fc1f814980f5e21020de56c91,4.9
14,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
15,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
