,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
2,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
3,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
4,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
5,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
6,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
7,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
8,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
9,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513264506,0x539cf34f5c4f78b30282840c2d1fbf9ea85a9287,0xd0a5c8248d159c2dc290be59ad524261a8b26f96ee77ab826bba493c3aff9eec,1.04478788
10,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513314560,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0x216faa03c3c8a09ef39a915d71b949760f419a17ca88af39a840c44dd8ac9a02,2.02052512
11,0xefd1e0081493c8c90abad62605d66054490277ff,1513314879,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0x3b0e8a84df8a1ea067d95c0ccd8312abcd5a2d1fe3de61aec7d856c25f6a505f,2.0
12,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513315144,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0xe7ca6f71c0ae8eca73e45d79ca5e18e93f8707b72119cb415d64b630d0686679,1.0
13,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513317129,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0x45505d7237364f0202a7b5d7d8d13a2ae6190f26ff2040087f0add6745699427,1.99506079
14,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513317489,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x593be1b615d61412b1e64bd37aa56a0c1b92f73ba8f307d374b4bf4d38c77cd1,10.0
15,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513319293,0x45411efd3d86d0a3fe56875b427ca3655abf0bcf,0xdc1082a9146ccaf86e34c4022d221585d688f1d3a128dbfcf67f9f0e42c35894,7.0
16,0x8b1698f7344d8446821940dfa180dd0f6eb03ca9,1513412937,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8a5b69656b5865ef4ad4d9716f40c6f1105afcc68e2445cb84345d141af313a6,3.0
17,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513437760,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0x85d01b63bcbc6af0aefe773d36a544db0c065af1aa157277a13b35cf3e6b4c6c,0.0
18,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513437985,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0xe6925ad2af4a2e11a06df45d5be0c994449a526476e29b00447aa62809eba268,0.0
19,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513438393,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0x2e39052baf797df6d81ba01708eb509b732a7816d984c5c03cefffbb57693108,0.0
20,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513450941,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0x0320ea3921b8766d49f5ca5d04fed488b67cfc716740e0dafb894d7e2c3088c9,0.0
21,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514133,0x30b10221c90134db4bb8388748428bc0778594d8,0x437bedfa650b37eeaa679b46817eb532fc03fa2955a3e49e5f7c28ea01bff8ee,5.0
22,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514265,0x30b10221c90134db4bb8388748428bc0778594d8,0x44e2b5f0fe609841dc4aabaae00f6af12ae2c7b7e5ccc2301f1e2feec06b7fad,5.0
23,0x9eb60fc0d11be52d87b5de434c03c84dc53174ce,1513597494,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x21ee2a5719aac8d3348b97665fdfb4e3be20eb3e1f2350c86fac35c453544de3,3.85
24,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513671859,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x774d412936d561a4a8f98ff13ba110b7f4a3a7b1386190048528894fc1453d13,0.0
25,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513677512,0x50ab1517d6e229830d059831f4b8c72391520a36,0x671c83e723b73cf1c67c373d539990bdf3eb63a9c763818f5e1dcd9ad89222b1,2.0
26,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513681199,0x33642e48594adc89e4c200930428f30e4225b613,0x473234d0d7bc43cfec0f2bbc219a91e4d515195affbafe6f0c8a00130444acbf,4.0
27,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,1513684651,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0xf067f6d6439d0efc6f466717601d97f6cbecd58991067b2a17723998e0e46d14,0.0
28,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513687588,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x5ed20d7d319c8fff7feb5b0c6d959ebcf0c2cc797c8e185b0470206f377d5ea6,3.99
29,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513688005,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x4b89924254c2d8aa2c26f7997d3a962a747b511bfa92e835422a622bf5866bbe,1.99
30,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513697324,0x30b10221c90134db4bb8388748428bc0778594d8,0xf77a4aa699561d87674459d67808399a63bb7abcb32c20e3bec09601fe1dc318,7.0
31,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513736192,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x9ff6dada5e991b60bc6791757bd83564ab6b62369672a03675daba5f77d6221f,5.0
32,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513744006,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc8616ed01d0d5975ce1b2faf595537a25dc0ca1a0b1acffc1520412b28971eb2,5.0
33,0xec53be3f0e29a84210474b603f4c66182e07c393,1513757305,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0x5701ce4d3a3e0941a27d14f6a7ff1d3fbdba837074bff2f4a783ed84d5dad699,2.0
34,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513757617,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0xb1f06d245efc8b56b2460fa3cb4714c35b9c785a4ac23b20a2cd03ca1ae040c4,0.99
35,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513758363,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0x055ba6fc4c7b0a702c7389a034bd9e09a8a90f0dd58b317f02c0f612e751859c,0.99
36,0xf90d7e1149aa674473531e6d7c7e05717f58b60a,1513758922,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0xa7a0be4da9cdfb372e68809bc8f4d2d50f98c976e2f4fe84b644246ea7f73fbd,3.0
37,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513759533,0x21b0b03ab0c53b06b3eb0bf83c5ca0a2d802f8ea,0xdf7ce7b7dd1368b9ce8c48f79782c041fab8eb84f7677099ece2a928e51c9c2d,0.03
