,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
2,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
3,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
4,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
5,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512841893,0x0d9585ea3d235927d8f1c1d60550f54ff1326ede,0xadc972f7f3886a686fd01b9788e0f061e78777f8b66da4a723400a6aa9b53861,0.2
6,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512879179,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x67f2b69287a674f83cb1779aab81fbb5db0c2f2a04c38bb7dcc09704b246a760,0.0
7,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512883423,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x2509c20a9e35ccd776aa44029f9300c45c12babc0acbd7ca2f1a708fb9cbb04b,0.0
8,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
9,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
10,0xd9fbfab8de4f6c02d47c3a0a3cb4802639368bcc,1512909482,0x414ac625f192b5dd77544899d0bd60f3548ee382,0x27b46851fd252922e71fa8410f3c6a01dd0fc8adbcf80f8144d2d7c237de815d,191.0
11,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
12,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909936,0x30b10221c90134db4bb8388748428bc0778594d8,0x66c69b832b51691bf039df7d008afc378708419d2c04d12eb65edd85e37024fa,55.0
13,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512910098,0x8b1698f7344d8446821940dfa180dd0f6eb03ca9,0xb24c7dfa4a5b12b70ff59dc5b1b11d75a80bbdf4bd43b964bee2fc5793e8ebcf,19.0
14,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512910406,0x0d9585ea3d235927d8f1c1d60550f54ff1326ede,0x80e3d26f7a4e58fa15bf5ca543b999fff9d5a8b38892d2399f59c4cf617656cb,107.0
15,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
16,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512963988,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x077ddf7d329fe473c68ffcea7e4bee85502e42207a3440ca971c6ccc5cba0c72,0.0
17,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512964134,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x6ae9888d73a91455c6b5a10ed925d8fedc4a4107f3da8d825a8bfc8e02859ba1,0.0
18,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512964819,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x1ac4fb2141810a73674af82aadd8bbb7f12ce9c1c86b8c3408a10ffbd638b869,0.0
19,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512965553,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x317df12e7e726acfbb24327583c879d2af33befdeec9ceeb97b79e41ecbf261a,0.0
20,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512965660,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x7b34910e7149585f7295501bde50dc6401405faafee2c080bd99e54450caa857,0.0
21,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512965823,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x8d59ecb306bc0258ad54c0319923bfffa300dad28454d504eb9d5df71ba1df26,0.0
22,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512966664,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0xc67fde2d04d87f6c14fe917ad7ceb903ffbb04052dd374cd5582bf82752ecc8a,0.0
23,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512968253,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x158524570fec0572d61d1059ffda79fc230d4ac78f4822b1923ed94cc0a5d967,0.0
24,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512978621,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x589ea88a290def923b3a58aa06ac9e7a4ff27216b137291bb85410dcfff860c2,0.0
25,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512995392,0x68e14bb5a45b9681327e16e528084b9d962c1a39,0x7ca4ce062e121ee6aa2416b4e5089b4b6122798e702635a18abf4139da1a6278,0.0
26,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513046149,0x442bc47357919446eabc18c7211e57a13d983469,0x2fe7ce346f8be58994281febf7411e82e0d3ba90a1d837293cf7f6bdb867239e,0.0
27,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513047106,0x442bc47357919446eabc18c7211e57a13d983469,0xcf66900912939e950bea9ccd157de322d66232b9beff4a2b20c4725f400ab603,0.0
28,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513049274,0x442bc47357919446eabc18c7211e57a13d983469,0xa1646e8aee0382bffabb62c1dcd94cfef13e96e0e0742735a6d66ad7fb93de86,0.0
29,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513054936,0x414ac625f192b5dd77544899d0bd60f3548ee382,0x3244e24062e7b263944a896a1a272b4060f0e3a1638b8cb4beef0f58b64114db,3.0
30,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513056081,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x993042d66406b8ee17a6d4fff3457eaa045a4524c34a119f3e30d6da189ba027,3.0
31,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513056242,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x7414d2234d48859cfdb4a18cbdc300e668a2ec13d4faf80f9619376eb970ff87,0.0
32,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513056321,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x787c01af1b578b1c1c2833f2ff71581d5557507f76c68770be33987e39f87645,0.0
33,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513056341,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x3fecfaa23021e4b9af86b72e62dad74a12c380c9994f034f3caed08d3101a1c9,0.0
34,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513056443,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xa11940782853054750d2ebebd2de500fadc53783fb3bc643077e71e755bf7917,0.0
35,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513057429,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x4975d5786d04df98c739d2c0c558bfe934bbaf1f1a064b0a80907d652180b947,0.0
36,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513057886,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x23e22b56087c71bff672ab42d96a06dd89ee5456432dfe112a39d11cc0cc1f0f,0.0
37,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513058329,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x8cf76afe305863400f8efe58fcf9015463145b5d8c5b67eba94ca02d6b6bb598,0.2
38,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513058480,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xc2f5060b6cbef081f6bbf48507c08ae2dc7c7e7328f62bef331b85defce91479,0.0
39,0x414ac625f192b5dd77544899d0bd60f3548ee382,1513058780,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xcfb25587af8177f5b59df0b7647144f11a15d7b120c73c0c7e5a87fa7fd6ad43,0.0
