,From,TimeStamp,To,TxHash,Value
0,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512662649,0xa139fd5b8cb5344536842e4c51e2f0f4e3b78e02,0x9f90cdab3c01b4f352504d628d50c33989e60b865e576dc687821bcae0840ca4,3.0
1,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512663218,0xb0cdd29d791096ecdf706b63d23da2f7e0753ec0,0x43a736feb6ac57d08c4cab1ac7ea20097873b87d95ebee76b981056dd202fd11,3.0
2,0x13089b125e7cd554f85a8066f29c2b9b31496e0f,1512664991,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x6740dcfc3ac026e016ea141faeb466f16b68bad41287fbbda91fbc3796d60e1a,4.998739999999978
3,0x89422c76fd5baacd48039036fb33a6e80ee5cc89,1512665350,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x7145da8fd6c417fab75407e3b3f5ad273741a4b1814b4b4f8d3aa9910f5dca56,4.998739999999978
4,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512665527,0x9d5b525b9af1b036334410400c5e2eef7e7e8f68,0x99f5244ac0c5c4ddf625fb5ee8ea8c28862ed20f8047606353f5879d81e648fe,5.0
5,0x89422c76fd5baacd48039036fb33a6e80ee5cc89,1512670813,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x6deabb7bb7949a3b3bbe6c048efdd592d25c979dcb0b16d82658a093c2265563,36.59874
6,0x14d68aa1f295e38b0f553023731d75927e98ea88,1512672811,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x07f65ccf70c6092f269545295b4377cd73fd0b4a0cdb0d368c0a91d4f7f97bc8,4.99874
7,0x14d68aa1f295e38b0f553023731d75927e98ea88,1512681890,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0xb0d9f3628f66ab1af61b16535a5b24babb82f2259ebbb79ec5cf59a704abc5b2,19.998739999999998
8,0x84bef065a23891feb028f9cae3ea261c6219d7c6,1512686383,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0xc41bc23639de0e601e1978e73da08bcb0975a213a195c719f246202ef0a1252d,1.87874
9,0x84bef065a23891feb028f9cae3ea261c6219d7c6,1512686859,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x14b7862d3b73bb235efa55ace5b72aa168dd4a0b888297d1fafacaa0f65aaf70,69.89874
10,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512690001,0x5dc9778475d2b9bb603a43033efaad432eafdc79,0xf457ee9a55dd12559dff8e394bef390dbb3295e43e72b8329178da77201430f4,1.0
11,0x14d68aa1f295e38b0f553023731d75927e98ea88,1512691166,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x61447d4b834b3a78a548b3a9b739361056ba3f46285bd978df197b429a88ab2f,67.99874
12,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512693586,0xc9164c7200d92caaaff82513064735625b3280c2,0xed23b34e5bffbff1ef218779e0963b51354680b0424a6923359f815ac9ad5a2a,13.5
13,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512696902,0x5ed04b822a3896e2e3b96ccc1b16f5f41db46938,0x7d3a278a0e7bc7733d0fc985d7f39e142aeca1265f12af080e014f628c82e49c,9.99874
14,0x14d68aa1f295e38b0f553023731d75927e98ea88,1512697621,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x9e22ccb06a9790bdcdc352b2372fb31177ce1a4f1daeae9c5d6c21cb1367dded,4.99874
15,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512699212,0x4df8cac1201da23ee770fd78f832cf460fbeeb31,0x092b94c513c14b156401cc73893f54a1b7144f24e7e74372e78a324355f11c97,56.0
16,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512700531,0xeff4a6ca2814114ab9f777ef5431b51ece4f8775,0x562b0a7f07a6d0b78e01338e41041f493302edcfacf5917bcff43881df4c4f48,3.2569999999999997
17,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512701057,0x616423caef884b258445a1604336ce99ddd5ba0b,0x570d03798d892d1b0fbdbc6ad0992474472e538a00a7c44c7aca3b3a02efe41c,1.0
18,0x743d27c5dcac9d010678f289a8ba133c4bdaa761,1512701228,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,0x386a29805129bc7303de1411aa294ec54b3ab5377300a797e8921acb51700faf,119.99873999999998
19,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1512701452,0x2b4753ca1f6e87edbce16f6b91eb43560e8ee71c,0xccc2b6a38acd596908260c1cfa5f0151570410f2bb02e0f7af95861bc4775a29,3.4602
