,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
2,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
3,0x2827c4fcfd5aabd15c51af28294c6d19520595ff,1512797333,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0x8f7d319487b7cd62d6a11055fffde76e026309db230986091056274cfeae468e,1.001
4,0x753160ecb7739a78bd3f9c304cf83dc29af2df7b,1512800025,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xf2e5ddd798dd2ec0763629a164fa2ff1130d35486ea54c3cabdb66fb98428736,3.0
5,0xffa9e12bba085dc28b97d61504b761ee505ff9a3,1512800072,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xb3d3944743ca8fb54eb61de4e7a300e064f3990f3e09b4d1ff15e90bcbc8eb5d,3.0010000000000003
6,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512800474,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0x01aced165a584f6d73c85b4f5c27d5069ec2f4fea493af3c61ae176de2fbc813,1.999
7,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
8,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
9,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512884685,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0x9cff728796c70e711444feb13cb887a7b9b4e2ea24a2af4806b831b5e37727ac,2.9868
10,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512884995,0x4320fd268360941220bd571cccd17db16b4bebe8,0xabc019e3be37bc2e7bc55b3838f18b2dacaddfa115ede1261a3ea18724029be5,3.0
11,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
12,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
13,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
14,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
15,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513317489,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x593be1b615d61412b1e64bd37aa56a0c1b92f73ba8f307d374b4bf4d38c77cd1,10.0
16,0x79c321314020b42c191da80ca7b7bbfb91afabbd,1513338931,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0x9b239a8b7e0e410ff0b41d8b6064e869594ddfb2cc92af15a409eefe55f6e964,8.11
17,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513395082,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0xf73827921fbe954a7cb3e3f5739405aef4435533b127c221d0640af849b0e12a,2.0
18,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513395779,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xa022c3d5030aa1fc00fbf3f85fa9a295291b9deb4b330b9d6a17e5c5c21ffe37,3.01
19,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513397465,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xe34df28a1880c7570e4667840f9cb55e474c464713e14dd054b08acfdc205e0c,4.09137505
20,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513398995,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,0xd773ef80084f20a390ec91a1d816201dbc397331112966ee51bd004fc1d1ec9b,5.0
21,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513399149,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,0xf1efde17c799bb84e1de4e43a4138f8def69af6c2dceece9070eca33fd4028aa,5.0
22,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513399283,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,0x15e0c7949544cc253f0be1f445f6d13ea46de49d00411390398d7eadb46a5b9c,3.2
23,0x8b1698f7344d8446821940dfa180dd0f6eb03ca9,1513412937,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8a5b69656b5865ef4ad4d9716f40c6f1105afcc68e2445cb84345d141af313a6,3.0
24,0x9285d72cb6af775f388f0423ab0a9ef014669078,1513422556,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xe245b105cbe8a5dfc1872514b14a936f721a26ce16b49c9279792687ad411f30,2.0
25,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513422887,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,0xdbb91794b5a074358114bbff7449960fb30c2135b56c056bdad04bcf3093938e,2.0
26,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514133,0x30b10221c90134db4bb8388748428bc0778594d8,0x437bedfa650b37eeaa679b46817eb532fc03fa2955a3e49e5f7c28ea01bff8ee,5.0
27,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514265,0x30b10221c90134db4bb8388748428bc0778594d8,0x44e2b5f0fe609841dc4aabaae00f6af12ae2c7b7e5ccc2301f1e2feec06b7fad,5.0
28,0x80b4c9c8ffd97fb2e04e474abc14ba409a74e127,1513524988,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xc34149d53a8cfb851008591fb412a83d09e0ec569abfebe67358511f72a98201,2.0
29,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513530972,0x09ed378aca7658ccec57f8745420b8a2bc3d1c5e,0xd6a307753a43981f86a2dfc8122da8090c455d51bb53fcd2910105207605aa4a,2.0
30,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513570109,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0x468adf516e3d888d86c888c8f583869e3d2aceaa94fc9af0f3a698a5c2f5d694,0.0
31,0x70b56d5e2ea47e88491c2877faa7761528efc7af,1513581242,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,0xd5cd795a98addf61385f6a4797d4538fd80c3a47009d062b91b33645079eaa12,19.98
32,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513583468,0xaf43f8b6d8bf7e8f404716c95d3e7acbfda69338,0xcbe28b13a4c6868fc7dd57497a134a73d9334205b1d0ed59b51efe02266148b2,14.8
33,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513584042,0xffa9e12bba085dc28b97d61504b761ee505ff9a3,0x73d36684bdf877c113eb77f7751489b99f61ac514a612b2529e93e99e823922a,0.74
34,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513593981,0xc5bbae50781be1669306b9e001eff57a2957b09d,0x58ec5becd6de82ac46fb7ff41f9d2f257a274950c53302bfbc4087cc6b998a3f,0.0
35,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513594294,0xc5bbae50781be1669306b9e001eff57a2957b09d,0x3afce2b6d61a9d9982fa0d785b9aeaeb2a5b43b68c9448ddeaf4222cf3f27559,0.0
36,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513594599,0xc5bbae50781be1669306b9e001eff57a2957b09d,0x5eec785f8f606ef6790b726317e23aaf0808af78def947c7bfc8da4cfdf4f12c,0.0
37,0x9eb60fc0d11be52d87b5de434c03c84dc53174ce,1513597494,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x21ee2a5719aac8d3348b97665fdfb4e3be20eb3e1f2350c86fac35c453544de3,3.85
38,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1513604143,0x42c41dabf7962be4f510d54aa9eb0d2240634842,0x0aea04780fefbf636659b81c0ee6f183cdeccf507a59c8ef77c26c81943e39a1,0.0
