,From,TimeStamp,To,TxHash,Value
0,0x69691cee9a14daf0a4d68b06ca57de4ee867dabf,1512708793,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xaba3fda6fbc181e42dc5d52fa3ee32a1e3ce07ae18fb8a9a73da2a5d1e18cfdf,2.0
1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512742093,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8cded8e5215ab14cb84a0156ebe1e2e02a5d113881777f752ebe3cbf37586cd4,2.001
2,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512748184,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x03d7092d0a7f697d04201224da0f862ef58297b13a29b5fd5c16b3fc89a9a198,6.4579999999999975
3,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512756155,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe4483d9642fcf96b70efb40962bf0548c6c95f23ef6ee30ad110f2550823c4c1,3.0010000000000003
4,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512787084,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x6c0d271b00bab8c878531fdb561a78dcca46481a533ebf91e7c555d32e9f77e7,0.0
5,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512787912,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x431e9d196aea1c3cf9c09d36142f69b4cf0716419c9bc2a70df35d657e9986d1,0.0
6,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512788338,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x5ba7bd91fdf0ef494ea22eee0f120888bce7c2d4dedf75080b9545ce7522a307,0.0
7,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512788586,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x977c0373063a0a8bdd6b73a576fb089f4412956a5596edd7fb6138a54ffcd675,0.0
8,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512790237,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x328b89f55f188c7e1e72f830eac2735638db674f82cf09e8b8006fb8c892565e,0.0
9,0x42577ced4b7c1b95b2c5738d4804f7fe03598da3,1512801058,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xe3de827e52864240423cf464f2ff8204029f5a557b6c13c0f61fde0df48a5c0c,9.001
10,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512804126,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xc5ffada5325d005701b13c1f97466c9fde6163252189b5a0534d884dcbb66b4a,14.99
11,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512806471,0x093bca2487a2a22375c974c64124f2707dde5fc7,0xb430423fa84deeef06ed49e2fd95a6422a78912f3aa09cee2fecef5f7cdaaca0,6.5
12,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512827664,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x603913b7c22f39df9bfb9dc5911056b927884932c4622240201319a0858ac67e,0.0
13,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512893659,0x30b10221c90134db4bb8388748428bc0778594d8,0x1c49cec1544993ac0a56f04108c4dfa28a133918f89805abd6b96be38954672c,31.0
14,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512899942,0xf70a642bd387f94380ffb90451c2c81d4eb82cbc,0x035070b7943a66f5515e10e7f007d1f91345552e932ecaba09cf2f357ff4dbcb,0.0
15,0x16d7ebae6cf5ad07a30dd3524ef2b9a5f948818f,1512908519,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xfb73f0ee6632ed252e3a676f54db4f1adc9fcc8cc687ad3339c6cc0d922e02a7,15.0
16,0x414ac625f192b5dd77544899d0bd60f3548ee382,1512909801,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0xb84e14d95779ddfe50818fdf3c3ed64365b3cf5ce3e6bdfc0f0299466b2feb9d,10.0
17,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1512918579,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,0x38488e99684af9b0e582710c7abace217befe985685e1f293957ed837fd82360,10.0
18,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1512972372,0x093bca2487a2a22375c974c64124f2707dde5fc7,0x5e5ceb4c8915a7022d4e4c2b6e2dcb34a3f74390dfdaa3d64ad3dcbe35c05ea2,3.0
19,0x16d7ebae6cf5ad07a30dd3524ef2b9a5f948818f,1513076683,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xa7cecdcacca6ec13125066c13d4998abbbc201a4f11b6de87fdd9542b3398a23,5.4
20,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1513155592,0x093bca2487a2a22375c974c64124f2707dde5fc7,0x6b057bd0bb02adfafc2337d060579d718d6662628c3d9d3fc6e56a39d7e6cb42,5.0
21,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,1513156763,0xc5f33c98c93b8fccb4952d796bed2ca139f8db05,0x4d81903ed9acd45a327adb25404bd98d71337fc5b88898df4ead8099899e06d8,12.0
22,0x0478c8faa8f9863bfb69b389866d5e2fdad62032,1513317489,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x593be1b615d61412b1e64bd37aa56a0c1b92f73ba8f307d374b4bf4d38c77cd1,10.0
23,0x8b1698f7344d8446821940dfa180dd0f6eb03ca9,1513412937,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,0x8a5b69656b5865ef4ad4d9716f40c6f1105afcc68e2445cb84345d141af313a6,3.0
24,0x8343fe81f830f93a13649c5107648e0537d540d4,1513489331,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xa47190cc692af40ed2a68d83c22722ccf2127424490e05c59d7f1a8f6a8d1fc8,100.0
25,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513502890,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x13eea8cf8b268d52edd18967bc5b07c94eedea08a477a24abf59aebf6e83f5a0,20.0
26,0x38802e33c4ecebbc2cae0a04e2acfd4f26da485b,1513509070,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xaf1a9f29922f1f111b60cc37082e360beeb5ff7ea957c7621d086b95a55bc7a6,50.0
27,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513509358,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x6a8c88f1f1003e7f033385d9b56e42204073bd13143b8cbcb03310f7234ca852,80.0
28,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513513384,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xb125632336553ad9d36143a786f8611875d433c3cd88f686788433ed9e7a6fb8,30.74
29,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513513551,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x02a5fa46b45b40f5dd66d6d96fbbd883cb2408823b254234f03809776db268ac,200.0
30,0x6d70f3bbaa030f428b93da9d4194f4d18f8ccc98,1513513767,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x70e0de59a2468bd966c27c15cfba3ee2895c20fdac90a8440791253f2000f226,50.0
31,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514133,0x30b10221c90134db4bb8388748428bc0778594d8,0x437bedfa650b37eeaa679b46817eb532fc03fa2955a3e49e5f7c28ea01bff8ee,5.0
32,0x888c5186f8a3857373dcd1af99e0c002bf4f149f,1513514265,0x30b10221c90134db4bb8388748428bc0778594d8,0x44e2b5f0fe609841dc4aabaae00f6af12ae2c7b7e5ccc2301f1e2feec06b7fad,5.0
33,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1513515874,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0xd928b860df8dbb37e3ab42932a8875d3d6cf9c59904a72048aee3d8782846ba7,9.999559
34,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513516724,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x1569da490c6f03d27d47bb9f932ee485ab8a6dee5daf511ea58cf9cbe36abdad,2.0
35,0x418f3a0a79579276d2a379e8ef1bc46279a868a4,1513516857,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x3a80d850d9cf49307021c994df9d6bffb7ebdc383f0df5ae096023c64ed742b1,9.999559
36,0x093bca2487a2a22375c974c64124f2707dde5fc7,1513517646,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x893f71576781fd609c42c1b0c36809dd38c750f1dd095dc57d12346cff60a4fc,15.0
37,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513518295,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x167027c829b89e373b165e6c681808780d19070c788807bcd25e0fd64d6c3e10,1.01
38,0x0fd081e3bb178dc45c0cb23202069dda57064258,1513524927,0xb2a34eb3599f1c64d6e8d67b174625d456d649c4,0x4d270616870fc4591ee9a7e81aa795111748d8c8ed4cad10ee54217edad6e09f,125.2
