,From,TimeStamp,To,TxHash,Value
0,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512663073,0xe9ec5d247c19531b031d9f795ee82a27c5cd9e4d,0xfbcb881a4b4b161ab26c516209bc1c7a60c80fa2494b11751bbe28ddefbf86b5,0.0253
1,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512665117,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x63791422c4d62f165bf4b138338b4d84dee753a4926cbd93c5accd3725750237,0.0
2,0xe4d09e7df03b2a7b64821f29dc471ebefc411c1b,1512695051,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0xf76998066c8f7c0edecba9934b91a2d0916d9bd32738be2fe213d8e7b27d104b,14.788739999999999
3,0x9f3bcec3bcf8a693c898c08774a9bb7c7481b48d,1512695120,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0xb22967632d9638ded3f44167200a7cb228a63145a8121790a750b1a46030f60e,104.83174
4,0xcd0beaa75827a98bb936fdd5a83d1e3b3eef6518,1512695230,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0x365e1c09243c3206697ac953f688766d4a8aa201475f0169db1d07cc4aa8625e,10.23744
5,0x39dc35f7a6b408d46e22d9b22030b5ae4079fe51,1512695343,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0xd9559f3824af79389b26a63887f7c427793ec203ab715e8f98726f7800bad61f,6.56434
6,0x41f0da905fe896cb8b770f0410299eda386ead23,1512695376,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0xa81a19ae8eb8d32a7df639606206406d7d6a69d7c50ffe9843f425646e60820f,6.22584
7,0x35ea36aefb6f2e689d931253981b2857ec01e612,1512695382,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0xa2aa23284a010e3a57c25dc57a0c78d7acccb8661ee1814a97514c82d7a19848,5.18354
8,0xf6d702d06335ab39e70c5141d37767441950cbeb,1512695475,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0x6d14583e59da8713d42d1b25d80ea79bc8561d282c8b4ec9ed3f0ae049bd3e6a,4.08710808
9,0xf6d46e9a25a956b827b412db79e3fbca42aa4379,1512695496,0x00594a478606ff23ccb41c84b87b2389999c5d3d,0x5e6fb89b3ff57e20d60d99cdb0a0fdbc989ea13bc9cce19f8f3595317b6e255b,1.99574
