,From,TimeStamp,To,TxHash,Value
0,0x17670bf6e6f7cd7245873625b077fb2139d94993,1512693202,0x445ddfa021404b33a7e06496b2b392694df92017,0x77e8a8e935db1712f7090b1cc1bd51463fb3f14e3b9e5182efbcfaa4ee97566d,2.2
1,0xb7b6a0ae805272c06c526406bd09b63d21771e18,1512694279,0x445ddfa021404b33a7e06496b2b392694df92017,0xc603a7715d1f1144b929b77e03e4189cb86b3dbaefb572062cb9daf75d51cdbc,2.0
2,0x445ddfa021404b33a7e06496b2b392694df92017,1512694562,0x1fd431373361c0a6d45a5ef0c4d078a86a73514f,0x31e75ddefaa3e635db16cec23daedd2d7f60cabc9588405747440bc6fbccbcd9,4.2
3,0xf073a9e407080b40a231d5ae4bdb940be5c9faa8,1512695126,0x445ddfa021404b33a7e06496b2b392694df92017,0x4b205a3702772f7aaa48e9841ba32eb70b2fbd7004f88ebd379cc40baa1317db,10.8
4,0x445ddfa021404b33a7e06496b2b392694df92017,1512695463,0x1fd431373361c0a6d45a5ef0c4d078a86a73514f,0x3c311b114eb98b3986b477d222601c1f9521834c87e666b73bbeafec0128258b,10.8
5,0x90bed42e2a67f785defedd8881e11e1c3dbe3cf0,1512696591,0x445ddfa021404b33a7e06496b2b392694df92017,0xdcaeeef8ce9ad7e60ec38a796cac1c775bd54265ef2d23dac71a02a3bec57500,7.0
6,0x90bed42e2a67f785defedd8881e11e1c3dbe3cf0,1512696830,0x445ddfa021404b33a7e06496b2b392694df92017,0x90ab3828460f6c0ceb4b24eb38c067eb455dff10fe75dc0cba452d363fb097e3,10.0
7,0x445ddfa021404b33a7e06496b2b392694df92017,1512696995,0x7dffa2735e412979153ed2a03c78dbbfa2fa521d,0xcc80c11fa4bd15db5368b5eb283688a369baae38ae6a111216da47287ed979ba,7.0
8,0x445ddfa021404b33a7e06496b2b392694df92017,1512697106,0xfe154292681c9046d079a9963a81b4887e391fe6,0x851b34eb4cd5d2ded66e323112f303e3205b767e09d16f0583b9086b99497a30,10.0
9,0x81c03b2ab24c65e86f241d27eed71976cdab608f,1512698124,0x445ddfa021404b33a7e06496b2b392694df92017,0x1fa2219f5156d72f0aa27622673f81300f09ccae55a366aaa550b03da61dce16,5.0
10,0x90bed42e2a67f785defedd8881e11e1c3dbe3cf0,1512698454,0x445ddfa021404b33a7e06496b2b392694df92017,0x83b42a8e0bdeadbd3ffe611957b20651d3d46d3b6401aac70c2f302918f7a3ed,3.0
11,0x90bed42e2a67f785defedd8881e11e1c3dbe3cf0,1512698568,0x445ddfa021404b33a7e06496b2b392694df92017,0x960cc69fadc6bf6b585be0d2d4f5f61cfaf36a6ca6f7b8877756713955ab065b,1.0
12,0x445ddfa021404b33a7e06496b2b392694df92017,1512698704,0xaf43f8b6d8bf7e8f404716c95d3e7acbfda69338,0xded2f79bec23c149edd41105ff918fb3df79c2ed9f76559a2d0978cda37e8f27,5.0
13,0x445ddfa021404b33a7e06496b2b392694df92017,1512698862,0xecf493a9c5935d18784478a070df1408a0cb2fb0,0x8bdf3faf3062f225a79bfba9dba43fb5080e42bfdca700c0d79bf887dd7904f4,2.0
14,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
15,0x445ddfa021404b33a7e06496b2b392694df92017,1512699473,0x7096964047706dc688496996a215678d710dde2c,0x078df6bc5852f8c74c536c66d1b317eb9a8d77cbc7c217e019a2e9a835678be6,2.0
16,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512709979,0x445ddfa021404b33a7e06496b2b392694df92017,0x62cf34c17851a6944bd665501e44762249727209acddc0d0cc1e053c2be0d058,6.0
17,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512710308,0x445ddfa021404b33a7e06496b2b392694df92017,0x387bab0d235001c7940551b985a29fcf6f9faad5d4c622686867a7d29a7ff7ce,5.0
18,0x445ddfa021404b33a7e06496b2b392694df92017,1512710478,0x1fd431373361c0a6d45a5ef0c4d078a86a73514f,0x9a877125cbdd7d587a6a9eed2fda55a45327e1ca436ed5c45cb6785a811ec382,6.0
19,0x445ddfa021404b33a7e06496b2b392694df92017,1512710962,0x9850b85fcc2b16fb7ccd7c762f80e60e30947f83,0xfc43885fe2e1757fe3092a89ac90575e57b1760edd7114b1dec3005fdcdb3c62,5.0
20,0x445ddfa021404b33a7e06496b2b392694df92017,1512714185,0x114a063fad61c33f1193f317ab39f61ddf8fd598,0x61567141e94c416ec32b79b6334f257439c472bd87bc7ee2d973d5c11600219c,1.0
21,0xfe154292681c9046d079a9963a81b4887e391fe6,1512721815,0x445ddfa021404b33a7e06496b2b392694df92017,0x7eaaaa123a9997c737ae43e0d0b0f53c60c6ded02abf08266cae996987df7fa0,2.0
22,0x445ddfa021404b33a7e06496b2b392694df92017,1512722467,0xcc5c3455e690b991cec2068077f1bb397d6216b4,0x30ad62869deea118b074a086ff6b043adc059184027c7d5d88c867dd60b969df,2.0
23,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512724901,0x445ddfa021404b33a7e06496b2b392694df92017,0xe7b65330564c54a0f0107fafb5e5d8f4cf5fc8be13720a9ba3acf5d5bb17d1d5,4.0
24,0x445ddfa021404b33a7e06496b2b392694df92017,1512725517,0x1fd431373361c0a6d45a5ef0c4d078a86a73514f,0xbdd02a4527e3727a8b3a25ba4c50165df80bfa04adbb421258c659f92e0b1d63,6.0
25,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
26,0xfe154292681c9046d079a9963a81b4887e391fe6,1512732653,0x445ddfa021404b33a7e06496b2b392694df92017,0x49edefcb182c83e545ed09ddeba21fbe270cf5da5751ed692a23e4752e315b78,2.0
27,0x445ddfa021404b33a7e06496b2b392694df92017,1512733045,0x2ff086e01d944c0dd4526d1da33796003d2a0146,0x99e8d9ae19bcfa215e7ab7abfb97f05531a747adc3c815edd82db16121b6e98f,2.0
28,0xae1dbba20ddb7d2f8bb4099864e4e5df2b89bbd5,1512734478,0x445ddfa021404b33a7e06496b2b392694df92017,0x21a5f4c62d44367fb8a2296d7326fbf2f67bf933a384eb8bf7bf89e37e35b56d,10.0
29,0x445ddfa021404b33a7e06496b2b392694df92017,1512735010,0xaf43f8b6d8bf7e8f404716c95d3e7acbfda69338,0x099aa18355ef3af5ec77e717a2350fd21b2824490b97d795cd582cebd73a087e,10.0
30,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
31,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
32,0x67e2248e23e78c77a59303df3ee6ff672291ca9d,1512778918,0x445ddfa021404b33a7e06496b2b392694df92017,0xbe67d59438d9bd671fbceb4e7250ab5fd1dd888994e8679572c58ef2397242c8,5.0
33,0x445ddfa021404b33a7e06496b2b392694df92017,1512779142,0x4cbde69027eba0e7570c16dafa62fcafb0808457,0x63fa6046e9afb5860c6ea7f47068d2c9c75ca1274e37f648689ac7179c47b752,5.0
