,From,TimeStamp,To,TxHash,Value
0,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
1,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512718759,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x75da29fafa029171901a77232f13078fa158683ab4777003179841b03a6f45d3,4.65578065
2,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1512721372,0x429f9eaf4ebb40543b6651ea0b12cd5f91eda75e,0xdea5da711ec8308ec161d1b8112c53d8d201d92778c2b79fa8eb3dc48bd758cf,5.0
3,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
4,0x0fd081e3bb178dc45c0cb23202069dda57064258,1512729504,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x7584490fad0a332a61536994c09f120430cc002dfeacc100973e2680f35061cd,2.6
5,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
6,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
7,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512807965,0x3773de16a3b1100ad89f08f8b705d4fb610dcfb6,0xca002f25ac20c64bee62f63fd5f1ea9100a0e2b11cb173ccd5ee1c5aa37e37b8,3.1
8,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836176,0xe41d2489571d322189246dafa5ebde1f4699f498,0xdd6461c4fd3d5946b86922e1762ee0c82bd6387a856ea90d8e7c8f3bf0911e1a,0.0
9,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836367,0x514910771af9ca656af840dff83e8264ecf986ca,0x865ba95f18f64ef7c6102175a7a94d4a28bf9891ebdf2e264a7369810220af85,0.0
10,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837217,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0x2d3a45db49f50cca089a8a70d24c744fdcd080e169c7741ed0ad955f51d1500b,0.0
11,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837309,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x28e05963dce337c315c57b62340a1bc5f597e9376e4a64329d7f0ba03be80f64,0.0
12,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512867453,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x4ec4f97ee36c33da24ce4f8d6847e217994854a917d1783dbbbdc98dd7e94d45,0.877
13,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512868705,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,0x0be459c31812fd38e775bc64d84e05f5bb0aa067802ac6dd225264af68849596,5.0
14,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512874134,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x94820d2093890e4128a27507e68149ff6270abf8e00f178144fcdaf929a597fc,7.09
15,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1512885740,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0xb9e6d48c3dc6dd96cec079d0799b53656a2726eab5bfb0a11082ffc13195d31d,1.01
16,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1512893920,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xfc23bed697699de15f95ec602f8f7e6bd4d65025bd131d60e1f273e3ea0267b3,5.0
17,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894440,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x31ca8268947c2a1dd242a8a97bf207e9b04e89a83afaedd84fac2cccdfc2c058,24.68414729
18,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512897210,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x4becc78891a265323ccbf9ee69fb5709a1617c46b802ff3bf261fca7a48fc5cc,0.20875942
19,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512897385,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x4ae9daa1da0f646bac8defc12cbe68866db2b014549655eb9e28a494febacae9,1.022
20,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1512897934,0x36db5d7ebaee0a474df461aa0653d00a5e1d1797,0xf004c9ccc91195858592978d797364103c68e8344e1cca6c4ab1ecf6f832d9f7,5.0
21,0x5011b7dc5fd842ba65ec717d812b3bfcf9433957,1512898184,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0xf1e71a1e05c0f0b3e87b9df114be79c0424e410b38f248d588846a78d726b0bc,3.191368
22,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512973268,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x99e4da78061e60bf1f28ea85aec48c06dc7ef645fdcc0cfd21fd3916f19e60f6,20.0
23,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512973530,0xaa019596a4d0b60d15f55d6f290d953768ab451f,0x43370e5c777ec36ec38c569cb76b2d0321d0c6d77ac66b45db2e5330c7ebb655,10.0
24,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512982089,0x429f9eaf4ebb40543b6651ea0b12cd5f91eda75e,0xcd7ba47a58d1f571296ae6f3f15708c9ebb3a924d8ef8dc24a692da0b4d598ed,3.0
25,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512987279,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x9127ea1f2109174c95923374f3ac9a019cdd624fa6ef7230ba5c9bd6c4aea732,3.08392613
26,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512989530,0x73a50b87a14eac7531d0cb31a30681fbca57a3e2,0x51602fd3d0c56f62e9e0a894ee8f51f7db8e0e3494d47e85da341731197de4a1,3.0
27,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513001711,0x88b15fa597d33f02d1c1e93438044ce819a32fc0,0x199b6d5d4e00fa3c55723332718194ffe4bcfbea0c959cb4e400c5293cb91a64,3.0
28,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513002615,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x2b11938717f38961051b0e815f1ba362a38dd847f1d72ff1b2803fa018cb7f8d,1.0
29,0x4051335833861dfe1a417ad5b0b03d3530a5b0c7,1513005769,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x5ee99176a8d33de576c33d5c18a0767d3aa851acaff7059bbd35e300f54f8c0c,10.0
30,0x768314e85f850ec4047e0fc0b139b8c6358078b9,1513007582,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0xe774c31afa7714af046c83df99c9aed78cb1b9292ea6130124e57a8e20fa25d5,3.0
31,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513007755,0x88b15fa597d33f02d1c1e93438044ce819a32fc0,0x3312087a74032ece791770d66340403928042fca8f9aa609728ab50d9ea29403,14.0
32,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513050863,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x16e900a90b20b62cc798b412c297c1386a6bf862a95e727b9edf16c95c9f1ac0,4.63368742
33,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513068756,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x6d0c7e052558ce0ee28d5dde587f7ba70f145a8809665b11f9312714b648719b,0.0
34,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1513076457,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0x0e549fdf8acfdcde0c9cf447b7b40245156727aca720722611a6ed2d1e580576,1.9969999999999999
35,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513091116,0xd0db1c3b82158e3dbe349584810302fd611a1491,0x1669798c811be7ae314e380d87a0a795b161cbdc19903d0797d3f4ef8a1c5b50,1.0
36,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513136306,0x55f93985431fc9304077687a35a1ba103dc1e081,0x6d75fc279f6e6e5e44cf4edb763ea97a4db3b18921fc22cee9d053b5fd9b30b1,0.0
37,0xf045c32cbe34e0bd3d3cb32608356a401d61c365,1513141274,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xbeb4385cb47e5d109329434fa6998a692847d23a838dee7fb72c00f6f1afbd95,3.21
38,0xf045c32cbe34e0bd3d3cb32608356a401d61c365,1513158690,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xda259f9581398742af04dff930b714ec138f6a3e2a929238699ed030618e7dfc,1.5
39,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513182732,0x442bc47357919446eabc18c7211e57a13d983469,0x6fc9c32a57c135376d64f534d37447b7fc13167f29b9269e38532e33e124fa7c,0.0
40,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513183154,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,0x57a9ef69a7ebf2795eb42d31f20a95fb5f34a2b6d8b4ea683d3f6e2f0e991323,0.1
41,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513225088,0x01abadb806a3dc4becf7d5ac7cf0e1ce40da915c,0xb83360e3eac61ab4d0dab9927b35d052880bae8bed0a3302dfa91db13c600181,0.05
42,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513228983,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0xd19c42957fb948b168912d4268a62edaceaa77f6a148dc0b26330ca4b646c8fe,5.391172900000001
43,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513230305,0x442bc47357919446eabc18c7211e57a13d983469,0xc738cd4c9fc16c8efb34e9edc5ef327b298cd3c4abd41545558cf70ee4f4b534,0.0
44,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513233150,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,0x5cbe7325b732dd5a1d3164576aeff2ce1a6b0999570c240f762ac281168b589c,10.0
45,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513241807,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xde9dee12c96f74797d04c682a8bb83e2536620dca7378208266ec6f792a14ae2,3.01
46,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513241814,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd8441a0723591c1fc1315594dc17c30e177aab568dacae3250f9d1e0f2a9f876,2.0
47,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1513241918,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd77e8b2fdf3231e7536b2a1bddddc0470accb24cc60a014264da48f6149a8935,1.09
48,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513242959,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xea2b67e2395a9e9f4a9e01ecad4b5329624d3553e094e91b63d9429223b02443,1.01
49,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1513243439,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xad86fd2d15ce3fffd8bfc1ead31201661f24b02004c097b9b206b51bf4908d35,2.0
50,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,1513245921,0x3757279ca27da1a59ed5a5086f19d92a00253c39,0x63f789e429a9288c9ee9d211bba7c9cbf863fe8e34f31cb744b8ad0f583c2311,6.6
51,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513250189,0x7acd8772a9a87a57427cd8aab95f0afc25327f58,0x640ef1556ae3fd4e77e55124afa25bd3cc6b25af980bcb21585fa7b161c1e698,7.0
52,0x36db5d7ebaee0a474df461aa0653d00a5e1d1797,1513255913,0x7700be8df07f034ddfbc5c33083ac4507efc0aee,0xa4411e170e69ba6850f92f31f5be19d5c64130fcedf98214d51e82a3630f02da,5.0
53,0x7acd8772a9a87a57427cd8aab95f0afc25327f58,1513257932,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xefbee456ee6abac36e2a525e40599b35bf07e128c4dac252e6d24f860f95bceb,7.0
54,0x794a1371329393dac21e9b7190f65930eeaf550e,1513264574,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x77bf4867a0157faa12c3a0d8290a6d3a9e7b8979afcc60fe66db6a7d0a796896,50.0
55,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513264903,0xe5966b9f7ef82e3be1a11056a6cb727349594653,0x27833907c203aa4159dd318f9013128aeff9362ee2134f277e31ef2d2d152695,3.0
56,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513265408,0x794a1371329393dac21e9b7190f65930eeaf550e,0xd4b8667e6947e3c5bb0811c6318084981ddb9667997ab19c824f8794c2f9886c,50.0
