,From,TimeStamp,To,TxHash,Value
0,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,1512717324,0x8c3efa8c6b13691f83861c230eb11627bc38eefe,0x303a2f0d4e972351e6afff1fc76daa6991bfebc57d76b98f793aa29323717676,50.097
2,0x8c3efa8c6b13691f83861c230eb11627bc38eefe,1512718179,0xec2e8ddbc3e5211ade6690630749535435b1dfb4,0x071fb29ede330046ddcc0115c174f174d3812db278821627ca79fb648fdeaa86,50.001386
3,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
4,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
5,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
6,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512807965,0x3773de16a3b1100ad89f08f8b705d4fb610dcfb6,0xca002f25ac20c64bee62f63fd5f1ea9100a0e2b11cb173ccd5ee1c5aa37e37b8,3.1
7,0x22b84d5ffea8b801c0422afe752377a64aa738c2,1512813891,0x8c3efa8c6b13691f83861c230eb11627bc38eefe,0xd6773d77d0d2c60cb341ba65c5b2365d78477bb73575baf1519c06c4ac45aec4,168.79597586392632
8,0x8c3efa8c6b13691f83861c230eb11627bc38eefe,1512814208,0x3bf8e7f66052fbf557d82d343976915b5195a7ad,0x5fed6c777dd4f036b466477438d5ddca5a7844721d3e8b7278083ce725af5277,168.00252
9,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836176,0xe41d2489571d322189246dafa5ebde1f4699f498,0xdd6461c4fd3d5946b86922e1762ee0c82bd6387a856ea90d8e7c8f3bf0911e1a,0.0
