,From,TimeStamp,To,TxHash,Value
0,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
1,0xb476d8ffca40dc9cd91036c9f127cf2dbd255880,1512704378,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,0x1f36a91b2d673f9e1463addb85498c942a2aa995deaf57382194dcea1412a569,74.314
2,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,1512721372,0x29f149d6f005b49a7f74210ed772682d5c8ff68d,0x3bd5751ca3b6b7e3fcf8938ca71e8e38f7d694a01a531dac1af8bcadb926a631,74.298
3,0xb596764189686099cf2e777ab26e01f1067645fb,1512724453,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,0x455d9b80f807c826c7bbd0cce5b7f9b5868160f45e5df0b54b71424f9782ef9b,30.0
4,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
5,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,1512729731,0x0736a4d3499b52c39b3d236b8dde46db4e5e7af9,0x4866537043806a099dfc5f85a4c8074c9a5eba85227afdaa1d9fb8869a696511,30.0
6,0xb596764189686099cf2e777ab26e01f1067645fb,1512730167,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,0xdc13753d7dc29183a21527aa26c7fad6017d63adaa65d44c561bc371e10dc6c4,46.0
7,0xc9cadfb73e519025ce9045a2fb65b7a4286f9891,1512730522,0xb596764189686099cf2e777ab26e01f1067645fb,0x7de73ed995ebfb083a5df76e37423befff579bfcf3370034c665f0cfb323d8ff,46.0
8,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
9,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
10,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512807965,0x3773de16a3b1100ad89f08f8b705d4fb610dcfb6,0xca002f25ac20c64bee62f63fd5f1ea9100a0e2b11cb173ccd5ee1c5aa37e37b8,3.1
11,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836176,0xe41d2489571d322189246dafa5ebde1f4699f498,0xdd6461c4fd3d5946b86922e1762ee0c82bd6387a856ea90d8e7c8f3bf0911e1a,0.0
12,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836367,0x514910771af9ca656af840dff83e8264ecf986ca,0x865ba95f18f64ef7c6102175a7a94d4a28bf9891ebdf2e264a7369810220af85,0.0
13,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837217,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0x2d3a45db49f50cca089a8a70d24c744fdcd080e169c7741ed0ad955f51d1500b,0.0
