,From,TimeStamp,To,TxHash,Value
0,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,1512687252,0xd1b6991eddfaec3385c0e702fdeca7e67d6558f8,0x56dd255dd2263deaa8416227de40c9cc5df4f3ca5ba2b8fe332ba83ed5bda866,2378.1
1,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,1512690947,0x52638791258de248b3024c820fdf94d22928b8f3,0x2a866f39d310249714b424d398c0145ad3f49e120de7dbca975cfda2ed74b472,50.0
2,0x350b6697d15cabe9a5117644aedbd17e39cf6ace,1512693595,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,0x49f291df7d7d4bbe8cb80aa8aaf4a63b27a90cbb438a1ef8567152d6a2d72a7a,56.0
3,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,1512696995,0x5e6b6d9abad9093fdc861ea1600eba1b355cd940,0x431cf441aaa909077167e8140ac717ac1270e3323865cfd8dec7cd1bf53ef293,0.0
4,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
5,0x7f851be3ead7da6b84bc1157e93428b70f636242,1512701452,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,0xbe3597b227cb793b471d42b7843139fd40b904d3406cc00fb20141b8ab1dc4c8,100.0
6,0x350b6697d15cabe9a5117644aedbd17e39cf6ace,1512706789,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,0xcea588a0b90cca8095ace7f20404523826a20ac10f61461943271dc5c2fd260c,20.0
7,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
8,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
9,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
10,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512807965,0x3773de16a3b1100ad89f08f8b705d4fb610dcfb6,0xca002f25ac20c64bee62f63fd5f1ea9100a0e2b11cb173ccd5ee1c5aa37e37b8,3.1
11,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836176,0xe41d2489571d322189246dafa5ebde1f4699f498,0xdd6461c4fd3d5946b86922e1762ee0c82bd6387a856ea90d8e7c8f3bf0911e1a,0.0
12,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836367,0x514910771af9ca656af840dff83e8264ecf986ca,0x865ba95f18f64ef7c6102175a7a94d4a28bf9891ebdf2e264a7369810220af85,0.0
13,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837217,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0x2d3a45db49f50cca089a8a70d24c744fdcd080e169c7741ed0ad955f51d1500b,0.0
14,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837309,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x28e05963dce337c315c57b62340a1bc5f597e9376e4a64329d7f0ba03be80f64,0.0
15,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512867453,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x4ec4f97ee36c33da24ce4f8d6847e217994854a917d1783dbbbdc98dd7e94d45,0.877
16,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512868705,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,0x0be459c31812fd38e775bc64d84e05f5bb0aa067802ac6dd225264af68849596,5.0
17,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512874134,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x94820d2093890e4128a27507e68149ff6270abf8e00f178144fcdaf929a597fc,7.09
18,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1512893920,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xfc23bed697699de15f95ec602f8f7e6bd4d65025bd131d60e1f273e3ea0267b3,5.0
19,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894440,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x31ca8268947c2a1dd242a8a97bf207e9b04e89a83afaedd84fac2cccdfc2c058,24.68414729
