Unnamed: 0,From,TimeStamp,To,TxHash,Value
0,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512665480,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x75b4ef8bab37bc334462dc0e101bf6b25b25c785c0aab966ebac6c4fe48a50fc,0.0
1,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512696317,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xddb4d8230ecdb1f46b7e5545414f0d2500203e61a05f21717459167a4af0bcbe,0.0
2,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512697106,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xa1e76502e9ae1642e056c9d2ce9f77440626747b03e778b2cc11a3dc94374b15,0.0
3,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512697609,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf3f2e2b88eb12de15a8920761fed393e1bc588447349c711101700e9a6dedbd4,0.0
4,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512698449,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x8312b1e2426b8d88344462c82371f48008cd8e073f4cc5121b8d7bbd24635c90,0.0
5,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512699254,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0x5fb2115dcd8d84f904d414c1a3009bdff5de6569def890be025281e05c9d35db,0.0
6,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512699372,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf27661ada2b330f8b07cd4df82c342fd5f89477a62ae82b672f88b7ce5e8d72f,0.0
7,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512700531,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x5c1a41e702d848abdaed7dc2b623af19e10febf41aeddd179abbb64b2b8a0e63,0.0
8,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512719997,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xf4f54cc16dee108f183e140224d035387e16d098fd795255be5404802061b7d2,0.0
9,0xd48dcbfdf69c17afe52ad6c3c112b104ba25b6a2,1512726654,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd71f7d3c20acc26308630b37caad0598bf16fc9001c5fe3b806c6036a0a128b9,16.51
10,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512736693,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xbeb5b471bacbfd205403c5b6836675dc3b38c89788db9cc187dcae6584da432a,0.0
11,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512740877,0x4a536c1ce7ad7f6e8d2e59135e17aef5ef4dd4e6,0xc9ec13b4eaa277b22e7d8be1ada1cfc585b0fa645cdb3a399d7a1046d8f50d03,0.0
12,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512747804,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd937f547451469083eb7d5ce454393f77b807a95c6b76c5c66b2b87c56e3f033,7.39285
13,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512807965,0x3773de16a3b1100ad89f08f8b705d4fb610dcfb6,0xca002f25ac20c64bee62f63fd5f1ea9100a0e2b11cb173ccd5ee1c5aa37e37b8,3.1
14,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512815672,0xe91f0f3deb087c877c6f5f19d182da3e0ab61dd6,0x235cc6d66ee1346cad5aef838e4e8a6e10eb1794502131ba0d8ff42fbd14ade1,84.0
15,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512816756,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x40c70f3461a17250976f6b0bff69d1ab1a40cdb60fb9891f5a339998596a41d4,0.0
16,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512817158,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x84e549b97b4705f227e110c25c22f7b910232edaa4658b4506e1cfb0803afe51,0.0
17,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512817542,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x3733d826a9d30a3640a9fbb4ea3cc58f26dca106b479fe7d0cd52e5713774f27,0.0
18,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512822370,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0x2480ba8927f6cd27e94fe745a54c66aca2aef428503076a2d4456772e772a661,0.0
19,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512823789,0x9041fe5b3fdea0f5e4afdc17e75180738d877a01,0xcd3dc26277ddf79398eed5d82c142029981a9868f3d311275538991d2ff37f33,0.0
20,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512824763,0x5ca0ca97b0d359e96428f56b705525f6256c9f22,0x7ed843ca573221fa7306fac7e5902a56a93c8c3b4fb65d57aee39231b8bba9aa,67.0
21,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512825866,0xe7a05f4ee922114c58266624329ff5b126876ce9,0x1fa1dc837806ca1eef2caa6093a7950646559f7b1fb01f0c040f5fcafd743c11,5.0
22,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512827479,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x5232c3939ca193d6bf185580ee56d242126e442ff86b2646a677b1a310df7ebe,0.0
23,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836176,0xe41d2489571d322189246dafa5ebde1f4699f498,0xdd6461c4fd3d5946b86922e1762ee0c82bd6387a856ea90d8e7c8f3bf0911e1a,0.0
24,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512836367,0x514910771af9ca656af840dff83e8264ecf986ca,0x865ba95f18f64ef7c6102175a7a94d4a28bf9891ebdf2e264a7369810220af85,0.0
25,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837217,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,0x2d3a45db49f50cca089a8a70d24c744fdcd080e169c7741ed0ad955f51d1500b,0.0
26,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512837309,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0x28e05963dce337c315c57b62340a1bc5f597e9376e4a64329d7f0ba03be80f64,0.0
27,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512867453,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x4ec4f97ee36c33da24ce4f8d6847e217994854a917d1783dbbbdc98dd7e94d45,0.877
28,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512868705,0x2be5bf97cc7dbd7f3b04bba7e4cfba16c606246d,0x0be459c31812fd38e775bc64d84e05f5bb0aa067802ac6dd225264af68849596,5.0
29,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512874134,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x94820d2093890e4128a27507e68149ff6270abf8e00f178144fcdaf929a597fc,7.09
30,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512885284,0xf97d7c5a46e6be78b2fabf8f99f29d3681b7afa1,0x9a6ff513f46489b2d1b0158db88d2cd4f2f1996d14863666bc4172d9db9b7bc5,57.0
31,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512888920,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x0f43b909fdad44cf0dbe742048ecd5344d3e346978570b1aa50a658b584453f0,0.0
32,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1512893920,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xfc23bed697699de15f95ec602f8f7e6bd4d65025bd131d60e1f273e3ea0267b3,5.0
33,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512894440,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x31ca8268947c2a1dd242a8a97bf207e9b04e89a83afaedd84fac2cccdfc2c058,24.68414729
34,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512895913,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0x0623c9716ae86d9f22e7459262598b5e36e1a65261dbec9c9c90f76383ac88d7,0.0
35,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512896118,0xd0a4b8946cb52f0661273bfbc6fd0e0c75fc6433,0xbbe8c9facd9d82cbfdbe587e1e75a2628faa8bfc23a830077635a76e6cc61e74,0.0
36,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512897984,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0xc575ab857c24fbf9f8ace147cf3ac756d2c6b23a29a043a2093dce130e13277b,0.0
37,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512973268,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x99e4da78061e60bf1f28ea85aec48c06dc7ef645fdcc0cfd21fd3916f19e60f6,20.0
38,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512973388,0x802e80e4523e357c308c03b3ceac2117bb712259,0x8113076c0de4abe56b8824747f60bc8f3cc83ce021f18256c5883d16019d08b4,36.0
39,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512973530,0xaa019596a4d0b60d15f55d6f290d953768ab451f,0x43370e5c777ec36ec38c569cb76b2d0321d0c6d77ac66b45db2e5330c7ebb655,10.0
40,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512982089,0x429f9eaf4ebb40543b6651ea0b12cd5f91eda75e,0xcd7ba47a58d1f571296ae6f3f15708c9ebb3a924d8ef8dc24a692da0b4d598ed,3.0
41,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512987279,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x9127ea1f2109174c95923374f3ac9a019cdd624fa6ef7230ba5c9bd6c4aea732,3.08392613
42,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1512989530,0x73a50b87a14eac7531d0cb31a30681fbca57a3e2,0x51602fd3d0c56f62e9e0a894ee8f51f7db8e0e3494d47e85da341731197de4a1,3.0
43,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1512993705,0xc31b894d585986075a9f39a8d73ee424eedc6041,0xc877835364018bf6622f46ed63519cb450ef233d00bd9d56cee29e944717bd4f,22.0
44,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513001522,0x40a30b825630baf490104daccbd0447bd138f4b9,0x43c25f928bea0f2da06d32d64e59df175165a4dac48f5ac3aebdb6f1fa7c025e,5.0
45,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513003845,0x73a50b87a14eac7531d0cb31a30681fbca57a3e2,0xd8a6679d44ee49656cc50cb7f8c4188dddad5fa8f2aba5d31d3d7d802814a398,5.0
46,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513050863,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0x16e900a90b20b62cc798b412c297c1386a6bf862a95e727b9edf16c95c9f1ac0,4.63368742
47,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513053159,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,0x405eb296f2ae0e3d3c08833d91f78ada073f2fc573e640da4a89d1498f9e8acf,0.0
48,0xf045c32cbe34e0bd3d3cb32608356a401d61c365,1513141274,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xbeb4385cb47e5d109329434fa6998a692847d23a838dee7fb72c00f6f1afbd95,3.21
49,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513144954,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xac80577322c9fc115934b16b379d7bcd13da7bc7c34aa7df6168e649003f7cb2,190.0
50,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,1513145068,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0x95766dd068c0a59748458aeed6ec9460c45b771d1f44fc0ae00b33459c33afed,50.0
51,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513147426,0xc98bfc5fc5790c10a7a707975f8d715402ad5cce,0xf8d31a44d825f947b377f91626c9aa1f23fd2f89e21b97f4cf903b709a3b420b,5.0
52,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513148905,0xfaa35227a1ed6516eedb0d7b2c6defe3884fcdc9,0xdcf781305be1435df3913c269da1c48cc143879fd4e1ee167010f8ab203829a5,195.0
53,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513148963,0x48e1ac4475c463ab2c3f7fc0818c3ffa88559c42,0xdd9796c7813d27aade56df64560d16fc8cfc52817fd3ad6323a5e5c37e990a01,1.5
54,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149558,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0x4a1febc7973ad145a16f92ec976af15c279ce264e5b6b2401b98f4ae017e4142,53.0
55,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149696,0x561ec51e3c9d0ff6ec83eee260d178df81060ac9,0xbcbf3a61f9696a0f14b3d09c68b6c08585d814c9a4a55ba8f10a2a3a16c8cd1e,3.0
56,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513149981,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0xf3736edf982ab06ce1e577544a8f7cecb41e8be7bbb772ca14be9fa3057f124b,0.15
57,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513151744,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,0xd0f36b6ff69e97a273de92224a53ee85bef218bd7f56b611b000ea2df2ac4637,5.0
58,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513154502,0x212b4dfbaa1ae5ec7b2835ad3384a4d339e4b82e,0x6b79f0d84c9a71796f56cf9855da90e5978c5b0ee5c80c8f7e39bc6bea2ca946,2.0
59,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513155544,0xe85fd2aff6bd741e0e1aa82c5ed54cc57101589a,0xe10395d8223ce1c8be62a86a65c2af27e6a2b59a3cf0d7a13e3d166b655eb1d4,1.5
60,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513155942,0x9203397f8dee6c421101e702671f7af1d9487cb9,0xb020552005f4b4bddab474759e8ea2e5534ae8acbabeb1bed4000f5874c6e00c,5.0
61,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156063,0xea4b8a63fdf64cfc2c500efe272bd506bc4d1c4c,0x1f764e8188107111e65b87c47eb596e16751068228d55039d10946ebeb8871c9,15.0
62,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156312,0x068f9b19c8763103377fc6c35a811ac3931cc81c,0xe5d5827cdc87f7d778405296da44abf8947bfda85a42d08682d99ba5ab547598,1.5
63,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156620,0x6234044cbf20fe51e6a5ae9545c488ef1a8db272,0x51b532c7906152f352c5c82f12e4d20620e85040d2664aae3367e78824a3aff2,3.0
64,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156725,0x7ba0b7644c31471cb6f21edda1f21fad56a87cd8,0x221a188228ee637a9d24bc04dee84a3fdfec2fb3d53f21191164f0aacecd0e1c,1.5
65,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513156857,0xe4e0c09c9867055c13d4291f21ab80a73781c7f2,0x672822f2fb75fa72de63fd85780e77c8476fd4b59c41a61c07388bc25bb86007,1.5
66,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513157082,0x399554f887a1186581fdbae6a6a9b940fa4d53e5,0x86758d446ae8da8dc5558e3aaf4fbc4046041f36369ab58b58584d639c150d41,1.0
67,0xf045c32cbe34e0bd3d3cb32608356a401d61c365,1513158690,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xda259f9581398742af04dff930b714ec138f6a3e2a929238699ed030618e7dfc,1.5
68,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513159821,0x7823a9e7ec2c9acac5b935ba75b228fbcc3e0b74,0xd7fe27a97ed9c4bcfe2923594762beff3b8c3b811b2d450ba3faf99fc9f61e5a,1.0
69,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161325,0x8d1390f28db5d9cf6c9bd2ef76eef06a5e1c7f6e,0x5224836011a2f8b3ba2df7dc9a9adfbb8138fedf52f5a061309a72d220e7474a,1.5
70,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161495,0x8d1390f28db5d9cf6c9bd2ef76eef06a5e1c7f6e,0xe4a99fa3950af618f9bfb401aa551117f45e211cdb766b907137dfc900f7b4cb,1.5
71,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161604,0x9e1bd14c788e168e7eb7141aed26505c422b1ce7,0xf81dd6465fd010a01b876551f89b552871f0ded344fbbbe5d7408f2783c268d4,1.5
72,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161722,0x5ca0ca97b0d359e96428f56b705525f6256c9f22,0x48c975031978fd269cb3fedfa2177dfd73393758f3b6c96dd270fa7f835d4648,20.0
73,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513161879,0x141aa6498d0125e5768c91222e22adcc1cc8d331,0x1a69203f77ecf817d3414e2678e9dfd6550f027af4d7cd982ad8fedfea9ea4d1,4.0
74,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513163845,0x71fb72d4432b11f85c1a7eb723c0bb904932c6f7,0x8805417b77bbb542b32ec8127b11163caa358bcf0ee370d95edc0f725607c6d9,5.0
75,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513181072,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,0xe06da9ac519b7b1fab45a85f6fd89d97207b1c1e341c79a58f7b2ee3499e447e,0.0
76,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513182732,0x442bc47357919446eabc18c7211e57a13d983469,0x6fc9c32a57c135376d64f534d37447b7fc13167f29b9269e38532e33e124fa7c,0.0
77,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513183154,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,0x57a9ef69a7ebf2795eb42d31f20a95fb5f34a2b6d8b4ea683d3f6e2f0e991323,0.1
78,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513183161,0x55f93985431fc9304077687a35a1ba103dc1e081,0xa321077575373bb6a69ae88cc96fd9ab69b07efac56bf2bd4a33093337e48192,0.0
79,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513183592,0x55f93985431fc9304077687a35a1ba103dc1e081,0x4a60d97924133eed88baa01b66bc31cf5e535a9c8d8f18affa9b63d679df9bae,0.0
80,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513186680,0x55f93985431fc9304077687a35a1ba103dc1e081,0x6c6fb53799b6ce7dd2aa2d050c3bef5234a3c60263ef0d4b8d83876b40e64114,0.0
81,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513188440,0x55f93985431fc9304077687a35a1ba103dc1e081,0x1bdeee1dcafed051c1e2a9c06d3f4c6c1342a4910b651b4d3e099a1cb7639dce,0.0
82,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513225088,0x01abadb806a3dc4becf7d5ac7cf0e1ce40da915c,0xb83360e3eac61ab4d0dab9927b35d052880bae8bed0a3302dfa91db13c600181,0.05
83,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,1513227644,0x55f93985431fc9304077687a35a1ba103dc1e081,0x096b4c495e0b455c4a5d72a9846e97dc4c8c71abb29f2438d3e189fcdf0bf5fd,0.0
84,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513233150,0xe83b8a8d23396f5df6c5286c4329a54d5761cc1c,0x5cbe7325b732dd5a1d3164576aeff2ce1a6b0999570c240f762ac281168b589c,10.0
85,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513241807,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xde9dee12c96f74797d04c682a8bb83e2536620dca7378208266ec6f792a14ae2,3.01
86,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513241814,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd8441a0723591c1fc1315594dc17c30e177aab568dacae3250f9d1e0f2a9f876,2.0
87,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1513241918,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xd77e8b2fdf3231e7536b2a1bddddc0470accb24cc60a014264da48f6149a8935,1.09
88,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513242959,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xea2b67e2395a9e9f4a9e01ecad4b5329624d3553e094e91b63d9429223b02443,1.01
89,0x3957ee0bff0ddc96d5af08caf31baeeeefbe1ee6,1513243439,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,0xad86fd2d15ce3fffd8bfc1ead31201661f24b02004c097b9b206b51bf4908d35,2.0
90,0xa4399412a861fcbc1b8fb192f8520ef70f7c6bb3,1513250189,0x7acd8772a9a87a57427cd8aab95f0afc25327f58,0x640ef1556ae3fd4e77e55124afa25bd3cc6b25af980bcb21585fa7b161c1e698,7.0
91,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1513252750,0xea2da8672abe1076bcfd229b6b2fdb357c010f93,0xa2e2306375ad98042ae310e769b50286eceb8a9e4e6cef070c8e33d54855837f,4.49
