,From,TimeStamp,To,TxHash,Value
0,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512707368,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x63e047806d890b5106607935154eea4102d22cfa45093559839a94bef17a0dc9,0.0
1,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719412,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xf17d67fddea211e37b303d880a4197d8db8d94ebc725a6948c551cc1a2dca088,0.0
2,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719453,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x999e483665c7e221470e8816cf2d99bb83e7137712ed2257c44754ce13b0425b,0.0
3,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719519,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xc891ddc0ce3720f3eb8207006a5aec1168dbd6bcfbd3cec57c88461e141d730a,0.0
4,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719551,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x594c6fdcf301d4302c699c161ac53c88f9827475d700f48227af5103fafb57d6,0.0
5,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719667,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x24f5fb670e1b3f5cfb2c16cf1540ebaece42386713c02e3c1a32ae4f2ea2f6d9,0.0
6,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719765,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x46028981b5b39364ee15d1fa38a4e542f4ca58c05271fab2380a8097b61a10e9,0.0
7,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512719869,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xb3e72370344971743cc132acac184bd6842dfc4fd43ca933d45a6a9e2ca6a91e,0.0
8,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512720166,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xb07bcaa89217fa9345f1a84bdbfe04d9a8997d31b4568eda35983ac8e5385337,0.0
9,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512720361,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x5845f0d0fca155ac0ff661420cfd0d5f4e57284f7ade12a2989d6f7bf3880d84,0.0
10,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512725919,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x412764e5e6028d6f8d53e97fb237e5319229117d1362926dda502f883f312ce2,0.0
11,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512725982,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xdd1c7f9ed776b609df6a423588f7477585f829ad59df8dd6bb97718d1eb5624d,0.0
12,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726092,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x894ac5e3497cb989cc1e2fc58aa3a12c16d738d8063d7a918884d6f709abfd71,0.0
13,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726132,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x5596db56afee0bc3254a8049c6ce1926c5b983bb10613c5c2a2134ef7b215808,0.0
14,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726172,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xc930ab64c64d2d77ccded21f218d780ce1ab3d6769d53121087a742d2a979357,0.0
15,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726241,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xc4a8791bfe5ec2714c95824a91a80eb6d6596dc0372d4401b022e0bc1b09139f,0.0
16,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726298,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xb61ee439ed8988c2cccfb1fcb116291c100891dd4ac9c087a494cedd7f52c0c2,0.0
17,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726587,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xf0590b3648f37a334f2ca370e0f1ec5e86cdfd65de232aa3fd0df8b1e989c760,0.0
18,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726622,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x4670bf930b9e5027bd4df722ba6ac1ffbadc148eb0142353a4223a4730d3de6a,0.0
19,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726724,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xcd45757d8c2ee42bb2d33aca54d33073d97c5fca43b1096da99c9d5852dd3ac5,0.0
20,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512726965,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x7d9874061a23d39bed93c74f1eb6ad49691f4bd6df832c92f9dacd03dad0b13c,0.0
21,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727028,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x981cd907ffa479cc533c95cd840571ba717edc4a5fe3d4093a3227501835f948,0.0
22,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727084,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xdea50d1e4b3a97435052819447f984a5c5b7a1ebe3a883bc394c9b5da4535177,0.0
23,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727122,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x57676b81a221f9a795bfb268196498b8c2a12f0a5fe1b4fd70270cbc17ca32df,0.0
24,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727156,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x574534e8aea615da4537fb4813e07e6ed5536e766eab2d934175f9ff18ab24b1,0.0
25,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727195,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x6b4eb931a545eeb9987c4afea0536284b444cdc9ff196a517e58ae398659977c,0.0
26,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727273,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x9155d4d0e3cc873f02196ab02a4100caade6c3c8e955fbd370837624c311f7f0,0.0
27,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727311,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x377afc8a84a578e3646052c971e459643c97fabc0cb01e5209daa2ff042f7b90,0.0
28,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727359,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x4cbc3f41e8502b72553203316f53336051e639b95ced39a6de7899665a0758e4,0.0
29,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727428,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xd3b27d274ec60c404c29f5ef1341231c147ed2ceeceacfee35514a68d3d36a78,0.0
30,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727489,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x01744b8c04918bbb3355c7b70adf96dddfa192ac069bdaf86394647905f02aad,0.0
31,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727567,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x6d963ceb679867260408fd811c6840d1d14587184392f2c023cd5b24a50d349e,0.0
32,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727872,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x6025da06b6d1ed5f5b7671251a889fef521a19b9e1347f23aa26050fcd4431da,0.0
33,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512727901,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xd713bef646715c74c683c4687728f78c1147612972683e62990a12163ba9a564,0.0
34,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512728103,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x4cd61fb65c8ee10e19540ca766d279b1530d75690aaf595f79c6fbebd3537967,0.0
35,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512728166,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xaed867620426253ceef3a453b59d0f2f856fe9ed4c9022f1f25bd4ced58bf590,0.0
36,0x964800e4a3eff954644e4a145ee9a1b21775a7ea,1512728262,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0xfcede4e99e6e87dbf63c967168d3538b67d37661c271285f6225737ad2249129,0.0
37,0x4999ba3e07e8446389fc80467cf6cba34ab2363b,1512733243,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x4509e64bc9b304b8b267176df3e413ffeb8687950d63f89dae78dde37a094109,5.0
38,0x6edefc5b73efbd8aac5b2ba2422e2f210b37585c,1512735448,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0xa3aeba6b267867bf8673945124e07660c3a039bc3a5ab30ece520f1b064aa186,6.0
39,0x927065e20342e278d356c8ccccd4c64f3cb5fc57,1512756562,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x91dd99d3d23d1d36d591084994730b7b89befacaab223e5acbda6a51d42e3ed2,1.0
40,0x39700566a5f46da59f725a52468315b3c7c856f5,1512786789,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x38de85a5a1b6ea98a3bb244f0773a2457da7ae8fd304581fd0e2f1946e4af2eb,1.0
41,0x6357e230ab1773be365592681e1a0442f6e751b0,1512786860,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x6bb4ac7516c6421680333c3a5388a233fb82315d7453601db04b2bae54721bb1,0.0
42,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512798863,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0xdaef352796ed5fdbe77101d10211430f28565b399152af7619c1dcff2261c7aa,6.9559455
43,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512806081,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x135007cb70edb7f321646156e58ee68c809c207a29e545a5906c6f395a53d455,1.5388
44,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512807991,0x25501f88f12761c19006abb17d459a4944c5db35,0x4b810e593243d8568d0bbea7b94298f87d9875b66ee64bdf13b114446e87dd9f,0.1
45,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512810686,0x25501f88f12761c19006abb17d459a4944c5db35,0xde4b63145ba227e95d774417e239837b0b7aaa5237c1c7f1b7b26ea4f12d1236,280.0
46,0xd9a5bf2a0cbb7c1658f60d7fd6b78bb226c046de,1512811831,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x949ab9420e631a5f39ae36aba05281d5ca9d03c539cb1a75eb02a293227193d4,7.999
47,0xb916581f4d4d762dd7add257894ee0f22dc4a21d,1512817823,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x2a141056accc4642d680a30e5efa4d797aa1edf82d56c5d8b6f410954383de1f,4.0
48,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512825729,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x91b0ae412848ea896ab54d2216e435c3867e632df7093cd3c6320b92d4858707,1.0
49,0xabfe744984c759d9b711f9bae32d323b37eec27a,1512828611,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x933bfde96a55c5661f346580b39c44035409f87de4a5d5bf02ea2e22b441f520,10.0
50,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512829141,0xa5c96df69b81f617b99312566e23b37b5de1d6b1,0x29d6441daa6376ab96127fb257ca96a6f3e1bcde5975891385fdaa2b67f85b2a,1.0
51,0xc53bb8f18844ee1ab1b5234b7de47a54a991cd28,1512840113,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x74c3d48f94739f2f71b5802f2847282b4cafe48343f02b02c496978717b7dc5c,0.0
52,0xa8a8f722da4920a475c997dbfb39cc07e9faa474,1512845022,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,0x2573a1ea224536567015fd4f09079729db9a5e8413baf754eb577779ad40a6a2,0.0
53,0xd5dadf06f1d18e76567b1f5d9a4a9c05fc2b5f94,1512860675,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0xf40155beab53231a9fe99e02f3eda2ef69ff7e7fb10d522982cd72361abb8508,2.0
54,0xd5dadf06f1d18e76567b1f5d9a4a9c05fc2b5f94,1512864946,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x590214884589b3656ad41b6888b9a65c31cbf9f44ff8b75d8d40288ba0558987,2.0
55,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512867598,0xd1ea3bf69911eadb47e469ebfb40670bd0e5868b,0x7f4a4867b496a8ea073839f7a220a0c9f06bc989cc0632c95c9ab8d5f394aee2,5.0
56,0x6a9f6ab41a90d59fc5ef0d373559f39002c22a0f,1512871645,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x77ccbefe6583d039e373266f4e219d8c130f952286e587616f94c9812816b710,2.0838
