,From,TimeStamp,To,TxHash,Value
0,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,1512662649,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,0xffcf7cd7c134d0d98e7e738ae06d12c050680983cfec48ce6d23b2e67e3600da,1099.0
1,0x3ee905d3dab2f33be3e3e377896b8dcb13c918c4,1512662966,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x030a95ead32faa64f9bfc7e0c208cd165d39d2eab48e494a669c4a260d028963,2.225623508
2,0xf21483fa785ac15b0dca878d18537c76ea6c0722,1512663721,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0xff8ca6969a01065a1087aad708660100df59aa7b188ed4f66d7bcd3b82b7c785,8.453339999999999
3,0x6b1323afbc18ca3093110dc5a48c959182ee3f55,1512664784,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0xaaf15f54cd13916cbd07b1f2f664db4af69883bc80b5b9114a350d5df13c56d4,2.5337400000000003
4,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,1512666265,0xdf95de30cdff4381b69f9e4fa8dddce31a0128df,0xae1a6e42b347cbf00588474e0890af0c94c21b5864317dd877350dd0b765b8ca,1099.0
5,0xc9e4abce1b2774c8effecbacc84da3d7157c8901,1512667302,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x7b08f882a2a9ea64d6b30f2dd89addf54dc931a8fefdb280c2691eca325b8726,54.30874
6,0xcde0d46eca49f3d90fedfaac149b7bbca27dafde,1512670516,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x40a729f5a0be790b473c34037ba8214e1ca6c4bbeb51a819437be01786e4df4a,7.398739999999999
7,0xc9e4abce1b2774c8effecbacc84da3d7157c8901,1512672129,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0xf9f477521d49e1df9388ad30e350880f6ae047346f37a2a09f7c0966f21f6494,99.98874
8,0x200cb061b572598d573f3fa714c5a304267d3eed,1512676444,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x7dc6682363cbdeb120ef30590eb98520514981650bf47312f4be9b5036ecd3fd,10.155453
9,0x7a8a7a62f8aa6d0fe7f3fd22d163168d09601bf4,1512695423,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x4a87773f34b789deae7cd8322887e1782adeac49b421bf943662ba6dfdecbb82,2.33874
10,0x812cee5c9bcb7aba087d785653ebc256e6bc5e98,1512696083,0x39d9f4640b98189540a9c0edcfa95c5e657706aa,0x3f21a65058985cf6ecded836923813d51b7dd8acd21d19613fbc7f0181989ad0,58.02121675
