,From,TimeStamp,To,TxHash,Value
0,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512707368,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x63e047806d890b5106607935154eea4102d22cfa45093559839a94bef17a0dc9,0.0
1,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,1512710075,0xe3fedaecd47aa8eab6b23227b0ee56f092c967a9,0xe4f71e80ef75730ffcb4aee34f4b8433e23c94e75e60e7fbeafd0c2523f01b92,0.0
2,0xafba1b04ec9dcbdeaa8601d8ae8f44edc77da224,1512720418,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,0xf4c04b660f90ae0e01d281f98723d0ecd97011c7368ba4e15162d2ed3dfd0949,2.0
3,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,1512724955,0x5dae5c3ca2019d5f2a4d0fd4334435bf32b5e4c2,0x3219d0ca8d6227fabf85df61ed34a64fc9a28785ad15f6a283d41d3fdc5d5842,5.0
4,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,1512727248,0x27695e09149adc738a978e9a678f99e4c39e9eb9,0x602e4a935fa5f5c4caac696513c4d695c0d3f8df5aa31f1483761de6748c65b6,0.0
5,0x4999ba3e07e8446389fc80467cf6cba34ab2363b,1512733243,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x4509e64bc9b304b8b267176df3e413ffeb8687950d63f89dae78dde37a094109,5.0
6,0x6edefc5b73efbd8aac5b2ba2422e2f210b37585c,1512735448,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0xa3aeba6b267867bf8673945124e07660c3a039bc3a5ab30ece520f1b064aa186,6.0
7,0x4be2166a8dbe25e79a9b30b4ce26858e10d21e92,1512744791,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x8c9c374d737d494cd485323c8f1811c06d6e6f6474086deeba355c0adb852b23,0.0
8,0x927065e20342e278d356c8ccccd4c64f3cb5fc57,1512756562,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x91dd99d3d23d1d36d591084994730b7b89befacaab223e5acbda6a51d42e3ed2,1.0
9,0x39700566a5f46da59f725a52468315b3c7c856f5,1512786789,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x38de85a5a1b6ea98a3bb244f0773a2457da7ae8fd304581fd0e2f1946e4af2eb,1.0
10,0x00594a478606ff23ccb41c84b87b2389999c5d3d,1512798863,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0xdaef352796ed5fdbe77101d10211430f28565b399152af7619c1dcff2261c7aa,6.9559455
11,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512806081,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,0x135007cb70edb7f321646156e58ee68c809c207a29e545a5906c6f395a53d455,1.5388
12,0xb9cc9bf5aed8ec4cf02fa5daffb4c7df649f9d28,1512807991,0x25501f88f12761c19006abb17d459a4944c5db35,0x4b810e593243d8568d0bbea7b94298f87d9875b66ee64bdf13b114446e87dd9f,0.1
