,From,TimeStamp,To,TxHash,Value
0,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512662914,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xbef5427a2fbff285e7b590e4ab233edbab71d8a8269e42150038a71bd7696dc1,0.0
1,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512663287,0xa9c891b4e87b4992683087f97f623c4dba8faa9f,0x8bd090eb08de643e27a7ddc3aac897f341bd28898b6e3d063b931c003f09554f,10.0
2,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512663357,0xfacc8a005fd673fbca9f3c91f1a4784ce92452d9,0x6b1c394e5e99af967728e411776c45e5c3f6c99338cff66b63787bfd691af39a,5.0
3,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512663753,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x73885b3442f2489ed2c0d951792f25981280aabfe279e4de2811b1b72129e146,0.0
4,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512663887,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x13a68d081f700bb2501a9dcada367c135991929d8e30ef467bced76bd257dc2f,0.0
5,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512663979,0x84642e9953e3fe21adba0c2b8918dc63b17c78a3,0x91f167c1e67880db1f693bb9d749f2f482907707ecbbb0062ee164bf9ee01ee8,20.0
6,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664121,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xedd6fdba352f9c0e2ff38e1ba0bdaf8cf46a5d19b7dd60dcea0cf5374c4a4cf6,0.0
7,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664242,0xd83d7d042c7aa2656594f6e77e0a40553c2f3b5a,0x0e0005e961394fa4965d5ce789ea981e03c13cf90223ed18bc6acbf98fe1bfb1,6.0
8,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664415,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x5289c2a254b9e5021fb06608a79c2a15b9cdf0ef08854c3a1db280208341fae9,0.0
9,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664669,0x3a67a89c4e5157033f602a9f94170ce19a9e6af8,0x7087247767d5257ddf16fb20f08c4c6f1719bd79ad69ba94bf4551ea9e96bbb9,1.0
10,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664877,0xf3dd9db55d5e69125ee126dc5804b7ec266f282b,0xe69c2590d658c14406a8300fa4b97a291b33f2692e44931e657c565f1c4cfe09,20.0
11,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512664991,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x966d7053bdc18453740cbe680fec0659a536929c63d6e7dc4932908f96bbb636,0.0
12,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512665444,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xe875c72e34fbfecedd022d780e5666e01509c45cc176df4bf40e3f0c49090a5a,0.0
13,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512665561,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xb67a3014641756650ba2293cd44d32a1e06a99ef04cbf14e25a59923de5b978c,0.0
14,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512665636,0x5cc054389747a6b32f2016db8d48da8729e53f07,0x4aaf2aff1a658010c7196d53db87ffc10fbcd82b41d4f6a325da487f052c1903,3.0
15,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512701756,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x2b67fe1705b22dcbb97f79b9a73a665ee5b7776df0e06ecde8e6d5010f4bfec4,0.0
16,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512702341,0xff603f43946a3a28df5e6a73172555d8c8b02386,0x3256b28d918a1e7a6b63e4ffafcea634e076fed1c5e13ebb3fdaec9d47a263cb,0.0
17,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512704187,0xde44d71d4ee8799430ea5511ad3c89e53f195590,0xbbda3734cb3f3693caa22a98b0d0df0aeee51bde5d96c742b33ac8ce1966724d,10.0
18,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512704294,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xc9a54f0bbb69756766121914fee7b6b633f333b129258c37dd667a7a9b904b00,0.0
19,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512704781,0xff603f43946a3a28df5e6a73172555d8c8b02386,0xb270180ab277d035d6c920173eaf0f7cbb044bcdcd0203774686839d856c327a,0.0
20,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512708495,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0xe2f8769aadf247a4c3c140e5d7e61bde17ccc8d3d7193acd31b7efafd1e2e77b,0.0
21,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512710535,0xa299df5d0368b75ed5230363a01a81add1151483,0x068cf2b12db38bc317c3e1b2d89c794f224a7a37fd71d9b22673f19e58c23490,0.0
22,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512715043,0xdbcb90676d4b02161657ff0336b13e637d8ec483,0x65ff84dcfaaaaf2e9ab9abae2e5e0e5d5e1ed588ad02ab3cf2e1343e13afaadb,1.26
23,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512716560,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,0x15727fc5dc25872b2800b212e1ed42fec73b9f42da6764c8caf1c27255f39638,31.0
24,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512722689,0x8b05d2f1095e30a24e1574b29da7ebd791f671fe,0x591f97ad85de7342e5d8597732270841d77015d85ef0ce31aa52f5b35b33fe2b,2.0
25,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512727045,0xe94183765f286ac4355cdb8fff1ad7d1e248df13,0xff2f726c33c18ab5a6c0c57046a39775dddfe010cd210d73749dfeb54b6e7706,2.0
26,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512732530,0x00ba83e46a51628c0342e8fddcf7728832299527,0xdfff589348a2fa90ca998edfd180b6ea41fd19a55bb960c730aab03a37dbf526,88.0
27,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512746546,0xafef7e6c7cc8ee1ce7140fdacee481ed5f219113,0xda66ad0382baa8cfc37d81e1f1d9e3d57880181f2111160ddc18ab57648e80e4,10.0
28,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512756587,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x887538ab02bb1f06edba585ab455eb10fc3fc4d49bfd1b1d758be3daaf3959a6,13.107000000000001
29,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512779037,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x10aba620eaa3d02836c90787120c3871f16473f1965423948ebb2a4d84c906a1,10.0
30,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512779576,0xd1fb366d634345cdcc4e8cccd993283165fa8ff4,0x41c5e0e0371b1f231ceea5b960be1cc27bf8a0f735544dec917ad20743f1b77a,20.0
31,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512790050,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x8af138102729ee0f0dfa1e0acb4a68ac09ca2effe2d34b7ec455e3e2374c4809,0.0
32,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512798488,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0xe31c17752f2f45abee463ea58836cb71d6f9b3575dcf2dfcabcd5a09232ef10f,0.8
33,0x84642e9953e3fe21adba0c2b8918dc63b17c78a3,1512802907,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x43e0ea3b00a70bd5ebf5d658f218b1e4963403969178ea4110b475e75735dddc,20.0
34,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512803575,0x115182acb228c4375afadecc0cc2377c1dac0de5,0x94634a9173f4943f516234805b3f97f593a2502096030d7d1af53ebb2cdaf486,6.0
35,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512805552,0x40c22f5f1a9210b7b197f0435f4e9f5d577c02f7,0x9aaee24bfffdffaf227c1c91e959c7a890b3eaf3b8da4313db066bad7003bf03,4.0
36,0x40c22f5f1a9210b7b197f0435f4e9f5d577c02f7,1512810187,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x16a4fa9f362b9f4ba0842d7d137950052532859e417c6f22b0803b34f70c472b,2.0
37,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512816110,0x35a68cbdb4dba4553f9118563ace9a28acafcfed,0xd330db1709b2bf2b766d81cc4b68eb67773f1fa8464e0ce783ef49c1b282165b,3.8
38,0x1d50562c5173b8c4ba054ff0b9c1c1ab6e8046e5,1512827010,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x3865509a098f659f5726f9497aae318dba0f205522df4ddca749a07fa373ca0e,35.0
39,0x0590cce1ed5aa3ce98f82df512bb7bd72d2ea09c,1512829503,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x79adbfac110220cd3faf7d5457753ed9ec6654c02217a01a9901ce9ca9561f08,71.6
40,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512834077,0x2e4b57848e7e65c915fc8beebb128986819bb8bd,0xf9e3f064d7d513902564f040ba352278c923300a50697aaf9e320331f285df73,106.6
41,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512877251,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x6a0a03eae0681cd1034ffb4fa16c230cc4197fd2708d2c63f52e78e9fdc2ea1c,0.0
42,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512879805,0xecb7cf2ed19da35e47c38cc4e892d1289a32f0ea,0xa485d112211c98e68499d0c5f7951a418e0afbfea86dd5885131314c6080a157,12.0
43,0x1d50562c5173b8c4ba054ff0b9c1c1ab6e8046e5,1512885049,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x5d1954cfcf9cc4f13a7c20408a75cba40e8ddf09d38e196956b0fc6850815b48,50.0
44,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512888409,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x0f8ac29a08993593d1111c2f3c1896faff4847f40ff146ee151a5222851b6e8d,4.0
45,0xd27349f762fa5fdbafe37684918b4036ffa2bd32,1512897877,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x8a1c98c8cbf842c72f785c0418215488d236fe8f341e742a48143c18a74991c3,5.0
46,0x013246b08d1c73c47f69723ddb25b659d18d31eb,1512907651,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x4ca2321340294aba8792dfbd592cbd535a67596d5999fe80fc4482633e7e3885,12.5
47,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512908192,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x388a63e96a5bc9339c1d49b156233ccc319ce91f5e078ca0218f1b51dced5017,4.0
48,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512909801,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0xf97c66ed904a65382ee04e6d874d0956fe5aa8d298d40bb4d29dbbe8e56476eb,1.925
49,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512910852,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0x5c4c9e5589c1c4f5f0b5ee491556f4b35e1d229a5c8310624d7868e5b53c7c94,5.0
50,0x40c22f5f1a9210b7b197f0435f4e9f5d577c02f7,1512911487,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,0xd3de75ae983a0c54458ca876c1d546e89d9841c35abdb12aec438d3e535c8c03,2.0
51,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512915323,0x2e4b57848e7e65c915fc8beebb128986819bb8bd,0x15694d1b050e05682a4afaa082832f63db207ff7b5e3806d0eca3ef24643ba37,119.5
