,From,TimeStamp,To,TxHash,Value
0,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512699761,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x8247ded060c95ba39986f98ccbb6015d02ed9069912c4d8be72fd894fe21e245,0.0
1,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512703130,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xdcc272a51649a8bc95b52879fc8d59085b1e59a16f3cdb276dfbd0e2d3935459,0.0
2,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512703172,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xb8092536224458e5413fb08edb20d4dc7d518f55fc0e67da5f09f273b91194b1,0.0
3,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512708495,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0xe2f8769aadf247a4c3c140e5d7e61bde17ccc8d3d7193acd31b7efafd1e2e77b,0.0
4,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512715043,0xdbcb90676d4b02161657ff0336b13e637d8ec483,0x65ff84dcfaaaaf2e9ab9abae2e5e0e5d5e1ed588ad02ab3cf2e1343e13afaadb,1.26
5,0x3dcf881527a34c111c3561fb5e4f4d2cd1567cd2,1512716560,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,0x15727fc5dc25872b2800b212e1ed42fec73b9f42da6764c8caf1c27255f39638,31.0
6,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,1512716942,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,0x41bcce36592f1d7a443470b56787c34b168e56e21b689153e15d2e97c2f89572,15.39204379
7,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512717839,0x66bd6c5086724a3510b8429e1ae0755a02edd6ea,0x3e686732ed011ba0180148a3a816908b07aef3b2d4522c67f21d5699e0a7259c,41.0
8,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512721064,0xb433720e96d01b7143411a94dfc6d4b40ca13891,0xd970f6f075c1a73d2b9969dca6a6b428dbc0c8b1fcff0a437c0adfd4afb9ea1e,4.0
9,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512756587,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x887538ab02bb1f06edba585ab455eb10fc3fc4d49bfd1b1d758be3daaf3959a6,13.107000000000001
10,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512779037,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x10aba620eaa3d02836c90787120c3871f16473f1965423948ebb2a4d84c906a1,10.0
11,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512779576,0xd1fb366d634345cdcc4e8cccd993283165fa8ff4,0x41c5e0e0371b1f231ceea5b960be1cc27bf8a0f735544dec917ad20743f1b77a,20.0
12,0x7724ea864b9c4a95ae772d25d8ed08a573774a08,1512786212,0x63281b3248be8f10331b26d8ff90bda2bd91a243,0x0bf6e3266e0302f21b3a4a03c31a4896fd4c681a344f3862b46985c4275af2da,2.0
13,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512790050,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x8af138102729ee0f0dfa1e0acb4a68ac09ca2effe2d34b7ec455e3e2374c4809,0.0
14,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512798488,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0xe31c17752f2f45abee463ea58836cb71d6f9b3575dcf2dfcabcd5a09232ef10f,0.8
15,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512816110,0x35a68cbdb4dba4553f9118563ace9a28acafcfed,0xd330db1709b2bf2b766d81cc4b68eb67773f1fa8464e0ce783ef49c1b282165b,3.8
16,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512877251,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x6a0a03eae0681cd1034ffb4fa16c230cc4197fd2708d2c63f52e78e9fdc2ea1c,0.0
