,From,TimeStamp,To,TxHash,Value
0,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512708495,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,0xe2f8769aadf247a4c3c140e5d7e61bde17ccc8d3d7193acd31b7efafd1e2e77b,0.0
1,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512715043,0xdbcb90676d4b02161657ff0336b13e637d8ec483,0x65ff84dcfaaaaf2e9ab9abae2e5e0e5d5e1ed588ad02ab3cf2e1343e13afaadb,1.26
2,0xae5977afe3327cb753b4db2ce78443a4e922d00c,1512723954,0x14d68aa1f295e38b0f553023731d75927e98ea88,0x53e4faabac5621a441d31767a9b311f457f33d6014a66e02d73ddcdea1e6b9de,230.0
3,0x50aa9ae1d10b553e4d7bc80375309af26e6d9ef4,1512731158,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0x5beaa576917c0d81011189fa37e2980cf550f9d13c0ccfb10c8eb7e2605ade15,8.0
4,0x4eb65c6b5a0483d474f23c91f97b9e887179ab3d,1512731857,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0x32e46214e707ab48bf7ea4e0208562f08710add9b0778833ccf2c116c79ca9d3,18.0
5,0x69087e5314215f598ff73fcaa5f1822f269b5422,1512732151,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0x97d858f520533573b004fe0407b11058c0c29ede84f05866631b54be95bd2534,10.0
6,0xae5977afe3327cb753b4db2ce78443a4e922d00c,1512745758,0x7adc26b95c3e4625e1ac01f4eba38273e6c1ce48,0x45ddc4525ed9daf5adb840598bb60445632770a23a1e15e22740bf86362e5ced,20.0
7,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,1512756587,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x887538ab02bb1f06edba585ab455eb10fc3fc4d49bfd1b1d758be3daaf3959a6,13.107000000000001
8,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512779037,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0x10aba620eaa3d02836c90787120c3871f16473f1965423948ebb2a4d84c906a1,10.0
9,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512779576,0xd1fb366d634345cdcc4e8cccd993283165fa8ff4,0x41c5e0e0371b1f231ceea5b960be1cc27bf8a0f735544dec917ad20743f1b77a,20.0
10,0xa0b4cee98312f36daaae4e579a744928424e1642,1512781283,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0x17ed7d5235a503926915b79bb1d04ef3b5d47e6bd5e341c81c36e1c0bc46beaf,20.0
11,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,1512790050,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x8af138102729ee0f0dfa1e0acb4a68ac09ca2effe2d34b7ec455e3e2374c4809,0.0
12,0x7a1154095a9c941b5972a3929ee6e8562a8a1c3f,1512798116,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0xb17f8b34bbf0607bb7fb6e5af38a82fa1052b0199569bdf2aeed9e91196c4ba8,6.0
13,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,1512798488,0xcc295c01af27a525096c0b3fb14040ab0b5b7e98,0xe31c17752f2f45abee463ea58836cb71d6f9b3575dcf2dfcabcd5a09232ef10f,0.8
14,0x30dd1e4947a3d771e1717e6fb8ea128731a91126,1512800189,0xae5977afe3327cb753b4db2ce78443a4e922d00c,0x763b1723c123f97fec5794be31731fc9c200cf5ff82d12b1f66ed07e19acc4ca,0.0
15,0xae5977afe3327cb753b4db2ce78443a4e922d00c,1512804449,0xf3df90d6b901654e29192fc7b9d1645d297ae66b,0xba1dd3a81893d269595a9ca8e814d38843e48a291440b3f17b7e75484a409c3f,1.08
